ts,ms,status
1785473182.766,1.80,ok
1785473182.781,1.89,ok
1785473182.798,1.93,ok
1785473182.813,1.56,ok
1785473182.826,2.01,ok
1785473182.841,2.48,ok
1785473182.856,2.44,ok
1785473182.871,2.07,ok
1785473182.888,2.07,ok
1785473182.902,2.82,ok
1785473182.917,2.07,ok
1785473182.931,2.40,ok
1785473182.948,2.20,ok
1785473182.961,2.42,ok
1785473182.979,2.74,ok
1785473182.997,2.88,ok
1785473183.015,2.67,ok
1785473183.032,2.25,ok
1785473183.049,2.37,ok
1785473183.066,2.39,ok
1785473183.082,2.71,ok
1785473183.100,2.82,ok
1785473183.116,2.28,ok
1785473183.133,3.05,ok
1785473183.150,3.70,ok
1785473183.166,3.85,ok
1785473183.182,3.34,ok
1785473183.200,5.06,ok
1785473183.216,4.16,ok
1785473183.234,4.04,ok
1785473183.251,3.19,ok
1785473183.269,4.40,ok
1785473183.287,3.79,ok
1785473183.305,3.66,ok
1785473183.321,3.09,ok
1785473183.339,3.85,ok
1785473183.358,4.36,ok
1785473183.377,4.92,ok
1785473183.397,4.23,ok
1785473183.416,4.40,ok
1785473183.434,3.88,ok
1785473183.453,4.02,ok
1785473183.469,3.83,ok
1785473183.484,2.96,ok
1785473183.516,20.71,ok
1785473183.535,8.02,ok
1785473183.548,1.90,ok
1785473183.566,2.27,ok
1785473183.582,2.02,ok
1785473183.599,2.02,ok
1785473183.617,2.49,ok
1785473183.634,2.64,ok
1785473183.650,2.23,ok
1785473183.667,2.29,ok
1785473183.683,2.44,ok
1785473183.699,2.47,ok
1785473183.717,2.77,ok
1785473183.735,4.15,ok
1785473183.750,2.42,ok
1785473183.764,2.34,ok
1785473183.777,2.27,ok
1785473183.794,2.15,ok
1785473183.809,2.67,ok
1785473183.824,2.28,ok
1785473183.839,2.48,ok
1785473183.854,4.04,ok
1785473183.873,3.83,ok
1785473183.889,3.97,ok
1785473183.905,2.19,ok
1785473183.923,3.33,ok
1785473183.942,4.32,ok
1785473183.959,3.24,ok
1785473183.978,4.82,ok
1785473183.993,3.92,ok
1785473184.010,4.66,ok
1785473184.026,3.53,ok
1785473184.045,4.77,ok
1785473184.063,3.70,ok
1785473184.082,4.24,ok
1785473184.100,3.94,ok
1785473184.115,3.23,ok
1785473184.134,3.91,ok
1785473184.154,4.79,ok
1785473184.172,4.54,ok
1785473184.186,3.38,ok
1785473184.203,3.94,ok
1785473184.221,3.15,ok
1785473184.238,3.40,ok
1785473184.253,4.28,ok
1785473184.272,4.35,ok
1785473184.290,3.11,ok
1785473184.306,4.72,ok
1785473184.324,3.66,ok
1785473184.345,5.58,ok
1785473184.358,2.72,ok
1785473184.376,2.85,ok
1785473184.392,2.91,ok
1785473184.408,2.84,ok
1785473184.426,3.06,ok
1785473184.445,3.50,ok
1785473184.458,3.11,ok
1785473184.473,3.44,ok
1785473184.490,3.56,ok
1785473184.527,25.56,ok
1785473184.544,1.91,ok
1785473184.558,2.22,ok
1785473184.575,2.00,ok
1785473184.594,3.73,ok
1785473184.610,2.30,ok
1785473184.628,2.26,ok
1785473184.640,1.87,ok
1785473184.654,1.99,ok
1785473184.671,1.88,ok
1785473184.684,1.97,ok
1785473184.702,3.42,ok
1785473184.718,3.41,ok
1785473184.733,3.66,ok
1785473184.751,4.39,ok
1785473184.768,3.72,ok
1785473184.782,2.51,ok
1785473184.799,2.62,ok
1785473184.815,3.25,ok
1785473184.829,2.04,ok
1785473184.845,3.20,ok
1785473184.862,1.82,ok
1785473184.880,2.84,ok
1785473184.897,2.60,ok
1785473184.916,3.84,ok
1785473184.932,2.44,ok
1785473184.944,1.87,ok
1785473184.960,2.20,ok
1785473184.977,1.76,ok
1785473184.991,2.24,ok
1785473185.008,3.64,ok
1785473185.025,3.51,ok
1785473185.044,5.59,ok
1785473185.062,4.55,ok
1785473185.079,3.41,ok
1785473185.099,6.18,ok
1785473185.117,3.18,ok
1785473185.135,3.85,ok
1785473185.152,3.96,ok
1785473185.173,5.45,ok
1785473185.191,3.79,ok
1785473185.208,3.91,ok
1785473185.226,4.02,ok
1785473185.241,4.45,ok
1785473185.260,3.73,ok
1785473185.275,3.29,ok
1785473185.292,3.39,ok
1785473185.308,2.73,ok
1785473185.323,2.96,ok
1785473185.340,3.04,ok
1785473185.355,3.95,ok
1785473185.370,3.31,ok
1785473185.388,3.72,ok
1785473185.406,4.07,ok
1785473185.420,3.50,ok
1785473185.437,3.17,ok
1785473185.455,3.24,ok
1785473185.472,6.51,ok
1785473185.491,3.57,ok
1785473185.512,6.49,ok
1785473185.529,2.15,ok
1785473185.545,2.33,ok
1785473185.558,2.06,ok
1785473185.573,2.16,ok
1785473185.586,1.95,ok
1785473185.608,7.10,ok
1785473185.627,3.98,ok
1785473185.644,2.09,ok
1785473185.656,2.00,ok
1785473185.673,1.94,ok
1785473185.687,2.25,ok
1785473185.701,1.79,ok
1785473185.715,2.37,ok
1785473185.728,2.15,ok
1785473185.744,2.30,ok
