ts,ms,status
1785473231.764,1.42,ok
1785473231.780,1.99,ok
1785473231.796,1.77,ok
1785473231.811,1.84,ok
1785473231.823,1.63,ok
1785473231.839,1.85,ok
1785473231.856,1.96,ok
1785473231.869,1.75,ok
1785473231.881,1.88,ok
1785473231.894,1.63,ok
1785473231.907,1.72,ok
1785473231.923,2.35,ok
1785473231.938,2.14,ok
1785473231.956,6.18,ok
1785473231.975,3.59,ok
1785473231.991,3.28,ok
1785473232.007,3.27,ok
1785473232.025,4.56,ok
1785473232.044,4.42,ok
1785473232.062,3.75,ok
1785473232.076,3.55,ok
1785473232.094,4.13,ok
1785473232.113,4.86,ok
1785473232.130,3.17,ok
1785473232.147,3.68,ok
1785473232.166,3.11,ok
1785473232.184,4.01,ok
1785473232.200,4.16,ok
1785473232.217,3.30,ok
1785473232.236,4.08,ok
1785473232.256,5.61,ok
1785473232.275,5.29,ok
1785473232.291,3.42,ok
1785473232.307,3.01,ok
1785473232.325,3.00,ok
1785473232.342,3.18,ok
1785473232.359,3.42,ok
1785473232.377,3.89,ok
1785473232.396,4.17,ok
1785473232.411,2.29,ok
1785473232.428,2.39,ok
1785473232.445,2.33,ok
1785473232.460,2.28,ok
1785473232.474,2.90,ok
1785473232.492,2.88,ok
1785473232.509,4.28,ok
1785473232.526,3.40,ok
1785473232.545,4.22,ok
1785473232.561,3.93,ok
1785473232.580,3.69,ok
1785473232.601,6.09,ok
1785473232.645,30.87,ok
1785473232.658,2.02,ok
1785473232.671,2.01,ok
1785473232.685,2.12,ok
1785473232.700,2.97,ok
1785473232.716,1.97,ok
1785473232.732,1.99,ok
1785473232.746,1.84,ok
1785473232.763,2.09,ok
1785473232.780,1.91,ok
1785473232.795,2.23,ok
1785473232.809,1.55,ok
1785473232.824,2.03,ok
1785473232.842,3.13,ok
1785473232.860,2.46,ok
1785473232.878,3.31,ok
1785473232.897,3.53,ok
1785473232.915,3.04,ok
1785473232.933,3.26,ok
1785473232.947,3.59,ok
1785473232.966,4.03,ok
1785473232.987,7.39,ok
1785473233.002,3.76,ok
1785473233.016,3.45,ok
1785473233.033,3.73,ok
1785473233.051,4.78,ok
1785473233.068,3.28,ok
1785473233.085,4.19,ok
1785473233.105,7.15,ok
1785473233.122,3.56,ok
1785473233.142,4.76,ok
1785473233.158,2.08,ok
1785473233.171,2.08,ok
1785473233.183,1.77,ok
1785473233.199,1.64,ok
1785473233.214,1.96,ok
1785473233.232,3.35,ok
1785473233.247,3.83,ok
1785473233.260,2.50,ok
1785473233.275,2.49,ok
1785473233.289,3.01,ok
1785473233.307,3.16,ok
1785473233.324,2.89,ok
1785473233.343,3.89,ok
1785473233.360,3.71,ok
1785473233.376,2.10,ok
1785473233.388,1.83,ok
1785473233.404,1.85,ok
1785473233.418,2.23,ok
1785473233.435,3.37,ok
1785473233.450,2.11,ok
1785473233.467,2.47,ok
1785473233.483,2.22,ok
1785473233.501,2.74,ok
1785473233.516,2.30,ok
1785473233.529,2.92,ok
1785473233.546,4.16,ok
1785473233.565,3.83,ok
1785473233.585,5.63,ok
1785473233.604,5.28,ok
1785473233.628,13.69,ok
1785473233.643,2.40,ok
1785473233.658,2.14,ok
1785473233.670,1.91,ok
1785473233.683,1.85,ok
1785473233.698,2.28,ok
1785473233.716,2.56,ok
1785473233.733,2.02,ok
1785473233.750,2.62,ok
1785473233.767,2.39,ok
1785473233.784,2.15,ok
1785473233.801,2.09,ok
1785473233.818,2.20,ok
1785473233.838,4.80,ok
1785473233.854,3.36,ok
1785473233.871,3.20,ok
1785473233.890,3.91,ok
1785473233.907,2.26,ok
1785473233.925,2.67,ok
1785473233.939,2.52,ok
1785473233.956,2.48,ok
1785473233.969,1.87,ok
1785473233.985,1.86,ok
1785473234.003,3.16,ok
1785473234.020,3.91,ok
1785473234.036,4.59,ok
1785473234.054,3.30,ok
1785473234.075,4.98,ok
1785473234.093,4.58,ok
1785473234.110,3.88,ok
1785473234.128,3.61,ok
1785473234.146,2.98,ok
1785473234.164,3.60,ok
1785473234.178,3.65,ok
1785473234.196,3.37,ok
1785473234.210,3.39,ok
1785473234.237,14.52,ok
1785473234.259,2.95,ok
1785473234.276,2.96,ok
1785473234.293,3.11,ok
1785473234.310,3.26,ok
1785473234.330,4.94,ok
1785473234.345,2.74,ok
1785473234.364,4.44,ok
1785473234.381,3.64,ok
1785473234.400,4.35,ok
1785473234.417,3.50,ok
1785473234.434,3.10,ok
1785473234.452,2.80,ok
1785473234.466,2.55,ok
1785473234.481,3.04,ok
1785473234.496,3.67,ok
1785473234.509,2.64,ok
1785473234.526,3.17,ok
1785473234.544,3.00,ok
1785473234.558,2.98,ok
1785473234.574,2.75,ok
1785473234.587,2.39,ok
1785473234.602,2.92,ok
1785473234.616,2.17,ok
1785473234.631,2.19,ok
1785473234.644,2.71,ok
1785473234.657,2.29,ok
1785473234.670,2.14,ok
1785473234.687,3.06,ok
1785473234.703,2.11,ok
1785473234.718,3.28,ok
1785473234.735,2.31,ok
1785473234.749,2.17,ok
1785473234.765,2.03,ok
1785473234.780,2.19,ok
1785473234.792,2.19,ok
1785473234.810,2.30,ok
1785473234.825,3.32,ok
1785473234.841,3.00,ok
1785473234.857,3.26,ok
1785473234.872,3.69,ok
1785473234.891,3.22,ok
1785473234.907,2.97,ok
1785473234.926,3.37,ok
1785473234.938,1.84,ok
1785473234.956,2.28,ok
1785473234.973,2.49,ok
1785473234.986,2.19,ok
1785473235.004,3.84,ok
1785473235.018,4.14,ok
1785473235.034,2.97,ok
1785473235.051,4.13,ok
1785473235.069,3.09,ok
1785473235.084,3.57,ok
1785473235.103,5.19,ok
1785473235.118,3.67,ok
1785473235.133,2.96,ok
1785473235.147,3.21,ok
1785473235.164,3.81,ok
1785473235.181,3.44,ok
1785473235.199,3.14,ok
1785473235.218,4.24,ok
1785473235.239,6.27,ok
1785473235.257,2.89,ok
1785473235.274,3.01,ok
1785473235.289,4.22,ok
1785473235.307,4.03,ok
1785473235.325,4.47,ok
1785473235.344,3.99,ok
1785473235.362,2.93,ok
1785473235.377,3.25,ok
1785473235.396,4.23,ok
1785473235.415,3.92,ok
1785473235.432,3.40,ok
1785473235.450,3.21,ok
1785473235.468,3.30,ok
1785473235.482,2.73,ok
1785473235.500,3.33,ok
1785473235.517,4.86,ok
1785473235.535,3.17,ok
1785473235.551,2.66,ok
1785473235.567,2.99,ok
1785473235.585,2.98,ok
1785473235.603,3.49,ok
1785473235.616,2.43,ok
1785473235.636,4.36,ok
1785473235.654,3.45,ok
1785473235.671,4.27,ok
1785473235.688,2.44,ok
1785473235.705,1.92,ok
1785473235.719,2.13,ok
1785473235.736,2.37,ok
1785473235.751,3.70,ok
1785473235.765,2.53,ok
1785473235.782,2.13,ok
1785473235.797,2.30,ok
1785473235.810,2.39,ok
1785473235.823,2.33,ok
1785473235.841,2.24,ok
1785473235.857,2.22,ok
1785473235.876,3.72,ok
1785473235.893,3.75,ok
1785473235.912,3.54,ok
1785473235.931,3.68,ok
1785473235.949,3.46,ok
1785473235.967,3.43,ok
1785473235.983,2.01,ok
1785473235.995,2.00,ok
1785473236.011,1.94,ok
1785473236.025,2.14,ok
1785473236.044,4.84,ok
1785473236.061,2.30,ok
1785473236.079,2.14,ok
1785473236.096,2.56,ok
1785473236.113,1.95,ok
1785473236.128,2.00,ok
1785473236.143,2.18,ok
1785473236.160,1.92,ok
1785473236.177,2.24,ok
1785473236.192,2.07,ok
1785473236.209,2.36,ok
1785473236.226,3.01,ok
1785473236.243,2.63,ok
1785473236.262,3.43,ok
1785473236.275,1.88,ok
1785473236.294,4.02,ok
1785473236.313,4.41,ok
1785473236.328,2.61,ok
1785473236.345,2.40,ok
1785473236.363,3.40,ok
1785473236.377,2.86,ok
1785473236.392,2.45,ok
1785473236.409,1.96,ok
1785473236.426,2.86,ok
1785473236.443,2.07,ok
1785473236.460,2.58,ok
1785473236.475,2.22,ok
1785473236.489,2.38,ok
1785473236.507,2.88,ok
1785473236.521,1.57,ok
1785473236.539,2.91,ok
1785473236.554,4.54,ok
1785473236.567,2.19,ok
1785473236.579,1.65,ok
1785473236.591,1.99,ok
1785473236.613,6.87,ok
1785473236.625,1.93,ok
1785473236.642,2.29,ok
1785473236.658,2.35,ok
1785473236.671,1.94,ok
1785473236.686,1.98,ok
1785473236.700,2.49,ok
1785473236.719,6.00,ok
1785473236.732,2.53,ok
1785473236.746,2.53,ok
1785473236.764,2.52,ok
1785473236.778,3.53,ok
1785473236.791,2.52,ok
1785473236.809,2.37,ok
1785473236.828,4.24,ok
1785473236.842,1.77,ok
1785473236.857,1.75,ok
1785473236.873,1.91,ok
1785473236.889,2.63,ok
1785473236.907,3.50,ok
1785473236.924,1.91,ok
1785473236.942,3.44,ok
1785473236.958,1.67,ok
1785473236.972,1.95,ok
1785473236.984,2.48,ok
1785473237.000,2.41,ok
1785473237.017,2.96,ok
1785473237.034,2.03,ok
1785473237.047,2.34,ok
1785473237.062,2.30,ok
1785473237.077,3.04,ok
1785473237.090,1.92,ok
1785473237.106,1.91,ok
1785473237.124,3.02,ok
1785473237.142,2.49,ok
