ts,ms,status
1785322303.504,1.73,ok
1785322303.518,1.90,ok
1785322303.533,1.76,ok
1785322303.547,1.50,ok
1785322303.561,1.75,ok
1785322303.574,1.58,ok
1785322303.587,1.64,ok
1785322303.601,1.72,ok
1785322303.613,1.42,ok
1785322303.627,1.43,ok
1785322303.641,1.61,ok
1785322303.655,1.52,ok
1785322303.669,1.57,ok
1785322303.682,1.46,ok
1785322303.696,2.13,ok
1785322303.711,1.97,ok
1785322303.725,2.01,ok
1785322303.741,3.73,ok
1785322303.755,2.32,ok
1785322303.768,2.41,ok
1785322303.782,2.26,ok
1785322303.796,1.98,ok
1785322303.812,3.24,ok
1785322303.827,3.41,ok
1785322303.840,2.77,ok
1785322303.856,3.17,ok
1785322303.872,3.82,ok
1785322303.887,4.01,ok
1785322303.903,4.37,ok
1785322303.919,3.18,ok
1785322303.935,4.25,ok
1785322303.950,3.17,ok
1785322303.965,2.78,ok
1785322303.982,3.82,ok
1785322303.997,3.59,ok
1785322304.016,5.58,ok
1785322304.031,3.22,ok
1785322304.047,3.06,ok
1785322304.062,3.12,ok
1785322304.076,3.93,ok
1785322304.093,4.22,ok
1785322304.110,4.38,ok
1785322304.125,2.66,ok
1785322304.139,2.18,ok
1785322304.153,3.10,ok
1785322304.168,2.94,ok
1785322304.183,2.51,ok
1785322304.196,1.54,ok
1785322304.209,1.77,ok
1785322304.225,2.95,ok
1785322304.239,1.79,ok
1785322304.254,2.34,ok
1785322304.269,1.91,ok
1785322304.284,2.49,ok
1785322304.298,1.88,ok
1785322304.310,2.12,ok
1785322304.324,2.31,ok
1785322304.338,2.02,ok
1785322304.353,2.52,ok
1785322304.368,2.86,ok
1785322304.382,2.23,ok
1785322304.397,1.82,ok
1785322304.411,2.05,ok
1785322304.426,1.93,ok
1785322304.451,14.61,ok
1785322304.474,11.08,ok
1785322304.489,2.23,ok
1785322304.504,2.47,ok
1785322304.519,2.48,ok
1785322304.534,2.59,ok
1785322304.547,2.02,ok
1785322304.561,1.96,ok
1785322304.576,2.25,ok
1785322304.588,1.92,ok
1785322304.603,2.49,ok
1785322304.618,2.51,ok
1785322304.633,2.43,ok
1785322304.647,2.34,ok
1785322304.662,2.41,ok
1785322304.676,2.34,ok
1785322304.690,2.41,ok
1785322304.705,2.56,ok
1785322304.720,2.68,ok
1785322304.736,2.94,ok
1785322304.752,3.14,ok
1785322304.765,2.88,ok
1785322304.780,2.67,ok
1785322304.796,3.99,ok
1785322304.812,3.48,ok
1785322304.828,3.91,ok
1785322304.843,3.86,ok
1785322304.858,3.22,ok
1785322304.874,4.81,ok
1785322304.888,3.49,ok
1785322304.904,3.90,ok
1785322304.918,3.52,ok
1785322304.935,3.93,ok
1785322304.950,3.74,ok
1785322304.967,4.05,ok
1785322304.982,3.47,ok
1785322304.999,4.47,ok
1785322305.015,4.04,ok
1785322305.029,3.35,ok
1785322305.045,3.89,ok
1785322305.060,3.45,ok
1785322305.075,3.46,ok
1785322305.092,4.11,ok
1785322305.108,3.16,ok
1785322305.123,3.44,ok
1785322305.140,4.93,ok
1785322305.155,4.06,ok
1785322305.171,3.55,ok
1785322305.186,3.19,ok
1785322305.203,3.91,ok
1785322305.218,3.41,ok
1785322305.232,3.88,ok
1785322305.247,3.44,ok
1785322305.265,5.82,ok
1785322305.280,3.54,ok
1785322305.297,4.57,ok
1785322305.312,4.04,ok
1785322305.331,6.41,ok
1785322305.349,6.25,ok
1785322305.363,2.83,ok
1785322305.378,2.87,ok
1785322305.394,3.69,ok
1785322305.409,2.68,ok
1785322305.422,2.16,ok
1785322305.440,6.53,ok
1785322305.455,1.98,ok
1785322305.469,2.61,ok
1785322305.484,3.09,ok
1785322305.496,2.15,ok
1785322305.510,3.01,ok
1785322305.522,1.78,ok
1785322305.537,2.44,ok
1785322305.551,3.00,ok
1785322305.566,3.08,ok
1785322305.581,1.90,ok
1785322305.595,2.58,ok
1785322305.611,3.27,ok
1785322305.628,5.10,ok
1785322305.654,5.40,ok
1785322305.669,3.76,ok
1785322305.683,3.46,ok
1785322305.697,2.63,ok
1785322305.712,4.58,ok
1785322305.728,3.53,ok
1785322305.743,2.72,ok
1785322305.760,4.46,ok
1785322305.776,3.07,ok
1785322305.800,11.92,ok
1785322305.816,2.94,ok
1785322305.831,2.45,ok
1785322305.845,1.93,ok
1785322305.860,2.42,ok
1785322305.874,3.43,ok
1785322305.889,3.51,ok
1785322305.903,3.65,ok
1785322305.919,2.81,ok
1785322305.933,2.61,ok
1785322305.949,3.33,ok
1785322305.964,3.35,ok
1785322305.980,3.98,ok
1785322305.996,3.62,ok
1785322306.011,3.90,ok
1785322306.026,3.64,ok
1785322306.043,3.91,ok
1785322306.055,2.30,ok
1785322306.070,2.93,ok
1785322306.086,2.94,ok
1785322306.105,8.71,ok
1785322306.121,3.63,ok
1785322306.137,3.52,ok
1785322306.153,3.09,ok
1785322306.166,2.92,ok
1785322306.181,2.27,ok
1785322306.194,3.16,ok
1785322306.207,2.20,ok
1785322306.222,2.43,ok
1785322306.237,2.78,ok
1785322306.253,2.87,ok
1785322306.268,3.16,ok
1785322306.281,2.34,ok
1785322306.295,2.55,ok
1785322306.307,1.96,ok
1785322306.320,2.03,ok
1785322306.333,2.59,ok
1785322306.350,3.55,ok
1785322306.364,2.07,ok
1785322306.376,2.01,ok
1785322306.389,2.17,ok
1785322306.403,2.05,ok
1785322306.418,2.70,ok
1785322306.445,14.20,ok
1785322306.460,2.45,ok
1785322306.473,2.15,ok
1785322306.487,2.37,ok
1785322306.501,2.23,ok
1785322306.517,2.63,ok
1785322306.533,3.56,ok
1785322306.547,2.24,ok
1785322306.563,3.49,ok
1785322306.577,2.21,ok
1785322306.596,7.84,ok
1785322306.609,3.22,ok
1785322306.623,2.25,ok
1785322306.637,2.26,ok
1785322306.652,2.35,ok
1785322306.664,2.26,ok
1785322306.679,2.27,ok
1785322306.694,2.83,ok
1785322306.708,2.70,ok
1785322306.726,4.55,ok
1785322306.747,2.70,ok
1785322306.761,2.48,ok
1785322306.776,2.35,ok
1785322306.790,2.42,ok
1785322306.806,2.62,ok
1785322306.821,3.70,ok
1785322306.837,2.49,ok
1785322306.852,3.62,ok
1785322306.866,3.30,ok
1785322306.881,2.98,ok
1785322306.897,3.66,ok
1785322306.912,3.65,ok
1785322306.928,4.46,ok
1785322306.944,3.97,ok
1785322306.960,3.96,ok
1785322306.974,3.28,ok
1785322306.988,3.23,ok
1785322307.007,6.63,ok
1785322307.022,3.22,ok
1785322307.042,6.37,ok
1785322307.056,2.17,ok
1785322307.071,3.03,ok
1785322307.088,3.96,ok
1785322307.102,2.64,ok
1785322307.117,3.29,ok
1785322307.132,2.20,ok
1785322307.147,3.57,ok
1785322307.163,3.03,ok
1785322307.178,2.52,ok
1785322307.193,2.49,ok
1785322307.207,1.88,ok
1785322307.222,1.96,ok
1785322307.235,1.86,ok
1785322307.250,3.26,ok
1785322307.265,2.19,ok
1785322307.278,2.31,ok
1785322307.291,2.20,ok
1785322307.306,2.11,ok
1785322307.321,2.13,ok
1785322307.335,1.97,ok
1785322307.348,2.08,ok
1785322307.363,2.52,ok
1785322307.377,1.93,ok
1785322307.391,1.78,ok
1785322307.406,3.44,ok
1785322307.419,2.79,ok
1785322307.444,13.05,ok
1785322307.457,2.00,ok
1785322307.472,2.55,ok
1785322307.487,2.24,ok
1785322307.502,2.76,ok
1785322307.518,3.57,ok
1785322307.534,2.68,ok
1785322307.549,2.38,ok
1785322307.562,2.00,ok
1785322307.576,2.51,ok
1785322307.592,4.17,ok
1785322307.608,4.22,ok
1785322307.621,2.11,ok
1785322307.636,3.23,ok
1785322307.650,3.42,ok
1785322307.665,2.81,ok
1785322307.680,2.45,ok
1785322307.694,2.58,ok
1785322307.709,2.28,ok
1785322307.724,2.52,ok
1785322307.739,1.93,ok
1785322307.754,2.70,ok
1785322307.767,2.29,ok
1785322307.782,2.38,ok
1785322307.795,2.19,ok
1785322307.810,3.46,ok
1785322307.823,3.19,ok
1785322307.838,3.67,ok
1785322307.853,4.29,ok
1785322307.869,3.21,ok
1785322307.883,3.26,ok
1785322307.896,3.17,ok
1785322307.914,5.79,ok
1785322307.929,4.40,ok
1785322307.943,3.09,ok
1785322307.959,3.39,ok
1785322307.974,4.91,ok
1785322307.989,4.75,ok
1785322308.014,8.02,ok
1785322308.030,4.25,ok
1785322308.044,2.18,ok
1785322308.059,2.04,ok
1785322308.074,2.25,ok
1785322308.089,2.10,ok
1785322308.102,2.07,ok
1785322308.114,1.69,ok
1785322308.127,2.31,ok
1785322308.141,2.22,ok
1785322308.155,1.88,ok
1785322308.169,2.01,ok
1785322308.183,2.03,ok
1785322308.196,1.62,ok
1785322308.209,1.93,ok
1785322308.224,2.82,ok
1785322308.240,3.53,ok
1785322308.253,2.93,ok
1785322308.270,3.81,ok
1785322308.284,3.33,ok
1785322308.300,3.67,ok
1785322308.313,2.23,ok
1785322308.328,2.03,ok
1785322308.343,2.98,ok
1785322308.358,3.21,ok
1785322308.374,3.06,ok
1785322308.389,3.18,ok
1785322308.405,3.67,ok
1785322308.421,3.87,ok
1785322308.447,14.19,ok
1785322308.461,2.18,ok
1785322308.477,3.13,ok
1785322308.493,3.42,ok
1785322308.510,4.41,ok
1785322308.523,2.55,ok
1785322308.537,2.16,ok
1785322308.551,2.37,ok
1785322308.564,2.47,ok
1785322321.177,12602.02,ok
1785322321.191,1.84,ok
1785322321.205,1.91,ok
1785322321.221,2.74,ok
1785322321.234,1.89,ok
1785322321.249,2.66,ok
1785322321.265,1.92,ok
1785322321.279,1.70,ok
1785322321.293,1.58,ok
1785322321.306,1.48,ok
1785322321.320,1.50,ok
1785322321.334,2.06,ok
1785322321.346,1.52,ok
1785322321.359,1.55,ok
1785322321.375,2.84,ok
1785322321.387,1.75,ok
1785322321.401,1.75,ok
1785322321.415,1.56,ok
1785322321.429,1.52,ok
