ts,ms,status
1785322356.676,5.90,ok
1785322356.693,4.48,ok
1785322356.707,3.57,ok
1785322356.726,5.73,ok
1785322356.742,5.42,ok
1785322356.758,5.27,ok
1785322356.775,4.13,ok
1785322356.791,3.97,ok
1785322356.808,4.18,ok
1785322356.824,3.60,ok
1785322356.844,7.77,ok
1785322356.862,6.22,ok
1785322356.883,9.55,ok
1785322356.899,5.64,ok
1785322356.913,3.62,ok
1785322356.930,5.55,ok
1785322356.946,5.00,ok
1785322356.961,3.24,ok
1785322356.976,3.79,ok
1785322356.991,2.99,ok
1785322357.008,3.32,ok
1785322357.031,10.70,ok
1785322357.049,5.88,ok
1785322357.067,5.63,ok
1785322357.083,4.12,ok
1785322357.099,3.67,ok
1785322357.115,2.97,ok
1785322357.131,3.53,ok
1785322357.146,4.84,ok
1785322357.163,5.40,ok
1785322357.178,3.83,ok
1785322357.194,4.22,ok
1785322357.212,5.10,ok
1785322357.228,3.13,ok
1785322357.243,3.32,ok
1785322357.258,3.47,ok
1785322357.275,4.46,ok
1785322357.291,3.74,ok
1785322357.306,3.32,ok
1785322357.324,5.45,ok
1785322357.340,5.93,ok
1785322357.356,3.61,ok
1785322357.371,4.26,ok
1785322357.386,3.87,ok
1785322357.404,5.73,ok
1785322357.420,4.51,ok
1785322357.436,4.83,ok
1785322357.455,6.58,ok
1785322357.475,7.21,ok
1785322357.489,2.82,ok
1785322357.526,24.60,ok
1785322357.543,4.31,ok
1785322357.559,3.19,ok
1785322357.575,3.12,ok
1785322357.593,5.41,ok
1785322357.609,4.48,ok
1785322357.624,3.67,ok
1785322357.641,5.35,ok
1785322357.656,4.81,ok
1785322357.672,4.58,ok
1785322357.688,3.21,ok
1785322357.710,10.54,ok
1785322357.726,5.44,ok
1785322357.743,4.16,ok
1785322357.760,4.53,ok
1785322357.776,3.63,ok
1785322357.793,4.42,ok
1785322357.809,5.34,ok
1785322357.824,3.87,ok
1785322357.839,4.62,ok
1785322357.854,4.68,ok
1785322357.870,4.39,ok
1785322357.885,2.42,ok
1785322357.900,5.62,ok
1785322357.917,4.13,ok
1785322357.934,4.28,ok
1785322357.953,6.06,ok
1785322357.968,4.00,ok
1785322357.986,5.22,ok
1785322358.003,5.31,ok
1785322358.019,3.62,ok
1785322358.035,3.71,ok
1785322358.054,6.06,ok
1785322358.071,5.64,ok
1785322358.087,5.47,ok
1785322358.103,4.11,ok
1785322358.119,5.09,ok
1785322358.136,3.55,ok
1785322358.151,3.17,ok
1785322358.167,3.18,ok
1785322358.182,4.34,ok
1785322358.198,4.43,ok
1785322358.215,4.02,ok
1785322358.230,4.86,ok
1785322358.248,5.15,ok
1785322358.265,3.75,ok
1785322358.280,3.02,ok
1785322358.294,4.08,ok
1785322358.310,3.46,ok
1785322358.326,4.57,ok
1785322358.342,3.56,ok
1785322358.358,5.46,ok
1785322358.374,3.02,ok
1785322358.389,4.75,ok
1785322358.405,4.79,ok
1785322358.421,5.06,ok
1785322358.437,4.83,ok
1785322358.453,5.52,ok
1785322358.470,4.94,ok
1785322358.490,8.25,ok
1785322358.525,22.97,ok
1785322358.543,4.64,ok
1785322358.560,4.32,ok
1785322358.576,5.67,ok
1785322358.591,3.98,ok
1785322358.609,5.07,ok
1785322358.622,2.72,ok
1785322358.639,3.77,ok
1785322358.653,2.35,ok
1785322358.667,3.28,ok
1785322358.683,4.95,ok
1785322358.701,4.74,ok
1785322358.718,4.39,ok
1785322358.735,4.26,ok
1785322358.752,4.38,ok
1785322358.769,4.98,ok
1785322358.785,4.82,ok
1785322358.802,4.70,ok
1785322358.822,7.60,ok
1785322358.838,5.06,ok
1785322358.856,4.40,ok
