sec,count,p50_ms,p95_ms,p99_ms,max_ms
0,1529,1.238,2.591,4.815,13.135
1,1578,1.237,2.342,4.382,7.797
2,1848,1.047,1.776,4.664,61.991
3,1936,1.016,1.928,3.471,8.569
4,1930,1.056,1.874,4.174,8.252
5,2155,1.018,1.555,2.343,11.234
6,1576,1.175,2.492,4.718,11.178
7,1774,1.096,2.060,5.484,11.729
8,1674,1.179,2.167,4.096,8.259
9,1602,1.175,2.196,5.429,11.683
10,1367,1.346,2.651,4.393,68.236
11,1572,1.267,2.302,3.889,9.644
12,2052,0.996,1.755,2.869,9.579
13,1662,1.151,2.228,6.937,10.223
14,1713,1.071,1.875,4.570,113.069
15,1591,1.196,2.362,5.228,14.325
16,2002,1.027,1.868,3.783,8.587
17,1957,0.997,1.909,4.243,11.975
18,1532,1.083,3.198,9.369,28.678
19,1649,1.274,2.162,3.201,6.124
20,1541,1.248,2.716,4.994,10.774
21,1695,1.219,2.076,3.961,9.827
22,1492,1.248,2.366,5.183,65.554
23,1624,1.254,2.177,4.275,10.659
24,1786,1.117,2.150,4.077,10.476
25,1622,1.247,2.174,3.205,12.333
26,1696,1.218,2.010,2.853,6.160
27,1371,1.335,2.595,3.733,72.260
28,1674,1.155,2.313,4.371,9.775
29,1492,1.390,2.454,3.546,9.157
30,1561,1.254,2.361,3.804,10.092
31,1610,1.270,2.207,2.989,8.138
32,1315,1.259,2.380,6.036,136.813
33,1487,1.283,2.530,5.848,13.431
34,1624,1.218,2.178,4.627,10.278
35,1596,1.257,2.324,3.723,6.186
36,1784,1.090,2.100,3.575,11.295
37,1499,1.308,2.446,4.974,11.210
38,1803,1.142,1.960,3.592,5.892
39,2068,1.063,1.548,2.422,7.851
40,2050,1.028,1.716,3.819,66.015
41,1921,1.012,1.744,2.652,7.620
42,2087,0.967,1.700,3.765,11.566
43,1799,1.087,2.181,6.044,15.062
44,2168,0.954,1.646,2.433,8.547
45,1942,1.018,1.907,3.358,8.986
46,1513,1.240,2.449,5.217,16.322
47,1598,1.175,2.211,4.930,12.945
48,1649,1.214,2.132,4.134,10.384
49,1456,1.313,2.251,7.050,68.035
50,1507,1.232,2.546,6.225,12.848
51,1709,1.143,2.126,4.453,6.108
52,1708,1.176,2.046,3.783,8.715
53,1692,1.142,2.215,4.798,11.156
54,1838,1.050,1.795,5.098,67.232
55,1755,1.110,2.111,3.836,7.701
56,1558,1.177,2.652,5.922,12.311
57,1682,1.209,2.102,4.136,13.444
58,1613,1.182,2.296,4.953,12.172
59,1638,1.234,2.185,4.142,8.498
60,1476,1.263,2.804,4.807,10.732
61,1713,1.113,2.152,5.193,10.834
62,1350,1.428,2.681,4.982,77.517
63,1586,1.243,2.358,4.454,10.054
64,1458,1.442,2.310,4.294,6.058
65,1593,1.174,2.475,5.507,12.407
66,1763,1.085,2.150,4.589,6.837
67,1890,1.043,1.976,3.619,10.096
68,1555,1.149,2.133,5.645,78.331
69,1803,1.030,2.202,6.125,11.666
70,1965,0.993,1.919,4.399,11.521
71,1980,1.076,1.877,4.914,10.336
72,1729,1.082,2.413,4.762,7.677
73,1684,1.149,2.376,4.773,9.830
74,2113,1.011,1.591,2.385,5.594
75,2014,1.045,1.842,2.783,10.062
76,1598,1.056,2.688,8.802,13.679
77,1432,1.226,2.661,9.852,15.883
78,1488,1.422,2.326,4.080,12.898
79,1405,1.232,3.288,7.487,17.942
80,1784,1.092,2.194,5.414,7.734
81,1724,1.111,2.405,3.827,8.825
82,1611,1.218,2.347,3.824,7.781
83,1679,1.138,2.192,4.765,16.483
84,1671,1.191,2.146,3.938,11.299
85,1680,1.102,2.308,5.188,12.935
86,1803,1.086,2.037,2.962,8.767
87,1894,1.016,1.798,2.852,40.045
88,1481,1.309,2.518,6.239,20.622
89,1864,1.007,2.090,7.150,15.430
