sec,count,p50_ms,p95_ms,p99_ms,max_ms
0,1585,1.206,2.404,3.603,12.241
1,1735,1.082,1.977,4.934,59.399
2,1696,1.201,2.086,2.595,5.917
3,2017,1.014,1.746,3.759,13.449
4,1899,1.074,1.929,3.166,7.045
5,2036,0.959,1.814,4.344,9.155
6,1905,1.052,2.067,4.243,11.684
7,2005,0.948,1.650,3.405,60.335
8,1732,1.186,2.054,3.064,10.502
9,1599,1.179,2.288,5.888,11.447
10,1725,1.168,2.049,2.752,6.935
11,2137,1.025,1.624,2.258,4.777
12,2025,1.049,1.671,3.084,8.095
13,1407,1.332,2.451,6.656,65.846
14,1870,1.056,1.872,5.493,10.862
15,2039,0.964,1.761,2.906,12.992
16,2123,0.931,1.564,2.654,10.411
17,2071,0.990,1.725,2.475,11.390
18,1854,1.052,1.812,3.741,59.727
19,1588,1.262,2.393,4.993,7.307
20,1489,1.268,2.348,6.630,14.080
21,1531,1.227,2.164,2.976,64.463
22,1832,1.029,2.131,3.387,8.390
23,1574,1.208,2.127,5.164,13.631
24,1573,1.340,2.175,2.999,10.451
25,1445,1.416,2.602,6.361,10.439
26,1677,1.331,2.067,2.656,3.267
27,1439,1.458,2.322,3.055,64.217
28,1527,1.429,2.335,3.735,7.657
29,1741,1.144,2.017,2.995,11.755
30,1354,1.328,2.449,5.519,102.215
31,1696,1.179,2.074,3.316,15.667
32,1532,1.329,2.394,3.870,59.583
33,1737,1.073,2.134,3.075,8.804
34,2013,0.749,1.923,2.515,5.671
35,1754,0.969,2.462,4.756,8.849
36,2069,0.687,1.910,2.556,8.073
37,2435,0.567,1.684,2.898,10.110
38,2214,0.480,1.959,5.233,81.587
39,2311,0.442,2.298,5.640,10.807
40,2359,0.319,2.263,6.784,16.995
41,2464,0.304,2.275,7.902,14.743
42,1939,0.344,3.861,8.947,19.387
43,1922,0.444,3.063,8.321,29.727
44,1550,0.908,3.256,3.948,7.529
45,2071,0.433,3.121,6.069,15.329
46,2720,0.298,2.263,6.127,11.988
47,2586,0.312,2.327,4.732,9.181
48,2023,0.600,2.602,4.897,16.381
49,2499,0.517,1.873,4.422,11.414
50,2466,0.555,1.913,3.234,20.659
51,2889,0.463,1.526,2.464,42.034
52,2724,0.470,1.601,4.649,11.226
53,2402,0.554,2.034,5.404,12.535
54,2494,0.554,2.005,4.734,9.270
55,2191,0.557,2.225,6.078,47.554
56,2495,0.556,2.009,4.558,6.779
57,2660,0.557,1.899,3.594,5.889
58,2258,0.568,2.161,5.844,15.808
59,2417,0.553,1.896,4.162,50.570
60,2159,0.568,2.679,5.383,10.258
61,2335,0.570,2.434,5.068,10.718
62,2569,0.556,1.863,4.434,10.715
63,2565,0.559,1.622,4.002,57.314
64,2691,0.530,1.692,4.299,11.289
65,2313,0.551,2.158,5.337,37.609
66,2609,0.559,1.798,4.412,7.702
67,2752,0.554,1.554,4.356,10.296
68,2518,0.561,2.024,5.064,10.171
69,2586,0.561,1.578,3.981,52.290
70,2605,0.572,1.577,4.720,7.665
71,2511,0.564,1.584,7.204,13.176
72,2684,0.568,1.275,4.273,26.340
73,2571,0.571,1.689,3.420,11.445
74,2430,0.570,1.493,5.840,14.064
75,2398,0.582,1.886,3.509,12.424
76,2622,0.600,1.434,2.074,27.788
77,2640,0.602,1.529,2.115,8.418
78,2505,0.560,1.938,4.848,15.590
79,2814,0.582,1.420,2.156,25.550
80,2795,0.559,1.469,3.654,10.964
81,2664,0.594,1.552,2.522,7.758
82,2810,0.551,1.724,4.110,41.628
83,3247,0.281,2.133,5.811,10.485
84,2970,0.281,2.197,6.244,19.604
85,2684,0.281,2.155,5.219,146.118
86,2567,0.624,1.608,2.082,3.220
87,2285,0.607,2.090,4.103,9.928
88,2521,0.565,1.960,5.026,12.897
89,2297,0.563,1.506,4.279,164.753
90,2,1.200,1.200,1.200,1.200
