sec,count,p50_ms,p95_ms,p99_ms,max_ms
0,3942,0.288,1.078,3.791,57.132
1,4081,0.312,0.833,2.800,11.575
2,4871,0.275,0.758,3.228,11.780
3,3716,0.314,1.284,4.207,9.466
4,4373,0.293,1.058,3.132,13.371
5,3727,0.414,0.862,2.969,67.345
6,3545,0.288,1.203,7.278,24.588
7,3283,0.284,1.528,5.815,24.377
8,3335,0.295,1.559,5.308,9.724
9,3093,0.301,1.764,4.509,80.772
10,2317,0.480,2.542,4.513,19.336
11,3023,0.315,1.685,4.757,8.851
12,2906,0.309,2.186,5.410,48.749
13,2602,0.479,1.931,4.013,12.429
14,4523,0.276,0.914,3.669,13.141
15,4646,0.275,0.950,3.029,10.391
16,3867,0.289,1.026,3.481,139.562
17,3286,0.559,0.820,1.766,21.473
18,4346,0.301,0.805,2.409,13.120
19,4498,0.286,1.079,3.699,9.779
20,3786,0.410,0.783,2.217,41.760
21,5064,0.269,0.809,3.034,12.137
22,4312,0.295,0.769,3.560,11.611
23,4614,0.284,0.783,3.179,16.151
24,6341,0.272,0.335,0.436,52.035
25,6221,0.277,0.357,0.762,9.323
26,6149,0.273,0.357,1.236,7.011
27,6758,0.267,0.336,0.446,4.335
28,5132,0.266,0.655,3.300,12.988
29,3933,0.292,0.937,4.362,57.791
30,4836,0.269,0.846,4.649,14.920
31,2088,0.386,2.453,6.477,19.333
32,1311,1.465,3.043,6.394,10.227
33,926,1.489,2.784,5.852,374.946
34,1620,1.219,2.269,3.860,9.112
35,1617,1.177,2.316,4.467,8.526
36,1531,1.257,2.433,5.403,12.473
37,1584,1.161,2.153,4.440,71.062
38,1584,1.126,2.372,5.516,23.637
39,1713,1.129,2.454,5.520,14.161
40,1473,1.158,3.606,6.873,11.424
41,1264,1.092,4.332,10.781,114.454
42,1436,1.183,3.071,7.448,12.787
43,1833,1.065,2.247,4.826,10.084
44,1878,1.072,2.164,3.588,9.238
45,1784,1.061,1.975,4.169,65.972
46,1896,0.977,2.058,4.415,10.023
47,1802,1.063,2.054,4.673,12.556
48,2034,1.002,1.784,3.183,6.757
49,1575,1.173,2.662,6.067,15.107
50,1567,1.117,2.196,5.337,67.922
51,1495,1.400,2.422,4.143,12.409
52,1502,1.375,2.395,4.092,12.425
53,1575,1.208,2.476,4.604,11.521
54,1741,1.024,2.050,3.807,75.065
55,1673,1.214,2.088,3.936,10.548
56,1865,1.042,2.076,4.401,7.201
57,1934,1.058,1.924,3.438,8.266
58,1533,1.207,2.138,3.848,75.646
59,1486,1.225,2.660,5.484,15.755
60,1537,1.236,2.631,4.367,11.553
61,1525,1.424,2.231,2.860,7.642
62,1603,1.131,2.168,3.906,76.806
63,1923,1.007,1.817,4.717,12.289
64,2176,1.013,1.552,2.326,6.522
65,2255,0.989,1.474,2.088,8.533
66,1938,1.020,1.566,2.588,109.970
67,1687,1.125,2.422,4.301,15.195
68,1823,1.084,2.013,3.570,11.096
69,1614,1.248,2.274,3.569,8.109
70,1551,1.253,2.414,5.154,13.735
71,1512,1.291,2.271,3.574,68.167
72,1415,1.386,2.589,7.155,12.241
73,1718,1.142,2.149,4.268,8.645
74,1444,1.427,2.389,4.452,17.163
75,1530,1.363,2.291,4.216,8.348
76,1898,1.050,2.202,5.655,10.424
77,1720,1.131,2.187,3.691,8.631
78,1805,0.995,2.045,3.203,68.815
79,1678,1.119,2.506,5.822,13.332
80,1450,1.303,2.790,5.376,10.081
81,1508,1.273,2.701,4.237,7.127
82,1171,1.454,3.725,8.212,72.865
83,1456,1.353,2.361,3.797,12.693
84,1598,1.241,2.244,3.812,9.328
85,1731,1.098,2.428,4.971,14.306
86,1759,1.093,2.313,4.429,31.614
87,1369,1.279,2.291,3.408,123.449
88,1736,1.124,2.227,3.399,11.894
89,1470,1.113,3.855,8.105,18.238
90,2,1.222,1.222,1.222,1.222
