sec,count,p50_ms,p95_ms,p99_ms,max_ms
0,12383,0.154,0.240,0.375,0.671
1,12433,0.153,0.240,0.381,0.885
2,12531,0.152,0.239,0.371,0.623
3,12332,0.155,0.244,0.376,0.712
4,12081,0.156,0.261,0.382,1.017
5,12358,0.154,0.244,0.385,2.213
6,12498,0.153,0.236,0.377,1.043
7,12414,0.153,0.244,0.377,1.874
8,12701,0.150,0.228,0.368,0.645
9,12362,0.153,0.246,0.375,0.672
10,12261,0.154,0.243,0.381,0.986
11,11702,0.159,0.255,0.388,5.647
12,11994,0.157,0.251,0.384,0.647
13,11970,0.157,0.248,0.385,2.115
14,12115,0.156,0.245,0.383,0.694
15,11937,0.158,0.246,0.392,1.904
16,11497,0.163,0.267,0.403,1.003
17,12170,0.155,0.256,0.385,1.322
18,12274,0.154,0.245,0.382,2.013
19,12173,0.155,0.256,0.383,0.733
20,12206,0.155,0.244,0.379,1.358
21,12386,0.154,0.235,0.372,0.719
22,12237,0.154,0.245,0.387,2.252
23,12375,0.154,0.241,0.371,0.847
24,12464,0.153,0.237,0.373,0.630
25,12049,0.156,0.248,0.388,1.794
26,12685,0.150,0.231,0.368,0.630
27,12454,0.154,0.234,0.369,0.627
28,12254,0.153,0.247,0.392,2.481
29,12484,0.153,0.234,0.370,0.550
30,12334,0.154,0.238,0.376,0.719
31,12280,0.155,0.236,0.382,0.915
32,12510,0.153,0.231,0.369,0.563
33,12561,0.152,0.236,0.371,0.611
34,12249,0.155,0.242,0.382,0.811
35,12163,0.156,0.250,0.391,0.775
36,12328,0.155,0.234,0.374,0.759
37,12282,0.155,0.242,0.383,0.640
38,12231,0.156,0.236,0.377,0.916
39,12462,0.153,0.234,0.373,0.646
40,12171,0.155,0.246,0.380,1.851
41,12402,0.153,0.240,0.378,0.730
42,12182,0.156,0.238,0.379,1.230
43,11608,0.159,0.250,0.391,11.667
44,12383,0.154,0.234,0.375,0.708
45,12296,0.154,0.248,0.377,1.714
46,11897,0.158,0.256,0.403,1.790
47,12306,0.154,0.245,0.383,0.714
48,12180,0.155,0.242,0.387,1.432
49,12205,0.155,0.245,0.382,1.006
50,12183,0.156,0.242,0.369,0.771
51,12533,0.152,0.240,0.369,0.603
52,12326,0.154,0.246,0.381,1.954
53,12458,0.153,0.238,0.377,0.637
54,12416,0.153,0.243,0.374,0.657
55,12016,0.156,0.263,0.388,0.680
56,12247,0.155,0.243,0.382,0.844
57,12310,0.154,0.245,0.380,0.981
58,12091,0.156,0.248,0.392,1.454
59,12322,0.154,0.238,0.376,2.888
60,12397,0.154,0.239,0.380,0.813
61,12303,0.154,0.244,0.380,0.586
62,12045,0.156,0.248,0.389,1.860
63,12075,0.157,0.244,0.386,4.158
64,12282,0.155,0.242,0.384,0.685
65,12167,0.156,0.247,0.382,1.022
66,12317,0.154,0.251,0.378,0.818
67,12212,0.156,0.239,0.384,0.805
68,12234,0.154,0.257,0.387,0.707
69,12478,0.152,0.245,0.378,0.662
70,12343,0.154,0.246,0.379,0.636
71,12313,0.154,0.248,0.376,0.760
72,12327,0.154,0.252,0.372,0.535
73,10973,0.168,0.274,0.411,12.111
74,11439,0.163,0.283,0.407,1.548
75,11190,0.169,0.276,0.401,1.694
76,11270,0.167,0.278,0.412,1.590
77,11986,0.157,0.252,0.391,1.739
78,12183,0.155,0.252,0.385,1.417
79,11990,0.157,0.251,0.391,1.606
80,11845,0.159,0.268,0.387,0.921
81,12281,0.155,0.245,0.374,0.681
82,12073,0.157,0.247,0.379,1.978
83,11151,0.164,0.303,0.478,3.780
84,12360,0.154,0.242,0.373,0.605
85,12193,0.155,0.249,0.381,1.210
86,12081,0.156,0.256,0.390,0.879
87,12183,0.156,0.248,0.381,0.713
88,11523,0.163,0.264,0.410,1.616
89,11079,0.170,0.288,0.434,1.736
90,7,0.167,0.206,0.206,0.206
