sec,count,p50_ms,p95_ms,p99_ms,max_ms
0,10994,0.186,0.242,0.290,1.000
1,10760,0.187,0.249,0.317,1.131
2,11027,0.186,0.243,0.281,0.936
3,11307,0.184,0.235,0.267,0.628
4,11135,0.185,0.239,0.276,0.652
5,11331,0.184,0.233,0.263,0.482
6,10884,0.186,0.251,0.317,1.022
7,10870,0.187,0.245,0.291,0.745
8,11264,0.184,0.235,0.272,0.582
9,11215,0.184,0.237,0.274,0.519
10,11234,0.185,0.236,0.272,0.753
11,11283,0.184,0.236,0.265,0.598
12,11140,0.184,0.240,0.282,5.340
13,11229,0.184,0.236,0.272,0.832
14,11267,0.184,0.235,0.268,1.390
15,11369,0.183,0.233,0.265,0.638
16,11250,0.184,0.236,0.274,1.255
17,11134,0.184,0.239,0.283,1.036
18,11110,0.184,0.242,0.283,0.707
19,10935,0.187,0.245,0.283,0.878
20,10736,0.184,0.251,0.494,2.711
21,7749,0.213,0.529,0.863,4.428
22,11316,0.182,0.234,0.272,0.668
23,11435,0.182,0.231,0.261,0.596
24,11475,0.180,0.231,0.270,0.636
25,11485,0.179,0.232,0.268,0.612
26,11394,0.181,0.237,0.275,1.446
27,11295,0.182,0.239,0.276,0.886
28,11210,0.183,0.237,0.284,1.525
29,11131,0.185,0.238,0.275,0.551
30,11334,0.173,0.232,0.278,47.227
31,13023,0.132,0.220,0.248,0.640
32,13633,0.130,0.216,0.244,0.732
33,14252,0.126,0.206,0.240,0.608
34,14726,0.124,0.194,0.232,0.800
35,13397,0.128,0.230,0.468,2.755
36,14976,0.123,0.183,0.228,0.658
37,15072,0.123,0.172,0.224,0.880
38,15160,0.123,0.169,0.218,0.647
39,14680,0.127,0.171,0.244,0.689
40,14956,0.125,0.166,0.225,0.650
41,15363,0.122,0.159,0.215,0.623
42,14604,0.127,0.175,0.243,0.695
43,14763,0.127,0.167,0.230,0.635
44,15128,0.123,0.161,0.218,2.415
45,15134,0.124,0.162,0.219,0.636
46,14904,0.125,0.168,0.226,0.695
47,15142,0.124,0.163,0.219,0.649
48,15278,0.122,0.163,0.220,0.528
49,15285,0.122,0.161,0.216,0.645
50,15320,0.122,0.159,0.212,0.677
51,15290,0.122,0.162,0.216,0.526
52,15185,0.123,0.162,0.218,1.330
53,15435,0.122,0.158,0.211,0.315
54,15198,0.122,0.164,0.226,0.520
55,14936,0.125,0.163,0.226,0.627
56,14855,0.125,0.167,0.238,0.456
57,14997,0.125,0.165,0.228,0.682
58,14077,0.125,0.213,0.375,1.485
59,15213,0.123,0.162,0.219,0.696
60,15392,0.122,0.159,0.215,0.563
61,15144,0.124,0.162,0.221,0.594
62,15206,0.123,0.160,0.216,0.342
63,14783,0.126,0.164,0.243,0.364
64,14475,0.129,0.173,0.251,0.665
65,14670,0.127,0.167,0.243,0.963
66,15140,0.123,0.164,0.235,0.649
67,15132,0.123,0.162,0.231,0.680
68,15353,0.122,0.159,0.221,0.419
69,15452,0.121,0.157,0.218,0.346
70,15372,0.122,0.157,0.222,0.617
71,15355,0.122,0.156,0.222,0.385
72,15335,0.122,0.159,0.222,0.636
73,15232,0.123,0.160,0.224,0.379
74,15159,0.124,0.159,0.224,0.369
75,15363,0.122,0.158,0.221,0.307
76,15118,0.123,0.161,0.229,0.577
77,14709,0.127,0.164,0.245,0.817
78,14584,0.128,0.167,0.255,0.912
79,15146,0.123,0.160,0.230,0.559
80,15313,0.122,0.158,0.219,0.397
81,15332,0.123,0.157,0.222,0.356
82,15300,0.122,0.159,0.225,0.499
83,14630,0.128,0.164,0.244,0.964
84,15247,0.123,0.159,0.224,0.360
85,15346,0.122,0.157,0.221,0.396
86,15195,0.123,0.159,0.224,0.789
87,15352,0.122,0.158,0.225,1.010
88,15042,0.124,0.163,0.233,1.390
89,15269,0.123,0.159,0.221,0.357
90,8,0.115,0.123,0.123,0.123
