sec,count,p50_ms,p95_ms,p99_ms,max_ms
0,15718,0.121,0.150,0.167,0.679
1,15765,0.121,0.149,0.165,0.211
2,15494,0.123,0.153,0.169,0.361
3,15616,0.122,0.151,0.167,0.446
4,15426,0.123,0.154,0.171,0.390
5,15552,0.122,0.151,0.168,0.370
6,15638,0.122,0.149,0.165,0.214
7,15574,0.122,0.152,0.167,0.308
8,15585,0.122,0.151,0.169,0.512
9,15369,0.123,0.154,0.172,5.064
10,15401,0.123,0.154,0.173,0.676
11,15492,0.122,0.152,0.170,0.971
12,15652,0.121,0.151,0.166,0.299
13,14965,0.127,0.159,0.180,0.428
14,14884,0.128,0.159,0.177,0.438
15,14723,0.130,0.160,0.178,0.326
16,15257,0.125,0.155,0.171,0.459
17,15415,0.123,0.153,0.170,0.379
18,15415,0.124,0.153,0.169,0.435
19,15398,0.123,0.155,0.172,0.638
20,15486,0.122,0.153,0.173,0.659
21,15606,0.122,0.150,0.166,0.206
22,15419,0.123,0.153,0.168,0.481
23,15541,0.122,0.151,0.167,0.268
24,15640,0.122,0.150,0.166,0.423
25,15641,0.122,0.151,0.167,0.272
26,15369,0.123,0.155,0.176,0.439
27,15769,0.121,0.149,0.165,0.237
28,15441,0.123,0.154,0.176,0.834
29,15421,0.123,0.153,0.171,0.560
30,15431,0.122,0.152,0.170,1.435
31,15741,0.121,0.149,0.166,0.303
32,11247,0.183,0.241,0.298,0.874
33,10578,0.185,0.237,0.273,49.343
34,11156,0.185,0.238,0.276,0.917
35,11108,0.186,0.239,0.276,0.539
36,11166,0.186,0.236,0.268,0.581
37,11227,0.185,0.235,0.271,0.489
38,11215,0.184,0.238,0.285,0.688
39,11165,0.185,0.238,0.273,0.983
40,11153,0.185,0.238,0.278,0.652
41,11404,0.183,0.233,0.267,0.501
42,11366,0.184,0.232,0.262,0.536
43,11211,0.184,0.236,0.268,0.706
44,11310,0.183,0.235,0.268,0.882
45,11197,0.185,0.237,0.275,0.804
46,11272,0.184,0.235,0.273,0.463
47,11052,0.184,0.239,0.276,0.653
48,11213,0.184,0.236,0.274,0.731
49,10825,0.187,0.248,0.297,1.226
50,11144,0.185,0.239,0.277,0.515
51,11137,0.186,0.238,0.273,0.594
52,11226,0.185,0.236,0.271,0.544
53,11125,0.186,0.238,0.274,0.470
54,10880,0.187,0.246,0.292,0.587
55,10934,0.187,0.243,0.285,0.511
56,11116,0.185,0.241,0.277,0.582
57,11079,0.187,0.238,0.274,0.495
58,11059,0.184,0.243,0.295,1.261
59,11323,0.182,0.234,0.269,1.017
60,11276,0.184,0.236,0.275,0.588
61,11341,0.184,0.233,0.262,0.446
62,11385,0.183,0.233,0.266,0.597
63,11129,0.186,0.239,0.276,0.977
64,11074,0.186,0.239,0.280,0.912
65,11291,0.184,0.233,0.266,0.441
66,11264,0.184,0.234,0.268,0.580
67,11272,0.184,0.235,0.268,0.758
68,11354,0.183,0.234,0.269,0.911
69,11275,0.183,0.235,0.275,0.800
70,11267,0.183,0.235,0.272,1.727
71,11388,0.183,0.231,0.263,0.512
72,11346,0.183,0.234,0.268,0.573
73,11308,0.184,0.232,0.261,0.700
74,11259,0.184,0.235,0.272,1.254
75,11225,0.184,0.238,0.273,0.663
76,11463,0.181,0.231,0.262,0.507
77,11261,0.184,0.235,0.269,0.595
78,11038,0.185,0.242,0.282,0.913
79,11108,0.183,0.241,0.278,0.595
80,11274,0.183,0.237,0.274,0.960
81,11248,0.184,0.237,0.271,0.677
82,11341,0.180,0.235,0.271,0.496
83,10859,0.186,0.243,0.296,3.692
84,11425,0.181,0.233,0.267,0.698
85,11213,0.185,0.236,0.266,0.639
86,11315,0.184,0.234,0.266,0.557
87,11260,0.184,0.235,0.274,0.863
88,11287,0.182,0.235,0.274,1.478
89,11418,0.181,0.232,0.268,0.679
90,6,0.182,0.196,0.196,0.196
