target,sample_rows,run,null_frac,est_rows
1,300,1,1,1
1,300,2,1,1
1,300,3,1,1
1,300,4,1,1
1,300,5,1,1
1,300,6,0.99666667,39982
1,300,7,1,1
1,300,8,1,1
1,300,9,1,1
1,300,10,1,1
1,300,11,1,1
1,300,12,1,1
1,300,13,1,1
1,300,14,1,1
1,300,15,1,1
1,300,16,1,1
1,300,17,1,1
1,300,18,1,1
1,300,19,1,1
1,300,20,1,1
1,300,21,1,1
1,300,22,1,1
1,300,23,1,1
1,300,24,1,1
1,300,25,1,1
1,300,26,1,1
1,300,27,1,1
1,300,28,1,1
1,300,29,1,1
1,300,30,1,1
1,300,31,1,1
1,300,32,1,1
1,300,33,1,1
1,300,34,1,1
1,300,35,1,1
1,300,36,1,1
1,300,37,1,1
1,300,38,1,1
1,300,39,1,1
1,300,40,1,1
10,3000,1,1,1
10,3000,2,0.9996667,4000
10,3000,3,1,1
10,3000,4,0.9996667,3998
10,3000,5,1,1
10,3000,6,1,1
10,3000,7,1,1
10,3000,8,1,1
10,3000,9,0.9996667,3999
10,3000,10,1,1
10,3000,11,1,1
10,3000,12,0.99866664,15999
10,3000,13,1,1
10,3000,14,1,1
10,3000,15,1,1
10,3000,16,0.9996667,4000
10,3000,17,0.998,23998
10,3000,18,0.9996667,3999
10,3000,19,0.9993333,8000
10,3000,20,0.9993333,8000
10,3000,21,0.9996667,3999
10,3000,22,1,1
10,3000,23,0.9993333,8000
10,3000,24,1,1
10,3000,25,0.9993333,8000
10,3000,26,0.9996667,4000
10,3000,27,0.9996667,3999
10,3000,28,1,1
10,3000,29,1,1
10,3000,30,1,1
10,3000,31,0.9996667,4000
10,3000,32,1,1
10,3000,33,0.9993333,8000
10,3000,34,1,1
10,3000,35,0.999,11999
10,3000,36,1,1
10,3000,37,0.9993333,8000
10,3000,38,0.999,12000
10,3000,39,1,1
10,3000,40,0.9996667,4000
100,30000,1,0.9997333,3200
100,30000,2,0.9996333,4400
100,30000,3,0.99986666,1600
100,30000,4,0.9998,2400
100,30000,5,0.99983335,2000
100,30000,6,1,1
100,30000,7,0.9999,1200
100,30000,8,0.9996333,4400
100,30000,9,0.99946666,6400
100,30000,10,0.9998,2400
1000,300000,1,0.99982,2160
1000,300000,2,0.99984336,1880
1000,300000,3,0.99978,2640
1000,300000,4,0.99980664,2320
1000,300000,5,0.99982,2160
