target,rep,planning_ms,stat_bytes,stat_values
1,1,0.628,311296,5
1,2,0.635,311296,5
1,3,0.580,311296,5
1,4,0.607,311296,5
1,5,0.598,311296,5
1,6,0.671,311296,5
1,7,0.603,311296,5
1,8,0.555,311296,5
1,9,0.674,311296,5
10,1,0.540,311296,23
10,2,0.618,311296,23
10,3,2.768,311296,23
10,4,0.568,311296,23
10,5,0.627,311296,23
10,6,0.742,311296,23
10,7,0.679,311296,23
10,8,0.607,311296,23
10,9,0.816,311296,23
100,1,0.551,311296,212
100,2,0.641,311296,212
100,3,0.671,311296,212
100,4,0.588,311296,212
100,5,0.640,311296,212
100,6,0.743,311296,212
100,7,0.609,311296,212
100,8,0.586,311296,212
100,9,0.701,311296,212
1000,1,0.572,311296,1156
1000,2,0.701,311296,1156
1000,3,0.611,311296,1156
1000,4,0.577,311296,1156
1000,5,0.616,311296,1156
1000,6,0.822,311296,1156
1000,7,0.647,311296,1156
1000,8,0.571,311296,1156
1000,9,0.623,311296,1156
10000,1,0.905,360448,10723
10000,2,0.699,360448,10723
10000,3,0.730,360448,10723
10000,4,0.724,360448,10723
10000,5,0.759,360448,10723
10000,6,0.683,360448,10723
10000,7,0.743,360448,10723
10000,8,0.704,360448,10723
10000,9,0.666,360448,10723
