arm,rows,elapsed_s,rate_per_s
seq,100000,5.27,18990.3
seq,200000,10.29,19914.0
seq,300000,14.91,21617.9
seq,400000,20.32,18484.8
seq,500000,25.65,18788.4
seq,600000,30.16,22142.7
seq,700000,34.43,23409.4
seq,800000,39.18,21076.5
seq,900000,43.33,24099.5
seq,1000000,47.77,22533.5
seq,1100000,51.91,24125.2
seq,1200000,56.67,21025.9
uuid7_counter,100000,5.89,16988.2
uuid7_counter,200000,11.83,16813.9
uuid7_counter,300000,17.62,17282.7
uuid7_counter,400000,22.69,19740.8
uuid7_counter,500000,28.59,16950.2
uuid7_counter,600000,34.49,16942.4
uuid7_counter,700000,39.34,20605.3
uuid7_counter,800000,45.39,16523.3
uuid7_counter,900000,49.81,22637.7
uuid7_counter,1000000,53.93,24268.1
uuid7_counter,1100000,58.3,22889.1
uuid7_counter,1200000,62.54,23606.4
uuid7_bin,100000,7.04,14198.3
uuid7_bin,200000,14.68,13096.8
uuid7_bin,300000,21.01,15791.7
uuid7_bin,400000,26.14,19497.9
uuid7_bin,500000,32.14,16663.9
uuid7_bin,600000,37.98,17117.6
uuid7_bin,700000,43.48,18197.6
uuid7_bin,800000,49.72,16017.0
uuid7_bin,900000,56.22,15395.9
uuid7_bin,1000000,62.17,16794.0
uuid7_bin,1100000,69.06,14525.1
uuid7_bin,1200000,75.43,15676.4
uuid4_bin,100000,5.43,18427.2
uuid4_bin,200000,11.43,16667.9
uuid4_bin,300000,17.67,16022.9
uuid4_bin,400000,24.05,15672.7
uuid4_bin,500000,39.18,6607.8
uuid4_bin,600000,51.91,7858.9
uuid4_bin,700000,66.06,7063.8
uuid4_bin,800000,79.2,7611.1
uuid4_bin,900000,91.07,8425.2
uuid4_bin,1000000,108.35,5786.5
uuid4_bin,1100000,137.99,3374.0
uuid4_bin,1200000,178.88,2445.7
uuid4_char,100000,9.28,10778.6
uuid4_char,200000,17.98,11495.5
uuid4_char,300000,27.32,10704.2
uuid4_char,400000,43.62,6135.5
uuid4_char,500000,79.52,2785.3
uuid4_char,600000,96.86,5766.1
uuid4_char,700000,111.51,6825.3
uuid4_char,800000,125.42,7189.3
uuid4_char,900000,144.85,5147.3
uuid4_char,1000000,179.38,2896.0
uuid4_char,1100000,225.05,2189.5
uuid4_char,1200000,275.5,1982.3
