# 반복 요약 (3/3 회차 정상 종료)

## measure.csv  (회차마다 [9] 행)
  조건                        열                              중앙         최소         최대     폭/중앙
  ff100-idx0                wal_bytes               2.795e+08  2.795e+08  2.795e+08     0.0%
  ff100-idx0                elapsed_s                   1.568      1.568      1.568     0.0%
  ff100-idx0                upd0                            0          0          0     0.0%
  ff100-idx0                hot0                            0          0          0     0.0%
  ff100-idx0                newpage0                        0          0          0     0.0%
  ff100-idx0                upd1                        5e+05      5e+05      5e+05     0.0%
  ff100-idx0                hot1                            0          0          0     0.0%
  ff100-idx0                newpage1                    5e+05      5e+05      5e+05     0.0%
  ff100-idx3                wal_bytes               3.822e+08  3.822e+08  3.822e+08     0.0%
  ff100-idx3                elapsed_s                   3.545      3.545      3.545     0.0%
  ff100-idx3                upd0                            0          0          0     0.0%
  ff100-idx3                hot0                            0          0          0     0.0%
  ff100-idx3                newpage0                        0          0          0     0.0%
  ff100-idx3                upd1                        5e+05      5e+05      5e+05     0.0%
  ff100-idx3                hot1                            0          0          0     0.0%
  ff100-idx3                newpage1                    5e+05      5e+05      5e+05     0.0%
  ff100-idx6                wal_bytes                4.84e+08   4.84e+08   4.84e+08     0.0%
  ff100-idx6                elapsed_s                   5.295      5.295      5.295     0.0%
  ff100-idx6                upd0                            0          0          0     0.0%
  ff100-idx6                hot0                            0          0          0     0.0%
  ff100-idx6                newpage0                        0          0          0     0.0%
  ff100-idx6                upd1                        5e+05      5e+05      5e+05     0.0%
  ff100-idx6                hot1                            0          0          0     0.0%
  ff100-idx6                newpage1                    5e+05      5e+05      5e+05     0.0%
  ff100-idx10               wal_bytes               6.244e+08  6.244e+08  6.244e+08     0.0%
  ff100-idx10               elapsed_s                   8.512      8.512      8.512     0.0%
  ff100-idx10               upd0                            0          0          0     0.0%
  ff100-idx10               hot0                            0          0          0     0.0%
  ff100-idx10               newpage0                        0          0          0     0.0%
  ff100-idx10               upd1                        5e+05      5e+05      5e+05     0.0%
  ff100-idx10               hot1                            0          0          0     0.0%
  ff100-idx10               newpage1                    5e+05      5e+05      5e+05     0.0%
  ff70-idx0                 wal_bytes               2.198e+08  2.198e+08  2.198e+08     0.0%
  ff70-idx0                 elapsed_s                   1.173      1.173      1.173     0.0%
  ff70-idx0                 upd0                            0          0          0     0.0%
  ff70-idx0                 hot0                            0          0          0     0.0%
  ff70-idx0                 newpage0                        0          0          0     0.0%
  ff70-idx0                 upd1                        5e+05      5e+05      5e+05     0.0%
  ff70-idx0                 hot1                    2.258e+05  2.258e+05  2.258e+05     0.0%
  ff70-idx0                 newpage1                2.742e+05  2.742e+05  2.742e+05     0.0%
