wal_compression,label,table,wal_bytes,hot_pct
off,인덱스 0개(ff100),t0,279544840,0.0
off,인덱스 10개(ff100),t10,617929104,0.0
off,인덱스 0개(ff70),u0,219760048,45.2
off,인덱스 10개(ff70),u10,411044856,45.2
off,인덱스 컬럼 갱신(v10),v10,627413872,0.0
off,2차 갱신 인덱스 10개,u10,294410528,57.5
off,2차 갱신 인덱스 0개,u0,188021384,57.5
pglz,인덱스 0개(ff100),t0,222506552,0.0
pglz,인덱스 10개(ff100),t10,556786528,0.0
pglz,인덱스 0개(ff70),u0,161584192,45.2
pglz,인덱스 10개(ff70),u10,348686816,45.2
pglz,인덱스 컬럼 갱신(v10),v10,556679928,0.0
pglz,2차 갱신 인덱스 10개,u10,230227872,57.5
pglz,2차 갱신 인덱스 0개,u0,127465616,57.5
lz4,인덱스 0개(ff100),t0,226413568,0.0
lz4,인덱스 10개(ff100),t10,561877680,0.0
lz4,인덱스 0개(ff70),u0,164510768,45.2
lz4,인덱스 10개(ff70),u10,352807464,45.2
lz4,인덱스 컬럼 갱신(v10),v10,563234272,0.0
lz4,2차 갱신 인덱스 10개,u10,234355352,57.5
lz4,2차 갱신 인덱스 0개,u0,130823736,57.5
zstd,인덱스 0개(ff100),t0,208254264,0.0
zstd,인덱스 10개(ff100),t10,539514640,0.0
zstd,인덱스 0개(ff70),u0,146475440,45.2
zstd,인덱스 10개(ff70),u10,330598704,45.2
zstd,인덱스 컬럼 갱신(v10),v10,532715120,0.0
zstd,2차 갱신 인덱스 10개,u10,212857184,57.5
zstd,2차 갱신 인덱스 0개,u0,112026248,57.5
