wal_compression,label,table,wal_bytes,hot_pct
off,인덱스 0개(ff100),t0,279544840,0.0
off,인덱스 10개(ff100),t10,617929104,0.0
off,인덱스 0개(ff70),u0,219760048,45.2
off,인덱스 10개(ff70),u10,411044800,45.2
off,인덱스 컬럼 갱신(v10),v10,627413872,0.0
off,2차 갱신 인덱스 10개,u10,294410584,57.5
off,2차 갱신 인덱스 0개,u0,188021384,57.5
on,인덱스 0개(ff100),t0,222506552,0.0
on,인덱스 10개(ff100),t10,556787120,0.0
on,인덱스 0개(ff70),u0,161584264,45.2
on,인덱스 10개(ff70),u10,348687016,45.2
on,인덱스 컬럼 갱신(v10),v10,556680856,0.0
on,2차 갱신 인덱스 10개,u10,230228120,57.5
on,2차 갱신 인덱스 0개,u0,127465184,57.5
