16,none,0,29273.328091,0 / 0
16,sub63,63,28869.606968,63 / 0
16,sub64,64,28783.851879,127 / 0
16,sub10k,10000,30517.549831,2448427 / 0
16,sub500k,500000,29315.156866,4777401 / 512416
17.5,none,0,96628.262235,0 / 0
17.5,sub63,63,92826.179811,63 / 0
17.5,sub64,64,91013.997435,64 / 0
17.5,sub10k,10000,89326.284944,7167958 / 6
17.5,sub500k,500000,65504.687574,4569367 / 1175253
16,none,0,100012.452750,0 / 0
16,sub63,63,95890.842472,63 / 0
16,sub64,64,93335.857639,127 / 0
16,sub10k,10000,93270.801296,7466407 / 6
16,sub500k,500000,59877.772434,11686995 / 1081578
17.5,none,0,99514.228692,0 / 0
17.5,sub63,63,97101.590875,63 / 0
17.5,sub64,64,93485.516410,64 / 0
17.5,sub10k,10000,91829.454184,7354030 / 6
17.5,sub500k,500000,69621.071416,4820372 / 1245420
16,none,0,95225.527697,0 / 0,1
16,none,0,94658.658469,0 / 0,2
16,none,0,94793.405697,0 / 0,3
16,sub63,63,91928.892506,63 / 0,1
16,sub63,63,90074.878000,126 / 0,2
16,sub63,63,89670.904195,189 / 0,3
16,sub64,64,89331.263694,253 / 0,1
16,sub64,64,88509.315681,317 / 0,2
16,sub64,64,87307.809268,381 / 0,3
16,sub10k,10000,85238.678066,6823925 / 6,1
16,sub10k,10000,84804.004874,13632217 / 12,2
16,sub10k,10000,83656.259320,20343619 / 18,3
16,sub500k,500000,56087.065824,24322632 / 1010529,1
16,sub500k,500000,56299.400619,28309770 / 2022707,2
16,sub500k,500000,55866.313415,32283702 / 3030521,3
17.5,none,0,94780.463138,0 / 0,1
17.5,none,0,94936.114022,0 / 0,2
17.5,none,0,95129.267133,0 / 0,3
17.5,sub63,63,91367.189856,63 / 0,1
17.5,sub63,63,90126.809807,63 / 0,2
17.5,sub63,63,90011.419783,63 / 0,3
17.5,sub64,64,88348.324856,64 / 0,1
17.5,sub64,64,88290.715899,64 / 0,2
17.5,sub64,64,85273.251075,64 / 0,3
17.5,sub10k,10000,85645.166000,6872766 / 6,1
17.5,sub10k,10000,84374.575953,6752394 / 6,2
17.5,sub10k,10000,84691.187809,6784694 / 6,3
17.5,sub500k,500000,64168.243474,4486024 / 1148904,1
17.5,sub500k,500000,64482.759826,4513334 / 1151058,2
17.5,sub500k,500000,64451.692352,4501076 / 1153254,3
