rows,run,kind,phase,seconds,bytes
100000,1,logical,backup,0.07,0
100000,1,logical,restore,0.06,0
100000,2,logical,backup,0.06,0
100000,2,logical,restore,0.05,0
100000,3,logical,backup,0.06,0
100000,3,logical,restore,0.06,0
100000,1,physical,backup,11.02,222622208
100000,1,physical,restore,3.85,222622208
100000,2,physical,backup,2.10,209213440
100000,2,physical,restore,3.61,209213440
100000,3,physical,backup,1.93,209213952
100000,3,physical,restore,4.50,209213952
1000000,1,logical,backup,0.74,82783057
1000000,1,logical,restore,9.12,82783057
1000000,2,logical,backup,0.81,82783057
1000000,2,logical,restore,8.97,82783057
1000000,3,logical,backup,0.88,82783057
1000000,3,logical,restore,9.02,82783057
1000000,1,physical,backup,2.93,559012864
1000000,1,physical,restore,4.26,559012864
1000000,2,physical,backup,2.79,559009280
1000000,2,physical,restore,3.95,559009280
1000000,3,physical,backup,2.06,559005184
1000000,3,physical,restore,4.71,559005184
