mode,round,window_start,scanned,raised,total_alerts
"A 워터마크만, 늦은 도착 없음",1,"2026-08-05 10:00:00.000",505,0,0
"A 워터마크만, 늦은 도착 없음",2,"2026-08-05 11:00:00.000",506,0,0
"A 워터마크만, 늦은 도착 없음",3,"2026-08-05 12:00:00.000",578,40,40
"A 워터마크만, 늦은 도착 없음",4,"2026-08-05 13:00:00.000",497,0,40
"A 워터마크만, 늦은 도착 없음",5,"2026-08-05 14:00:00.000",497,0,40
"A 워터마크만, 늦은 도착 없음",6,"2026-08-05 15:00:00.000",497,0,40
"B 워터마크만, 늦은 도착 있음",1,"2026-08-05 10:00:00.000",505,0,0
"B 워터마크만, 늦은 도착 있음",2,"2026-08-05 11:00:00.000",506,0,0
"B 워터마크만, 늦은 도착 있음",3,"2026-08-05 12:00:00.000",538,0,0
"B 워터마크만, 늦은 도착 있음",4,"2026-08-05 13:00:00.000",497,0,0
"B 워터마크만, 늦은 도착 있음",5,"2026-08-05 14:00:00.000",497,0,0
"B 워터마크만, 늦은 도착 있음",6,"2026-08-05 15:00:00.000",497,0,0
"C 워터마크를 10분 물려 둠, 늦은 도착 있음",1,"2026-08-05 10:00:00.000",505,0,0
"C 워터마크를 10분 물려 둠, 늦은 도착 있음",2,"2026-08-05 10:50:00.000",506,0,0
"C 워터마크를 10분 물려 둠, 늦은 도착 있음",3,"2026-08-05 11:40:00.000",500,0,0
"C 워터마크를 10분 물려 둠, 늦은 도착 있음",4,"2026-08-05 12:30:00.000",577,40,40
"C 워터마크를 10분 물려 둠, 늦은 도착 있음",5,"2026-08-05 13:20:00.000",498,0,40
"C 워터마크를 10분 물려 둠, 늦은 도착 있음",6,"2026-08-05 14:10:00.000",497,0,40
