check,actor,result,msg,detail
"승인 기록을 지운다","maker","막힘","Msg 229","The DELETE permission was denied on the object 'approval_log', d"
"승인자를 바꿔치기한다","maker","막힘","Msg 229","The UPDATE permission was denied on the object 'approval_log', d"
"요청 금액을 승인 뒤에 키운다","maker","막힘","Msg 229","The UPDATE permission was denied on the object 'approval_req', d"
"승인 상태를 직접 APPROVED 로","maker","막힘","Msg 229","The UPDATE permission was denied on the object 'approval_req', d"
"이력을 읽는 것은 된다","maker","통과","","1"
"한 명만 승인하고 실행","checker1","통과","",""
"  그 상태로 실행하면","maker","막힘","Msg 50064","not enough approvals"
"같은 사람이 또 승인","checker1","막힘","Msg 2627","Violation of UNIQUE KEY constraint 'UQ_approval'. Cannot insert "
"두 번째 승인자가 승인","checker2","통과","",""
"  이제 실행하면","maker","통과","","EXECUTED"
"만료된 요청을 승인","checker1","막힘","Msg 50062","approval expired"
"승인은 받았고 그 뒤 만료됨","maker","막힘","Msg 50065","approval expired at execution"
"승인 없이 되돌리기 실행","maker","막힘","Msg 50064","not enough approvals"
"둘이 승인한 뒤 실행","maker","통과","","EXECUTED"
