step,what,result,detail
1,"발행 DB 와 상시 공급 표를 만든다","됨",""
2,"구독 DB 를 만든다","됨",""
3,"표를 채운다","됨",""
4,"배포자를 세운다","됨",""
5,"배포 DB 를 만든다","됨","Configuration option 'allow updates' changed from 0 to 1. Ru"
6,"배포 DB 에 마스터 키를 만든다","됨",""
7,"발행자를 배포자에 등록","됨",""
8,"발행 DB 에 복제를 켠다","됨",""
9,"로그 판독기 에이전트를 붙인다 (sp_addlogreader_agent)","됨","Job 'A25-REPL-PUB-repl_src-1' started successfully."
10,"발행 항목을 트랜잭션 복제로 만든다 (@repl_freq=continuous)","됨",""
11,"스냅샷 에이전트를 붙인다","됨",""
12,"표를 발행 목록에 넣는다","됨","DBCC execution completed. If DBCC printed error messages, co"
13,"구독을 만든다","됨","DBCC execution completed. If DBCC printed error messages, co"
14,"배포 에이전트를 붙인다 (SQL 인증)","됨","DBCC execution completed. If DBCC printed error messages, co"
15,"그 에이전트가 SQL 인증으로 잡혔는지 되읽는다","됨","subscriber_security_mode = 0"
16,"배포 에이전트에 -EncryptionLevel 0 을 붙인다","됨",""
"-","에이전트 수","3개(로그 판독기 추가)","A25-REPL-PUB-repl_src-1"
"-","증분 전달","됨","500행"
"-","구독자 중단 중 적체","546 -> 20592건","배포 DB 22 -> 86MB"
"-","복구 후 따라잡기","됨","22500/22500"
"-","A 판독기 정상","SIMPLE/NOTHING","쓰인 로그 0.5 -> 1.2MB"
"-","B 판독기 중단","SIMPLE/REPLICATION","쓰인 로그 1.2 -> 23.8MB"
"-","판독기 재기동","SIMPLE/NOTHING","쓰인 로그 23.8 -> 7.9MB"
