table,selectivity,label,operator,grant_kb,est_rows,actual_rows,logical_reads
"orders","1000","LOOP 강제","Nested Loops","0","1000","1000000","4737"
"orders","1000","MERGE 강제","Merge Join","0","1000","1000000","2743"
"orders","1000","HASH 강제","Hash Match","1344","1000","1000000","2743"
"orders_noidx","1000","LOOP 강제","Nested Loops","3296","1000","1000000","5159"
"orders_noidx","1000","MERGE 강제","Merge Join","3968","1000","1000000","3172"
"orders_noidx","1000","HASH 강제","Hash Match","4640","1000","1000000","3172"
"orders_noidx","50","옵티마이저","Nested Loops","1040","50","50000","3217"
"orders_noidx","50","MERGE 강제","Merge Join","1584","50","50000","3119"
"orders_noidx","50","HASH 강제","Hash Match","2096","50","50000","3119"
"orders_noidx","100","옵티마이저","Nested Loops","1056","100","100000","3317"
"orders_noidx","100","MERGE 강제","Merge Join","1600","100","100000","3119"
"orders_noidx","100","HASH 강제","Hash Match","2128","100","100000","3119"
"orders_noidx","200","옵티마이저","Hash Match","4208","200","200000","3119"
"orders_noidx","200","MERGE 강제","Merge Join","69840","200","200000","3119"
"orders_noidx","200","HASH 강제","Hash Match","4208","200","200000","3119"
"orders_noidx","400","옵티마이저","Hash Match","4288","400","400000","3121"
"orders_noidx","400","MERGE 강제","Merge Join","69856","400","400000","3121"
"orders_noidx","400","HASH 강제","Hash Match","4288","400","400000","3121"
