selectivity,label,operator,logical_reads,grant_kb,cpu_ms,elapsed_ms
"1","옵티마이저 선택","Nested Loops","8","0","4","6"
"1","LOOP 강제","Nested Loops","8","0","1","1"
"1","MERGE 강제","Merge Join","8","0","2","2"
"1","HASH 강제","Hash Match","8","0","2","2"
"10","옵티마이저 선택","Nested Loops","51","0","2","4"
"10","LOOP 강제","Nested Loops","51","0","3","3"
"10","MERGE 강제","Merge Join","33","0","2","2"
"10","HASH 강제","Hash Match","33","1056","3","3"
"100","옵티마이저 선택","Merge Join","279","0","19","19"
"100","LOOP 강제","Nested Loops","477","0","19","20"
"100","MERGE 강제","Merge Join","279","0","19","19"
"100","HASH 강제","Hash Match","279","1056","19","19"
"1000","옵티마이저 선택","Merge Join","2743","0","185","196"
"1000","LOOP 강제","Nested Loops","4737","0","184","193"
"1000","MERGE 강제","Merge Join","2743","0","180","192"
"1000","HASH 강제","Hash Match","2743","0","199","207"
