table,selectivity,label,operator,logical_reads,cpu_ms
"orders","1","옵티마이저","Nested Loops","8","1"
"orders","1","LOOP 강제","Nested Loops","8","1"
"orders","1","MERGE 강제","Merge Join","8","0"
"orders","1","HASH 강제","Hash Match","8","2"
"orders","100","옵티마이저","Merge Join","279","219"
"orders","100","LOOP 강제","Nested Loops","477","22"
"orders","100","MERGE 강제","Merge Join","279","21"
"orders","100","HASH 강제","Hash Match","279","20"
"orders","1000","옵티마이저","Merge Join","2743","192"
"orders","1000","LOOP 강제","Nested Loops","4737","197"
"orders","1000","MERGE 강제","Merge Join","2743","188"
"orders","1000","HASH 강제","Hash Match","2743","193"
"orders_noidx","1","옵티마이저","Nested Loops","3119","61"
"orders_noidx","1","LOOP 강제","Nested Loops","3119","65"
"orders_noidx","1","MERGE 강제","Merge Join","3119","65"
"orders_noidx","1","HASH 강제","Hash Match","3119","63"
"orders_noidx","100","옵티마이저","Nested Loops","3317","79"
"orders_noidx","100","LOOP 강제","Nested Loops","3317","77"
"orders_noidx","100","MERGE 강제","Merge Join","3119","101"
"orders_noidx","100","HASH 강제","Hash Match","3119","84"
"orders_noidx","1000","옵티마이저","Hash Match","3172","214"
"orders_noidx","1000","LOOP 강제","Nested Loops","5159","141"
"orders_noidx","1000","MERGE 강제","Merge Join","3172","184"
"orders_noidx","1000","HASH 강제","Hash Match","3172","134"
