ts,ms,status
1785347522.619329000,30074,err:CannotCreateTransactionException
1785347522.619223000,30067,err:CannotCreateTransactionException
1785347522.623044000,30059,err:CannotCreateTransactionException
1785347522.619201000,30054,err:CannotCreateTransactionException
1785347522.623951000,30066,err:CannotCreateTransactionException
1785347522.633293000,30083,err:DataAccessResourceFailureException
1785347522.623961000,30061,err:CannotCreateTransactionException
1785347522.675622000,30134,ok
1785347522.679716000,30134,ok
1785347522.676872000,30139,ok
1785347522.676186000,30133,ok
1785347522.679692000,30125,ok
1785347522.680314000,30128,ok
1785347522.678293000,30125,ok
1785347522.678194000,30132,ok
1785347522.679748000,30141,ok
1785347522.726009000,44,ok
1785347522.726223000,50,ok
1785347522.730597000,40,ok
1785347522.731265000,55,ok
1785347522.728901000,52,ok
1785347522.725468000,45,ok
1785347522.731343000,40,ok
1785347522.783719000,39,ok
1785347522.783938000,35,ok
1785347522.792976000,36,ok
1785347522.781871000,42,ok
1785347522.773504000,34,ok
1785347522.785055000,37,ok
1785347522.787728000,37,ok
1785347522.788331000,40,ok
1785347522.795386000,29,ok
1785347522.802681000,49,ok
1785347522.822897000,33,ok
1785347522.829272000,40,ok
1785347522.830564000,40,ok
1785347522.829002000,47,ok
1785347522.829018000,50,ok
1785347522.830838000,41,ok
1785347522.876997000,38,ok
1785347522.868974000,45,ok
1785347522.868461000,41,ok
1785347522.870916000,51,ok
1785347522.880073000,40,ok
1785347522.886929000,45,ok
1785347522.886467000,41,ok
1785347522.911495000,45,ok
1785347522.911584000,42,ok
1785347522.941140000,45,ok
1785347522.944312000,53,ok
1785347522.921918000,42,ok
1785347522.961587000,56,ok
1785347522.951358000,52,ok
1785347522.956320000,54,ok
1785347522.970362000,46,ok
1785347522.971175000,38,ok
1785347522.974242000,43,ok
1785347522.979840000,42,ok
1785347523.017062000,40,ok
1785347523.015571000,57,ok
1785347522.976983000,56,ok
1785347523.020748000,42,ok
1785347523.012832000,44,ok
1785347523.034676000,46,ok
1785347523.068973000,40,ok
1785347523.062046000,38,ok
1785347523.065585000,41,ok
1785347523.089354000,41,ok
1785347523.083760000,27,ok
1785347523.086593000,37,ok
1785347523.079134000,45,ok
1785347523.085919000,44,ok
1785347523.098613000,39,ok
1785347523.111847000,40,ok
1785347523.104798000,41,ok
1785347523.112801000,44,ok
1785347523.112109000,37,ok
1785347523.126626000,44,ok
1785347523.135274000,44,ok
1785347523.131119000,39,ok
1785347523.164915000,41,ok
1785347523.141687000,36,ok
1785347523.181162000,34,ok
1785347523.178544000,39,ok
1785347523.181767000,39,ok
1785347523.177954000,36,ok
1785347523.180015000,42,ok
1785347523.189250000,39,ok
1785347523.201382000,39,ok
1785347523.205456000,44,ok
1785347523.209650000,37,ok
1785347523.216538000,40,ok
1785347523.200847000,43,ok
1785347523.227799000,41,ok
1785347523.250157000,43,ok
1785347523.234846000,39,ok
1785347523.250105000,34,ok
1785347523.250253000,34,ok
1785347523.255544000,44,ok
1785347523.253233000,28,ok
1785347523.261127000,31,ok
1785347523.267440000,39,ok
1785347523.285694000,36,ok
1785347523.291612000,41,ok
1785347523.304904000,40,ok
1785347523.285456000,43,ok
1785347523.299405000,35,ok
1785347523.293892000,33,ok
1785347523.312018000,47,ok
1785347523.327800000,35,ok
1785347523.333020000,38,ok
1785347523.365154000,37,ok
1785347523.361283000,32,ok
1785347523.357113000,45,ok
1785347523.364118000,36,ok
1785347523.349659000,52,ok
1785347523.348136000,40,ok
1785347523.358766000,41,ok
1785347523.345991000,37,ok
1785347523.386302000,38,ok
1785347523.378964000,27,ok
1785347523.391596000,38,ok
1785347523.388367000,37,ok
1785347523.399525000,42,ok
1785347523.419858000,39,ok
1785347523.421529000,37,ok
1785347523.437620000,34,ok
1785347523.435853000,51,ok
1785347523.439083000,32,ok
1785347523.453540000,40,ok
1785347523.449657000,44,ok
1785347523.445209000,38,ok
1785347523.447419000,36,ok
1785347523.461252000,48,ok
1785347523.462981000,45,ok
1785347523.477720000,38,ok
1785347523.486021000,35,ok
1785347523.497414000,34,ok
1785347523.497069000,34,ok
1785347523.522281000,41,ok
1785347523.524659000,45,ok
1785347523.522815000,33,ok
1785347523.529180000,46,ok
1785347523.524727000,43,ok
1785347523.520624000,47,ok
1785347523.543058000,36,ok
1785347523.538640000,35,ok
1785347523.541537000,30,ok
1785347523.536725000,40,ok
1785347523.560882000,38,ok
1785347523.561904000,32,ok
1785347523.559052000,34,ok
1785347523.587695000,30,ok
1785347523.593091000,50,ok
1785347523.595977000,46,ok
1785347523.605190000,29,ok
1785347523.593557000,40,ok
1785347523.614244000,36,ok
1785347523.620634000,33,ok
1785347523.614040000,45,ok
1785347523.614180000,36,ok
1785347523.628062000,36,ok
1785347523.624269000,47,ok
1785347523.627777000,42,ok
1785347523.627053000,33,ok
1785347523.641694000,34,ok
1785347523.648834000,44,ok
1785347523.651994000,37,ok
1785347523.680660000,45,ok
1785347523.683102000,35,ok
1785347523.678848000,35,ok
1785347523.682296000,34,ok
1785347523.688158000,39,ok
1785347523.716396000,42,ok
1785347523.715027000,48,ok
1785347523.715720000,55,ok
1785347523.714752000,47,ok
1785347523.718892000,47,ok
1785347523.710395000,45,ok
1785347523.722147000,47,ok
1785347523.736479000,50,ok
1785347523.749506000,33,ok
1785347523.763060000,39,ok
1785347523.766795000,40,ok
