ts,ms,status
1785347665.721097000,116,ok
1785347665.721192000,117,ok
1785347665.720638000,115,ok
1785347665.732294000,126,ok
1785347665.720632000,115,ok
1785347665.730182000,111,ok
1785347665.736001000,102,ok
1785347665.727484000,118,ok
1785347665.744560000,134,ok
1785347665.743086000,112,ok
1785347665.737420000,132,ok
1785347665.730870000,123,ok
1785347665.746307000,115,ok
1785347665.746721000,133,ok
1785347665.748884000,98,ok
1785347665.751695000,120,ok
1785347665.859128000,82,ok
1785347665.859100000,87,ok
1785347665.865927000,80,ok
1785347665.870439000,88,ok
1785347665.875484000,92,ok
1785347665.879633000,91,ok
1785347665.878063000,96,ok
1785347665.880136000,97,ok
1785347665.912395000,104,ok
1785347665.914717000,115,ok
1785347665.907756000,106,ok
1785347665.910292000,103,ok
1785347665.899538000,107,ok
1785347665.912086000,106,ok
1785347665.906047000,110,ok
1785347665.912284000,110,ok
1785347665.976360000,92,ok
1785347665.973832000,90,ok
1785347666.001056000,86,ok
1785347666.011465000,85,ok
1785347666.024193000,91,ok
1785347666.026500000,92,ok
1785347666.030868000,93,ok
1785347666.030791000,87,ok
1785347666.059128000,97,ok
1785347666.057343000,95,ok
1785347666.055026000,95,ok
1785347666.063655000,96,ok
1785347666.062595000,94,ok
1785347666.063505000,101,ok
1785347666.063456000,92,ok
1785347666.061147000,101,ok
1785347666.088773000,85,ok
1785347666.092821000,88,ok
1785347666.103482000,84,ok
1785347666.120378000,87,ok
1785347666.141811000,91,ok
1785347666.144341000,86,ok
1785347666.155246000,86,ok
1785347666.155550000,88,ok
1785347666.194805000,91,ok
1785347666.192960000,90,ok
1785347666.196805000,91,ok
1785347666.206839000,94,ok
1785347666.204070000,94,ok
1785347666.206911000,93,ok
1785347666.206138000,100,ok
1785347666.207236000,93,ok
1785347666.237375000,87,ok
1785347666.234170000,89,ok
1785347666.249028000,87,ok
1785347666.255409000,83,ok
1785347666.279555000,100,ok
1785347666.284110000,102,ok
1785347666.287262000,92,ok
1785347666.292152000,93,ok
1785347666.324892000,83,ok
1785347666.341319000,97,ok
1785347666.341919000,97,ok
1785347666.348212000,92,ok
1785347666.344500000,94,ok
1785347666.345156000,94,ok
1785347666.351842000,97,ok
1785347666.352953000,99,ok
1785347666.375137000,82,ok
1785347666.382489000,83,ok
1785347666.376565000,90,ok
1785347666.388035000,86,ok
1785347666.404468000,89,ok
1785347666.409887000,94,ok
1785347666.414594000,89,ok
1785347666.410972000,90,ok
1785347666.448210000,87,ok
1785347666.468807000,89,ok
1785347666.468718000,88,ok
1785347666.471090000,88,ok
1785347666.477812000,89,ok
1785347666.477350000,85,ok
