ts,ms,status
1785385722.781883000,93,ok
1785385722.789903000,116,ok
1785385722.797673000,120,ok
1785385722.799607000,101,ok
1785385722.787993000,113,ok
1785385722.793630000,120,ok
1785385722.785586000,116,ok
1785385722.781448000,108,ok
1785385722.805069000,123,ok
1785385722.803734000,98,ok
1785385722.806645000,134,ok
1785385722.792454000,111,ok
1785385722.805821000,117,ok
1785385722.806200000,137,ok
1785385722.800377000,128,ok
1785385722.814259000,115,ok
1785385722.934035000,90,ok
1785385722.934048000,90,ok
1785385722.961104000,99,ok
1785385722.952005000,90,ok
1785385722.957611000,106,ok
1785385722.970123000,90,ok
1785385722.967583000,110,ok
1785385722.963884000,118,ok
1785385722.971184000,92,ok
1785385722.969432000,99,ok
1785385722.970141000,99,ok
1785385722.964664000,92,ok
1785385722.974452000,94,ok
1785385722.974534000,104,ok
1785385722.963940000,107,ok
1785385722.980809000,102,ok
1785385723.038513000,86,ok
1785385723.039361000,87,ok
1785385723.079349000,80,ok
1785385723.086295000,82,ok
1785385723.086280000,80,ok
1785385723.088731000,81,ok
1785385723.092592000,82,ok
1785385723.095026000,91,ok
1785385723.096806000,85,ok
1785385723.102734000,88,ok
1785385723.104808000,91,ok
1785385723.114663000,97,ok
1785385723.114924000,94,ok
1785385723.117799000,79,ok
1785385723.116958000,92,ok
1785385723.113867000,94,ok
1785385723.144128000,85,ok
1785385723.149288000,90,ok
1785385723.192839000,89,ok
1785385723.206718000,79,ok
1785385723.210220000,86,ok
1785385723.214246000,76,ok
1785385723.225595000,86,ok
1785385723.244662000,90,ok
1785385723.232078000,83,ok
1785385723.255676000,84,ok
1785385723.252894000,94,ok
1785385723.254696000,96,ok
1785385723.250987000,91,ok
1785385723.242649000,85,ok
1785385723.260633000,95,ok
1785385723.267458000,83,ok
1785385723.269873000,89,ok
1785385723.262639000,94,ok
1785385723.311210000,96,ok
1785385723.321156000,90,ok
1785385723.344119000,87,ok
1785385723.355303000,85,ok
1785385723.370780000,84,ok
1785385723.380768000,87,ok
1785385723.379047000,84,ok
1785385723.399339000,88,ok
1785385723.397286000,91,ok
1785385723.390036000,86,ok
1785385723.401097000,96,ok
1785385723.384578000,94,ok
1785385723.403505000,87,ok
1785385723.403265000,96,ok
1785385723.409706000,84,ok
1785385723.409438000,84,ok
1785385723.433522000,88,ok
1785385723.426945000,84,ok
1785385723.443711000,82,ok
1785385723.471394000,99,ok
1785385723.488727000,89,ok
1785385723.518254000,78,ok
1785385723.528163000,84,ok
1785385723.531124000,83,ok
1785385723.532236000,83,ok
1785385723.541407000,87,ok
1785385723.540868000,83,ok
1785385723.544165000,92,ok
1785385723.555731000,95,ok
1785385723.555465000,84,ok
1785385723.568814000,79,ok
1785385723.556055000,82,ok
1785385723.557512000,106,ok
1785385723.571662000,83,ok
1785385723.568173000,82,ok
1785385723.582946000,78,ok
1785385723.589616000,80,ok
1785385723.619572000,83,ok
1785385723.632152000,81,ok
1785385723.640041000,77,ok
1785385723.640115000,80,ok
1785385723.661768000,86,ok
1785385723.665494000,83,ok
1785385723.666957000,78,ok
1785385723.681022000,83,ok
1785385723.682936000,76,ok
1785385723.685682000,81,ok
1785385723.691798000,80,ok
1785385723.696414000,81,ok
1785385723.695252000,79,ok
1785385723.702323000,83,ok
1785385723.703501000,81,ok
1785385723.703874000,82,ok
1785385723.724909000,80,ok
1785385723.736328000,79,ok
1785385723.727312000,76,ok
1785385723.736898000,78,ok
1785385723.761815000,82,ok
1785385723.764063000,81,ok
1785385723.764448000,79,ok
1785385723.793197000,78,ok
1785385723.792566000,78,ok
1785385723.801419000,84,ok
1785385723.806581000,86,ok
1785385723.806267000,82,ok
1785385723.812359000,90,ok
1785385723.819172000,85,ok
1785385723.828419000,86,ok
1785385723.814895000,82,ok
1785385723.841451000,79,ok
1785385723.846654000,82,ok
1785385723.851577000,84,ok
1785385723.852424000,82,ok
1785385723.868724000,85,ok
1785385723.870480000,80,ok
1785385723.869585000,82,ok
1785385723.901507000,83,ok
1785385723.902581000,86,ok
1785385723.905890000,78,ok
1785385723.922636000,82,ok
1785385723.928275000,76,ok
1785385723.924905000,87,ok
1785385723.928627000,81,ok
1785385723.936903000,82,ok
1785385723.946330000,85,ok
1785385723.959119000,80,ok
1785385723.955225000,79,ok
1785385723.966777000,79,ok
1785385723.968170000,80,ok
1785385723.981246000,78,ok
1785385723.980753000,79,ok
1785385723.981793000,84,ok
1785385724.018157000,94,ok
1785385724.019734000,96,ok
1785385724.019822000,91,ok
1785385724.030338000,82,ok
1785385724.030588000,84,ok
1785385724.031224000,84,ok
1785385724.036423000,77,ok
1785385724.039348000,76,ok
1785385724.045514000,77,ok
1785385724.075128000,84,ok
1785385724.077729000,91,ok
1785385724.080745000,87,ok
1785385724.082837000,80,ok
1785385724.077441000,97,ok
1785385724.083826000,79,ok
1785385724.083353000,80,ok
1785385724.118747000,79,ok
1785385724.118754000,77,ok
1785385724.119906000,81,ok
1785385724.135168000,79,ok
1785385724.138584000,76,ok
1785385724.139559000,75,ok
1785385724.141498000,80,ok
1785385724.143225000,77,ok
1785385724.139658000,80,ok
1785385724.176086000,76,ok
1785385724.184717000,84,ok
1785385724.187889000,86,ok
1785385724.186334000,85,ok
1785385724.189465000,85,ok
1785385724.189765000,86,ok
1785385724.188476000,86,ok
1785385724.225095000,81,ok
1785385724.224782000,83,ok
1785385724.225076000,82,ok
1785385724.241866000,78,ok
1785385724.243935000,80,ok
1785385724.250068000,84,ok
1785385724.253056000,84,ok
1785385724.251974000,84,ok
1785385724.255036000,86,ok
1785385724.286917000,80,ok
1785385724.289053000,82,ok
1785385724.290201000,80,ok
1785385724.288820000,80,ok
1785385724.290085000,79,ok
1785385724.291203000,80,ok
1785385724.295866000,85,ok
1785385724.326033000,82,ok
1785385724.327352000,84,ok
1785385724.326768000,83,ok
1785385724.346259000,79,ok
1785385724.346725000,81,ok
1785385724.348448000,77,ok
1785385724.351583000,77,ok
1785385724.353101000,79,ok
1785385724.354901000,78,ok
1785385724.390808000,77,ok
1785385724.393808000,75,ok
1785385724.392687000,77,ok
1785385724.392753000,77,ok
1785385724.397801000,80,ok
1785385724.398404000,82,ok
1785385724.399171000,82,ok
1785385724.426141000,81,ok
1785385724.425211000,79,ok
1785385724.424977000,77,ok
1785385724.443941000,73,ok
1785385724.444324000,72,ok
1785385724.446533000,73,ok
1785385724.446499000,73,ok
1785385724.452124000,76,ok
1785385724.452343000,77,ok
1785385724.491653000,77,ok
1785385724.491768000,77,ok
1785385724.491677000,76,ok
1785385724.492093000,77,ok
1785385724.491925000,79,ok
1785385724.500742000,79,ok
1785385724.502655000,82,ok
1785385724.527082000,80,ok
1785385724.527843000,80,ok
1785385724.527444000,80,ok
1785385724.546796000,73,ok
1785385724.544166000,76,ok
1785385724.542714000,72,ok
1785385724.545358000,74,ok
1785385724.548325000,77,ok
1785385724.549623000,76,ok
1785385724.587754000,76,ok
1785385724.592815000,80,ok
1785385724.594370000,81,ok
1785385724.594329000,79,ok
1785385724.597476000,83,ok
1785385724.601956000,78,ok
1785385724.603739000,83,ok
1785385724.631767000,82,ok
1785385724.635435000,82,ok
1785385724.635841000,82,ok
1785385724.653453000,84,ok
1785385724.652620000,83,ok
1785385724.653122000,79,ok
1785385724.654069000,82,ok
1785385724.654591000,81,ok
1785385724.655461000,82,ok
1785385724.687419000,77,ok
1785385724.695639000,80,ok
1785385724.705183000,85,ok
1785385724.704892000,86,ok
1785385724.704562000,79,ok
1785385724.706199000,87,ok
1785385724.707407000,82,ok
1785385724.736007000,78,ok
1785385724.740542000,81,ok
1785385724.739984000,81,ok
1785385724.761453000,78,ok
1785385724.759312000,80,ok
1785385724.760776000,80,ok
1785385724.765330000,81,ok
1785385724.761752000,76,ok
1785385724.766045000,79,ok
1785385724.787700000,78,ok
1785385724.810866000,82,ok
1785385724.811954000,83,ok
1785385724.812812000,91,ok
1785385724.814648000,86,ok
1785385724.813530000,82,ok
1785385724.815149000,80,ok
1785385724.837753000,77,ok
1785385724.839746000,81,ok
1785385724.843844000,79,ok
1785385724.870997000,84,ok
1785385724.870603000,79,ok
1785385724.875628000,81,ok
1785385724.876769000,80,ok
1785385724.870412000,83,ok
1785385724.879711000,81,ok
1785385724.899710000,80,ok
1785385724.926907000,82,ok
1785385724.938536000,93,ok
1785385724.935826000,91,ok
1785385724.926589000,83,ok
1785385724.938506000,91,ok
1785385724.937928000,87,ok
1785385724.946020000,80,ok
1785385724.958516000,86,ok
1785385724.961376000,85,ok
1785385724.982656000,84,ok
1785385724.993178000,87,ok
1785385724.993201000,81,ok
1785385724.994626000,92,ok
1785385724.993458000,92,ok
1785385724.998593000,96,ok
1785385725.013399000,84,ok
1785385725.039677000,80,ok
1785385725.052963000,88,ok
1785385725.054686000,88,ok
1785385725.055818000,90,ok
1785385725.055843000,84,ok
1785385725.055855000,85,ok
1785385725.061356000,82,ok
1785385725.077992000,81,ok
1785385725.081582000,81,ok
1785385725.100231000,77,ok
1785385725.107500000,80,ok
1785385725.105197000,80,ok
1785385725.103066000,78,ok
1785385725.107870000,84,ok
1785385725.110999000,80,ok
1785385725.117880000,75,ok
1785385725.140735000,78,ok
1785385725.154515000,76,ok
1785385725.154626000,80,ok
1785385725.161840000,80,ok
1785385725.163509000,83,ok
1785385725.165612000,75,ok
1785385725.163589000,80,ok
1785385725.179116000,77,ok
1785385725.182876000,76,ok
1785385725.204356000,73,ok
1785385725.203536000,77,ok
1785385725.206621000,74,ok
1785385725.208954000,77,ok
1785385725.213239000,78,ok
1785385725.215187000,75,ok
1785385725.213438000,78,ok
1785385725.236215000,77,ok
1785385725.255242000,79,ok
1785385725.257245000,80,ok
1785385725.261879000,75,ok
1785385725.264915000,76,ok
1785385725.265750000,80,ok
1785385725.267100000,78,ok
1785385725.283009000,79,ok
1785385725.284916000,80,ok
1785385725.309930000,80,ok
1785385725.310830000,75,ok
1785385725.313092000,76,ok
1785385725.311338000,82,ok
1785385725.316475000,79,ok
1785385725.315606000,78,ok
1785385725.314486000,74,ok
1785385725.335325000,77,ok
1785385725.360222000,82,ok
1785385725.361930000,81,ok
1785385725.368122000,78,ok
1785385725.366172000,78,ok
1785385725.366566000,81,ok
1785385725.370362000,80,ok
1785385725.387190000,81,ok
1785385725.386968000,80,ok
1785385725.411494000,76,ok
1785385725.415801000,77,ok
1785385725.414530000,76,ok
1785385725.423272000,83,ok
1785385725.423529000,82,ok
1785385725.414468000,77,ok
1785385725.423110000,84,ok
