ts,ms,status
1785385924.116104000,30084,err:SQLTransientConnectionException
1785385924.116063000,30084,err:SQLTransientConnectionException
1785385924.115979000,30082,err:SQLTransientConnectionException
1785385924.119058000,30081,err:SQLTransientConnectionException
1785385924.115963000,30069,err:SQLTransientConnectionException
1785385924.119040000,30079,err:SQLTransientConnectionException
1785385924.165467000,30126,err:SQLTransientConnectionException
1785385924.165477000,30129,err:SQLTransientConnectionException
1785385924.165322000,30123,err:SQLTransientConnectionException
1785385924.165359000,30122,err:SQLTransientConnectionException
1785385924.165506000,30126,err:SQLTransientConnectionException
1785385924.165648000,30132,err:SQLTransientConnectionException
1785385924.165771000,30124,err:SQLTransientConnectionException
1785385924.180000000,30135,ok
1785385924.184145000,30134,ok
1785385924.185918000,30135,ok
1785385954.241457000,30099,err:SQLTransientConnectionException
1785385954.235517000,30034,err:SQLTransientConnectionException
1785385954.235645000,30025,err:SQLTransientConnectionException
1785385954.237020000,30098,err:SQLTransientConnectionException
1785385954.239358000,30099,ok
1785385954.243664000,30104,err:SQLTransientConnectionException
1785385954.237109000,30098,err:SQLTransientConnectionException
1785385954.251211000,30059,ok
1785385954.247832000,30050,ok
1785385954.242429000,30030,err:SQLTransientConnectionException
1785385954.245019000,30104,ok
1785385954.247748000,30043,err:SQLTransientConnectionException
1785385954.251761000,30053,ok
1785385954.250312000,30054,ok
1785385954.286795000,30088,ok
1785385954.293083000,30077,ok
