ts,ms,status
1785390193.876884000,30087,err:CannotCreateTransactionException
1785390193.877124000,30086,err:CannotCreateTransactionException
1785390193.876865000,30071,err:CannotCreateTransactionException
1785390193.877167000,30069,err:CannotCreateTransactionException
1785390193.877221000,30089,err:CannotCreateTransactionException
1785390193.876891000,30087,err:CannotCreateTransactionException
1785390193.891034000,30085,err:DataAccessResourceFailureException
1785390193.890384000,30104,err:DataAccessResourceFailureException
1785390193.892169000,30090,err:DataAccessResourceFailureException
1785390193.891101000,30089,err:DataAccessResourceFailureException
1785390193.899095000,30102,err:DataAccessResourceFailureException
1785390193.896935000,30101,err:DataAccessResourceFailureException
1785390193.900799000,30105,err:DataAccessResourceFailureException
1785390193.896307000,30109,err:DataAccessResourceFailureException
1785390193.898374000,30106,err:DataAccessResourceFailureException
1785390193.895892000,30101,err:DataAccessResourceFailureException
1785390194.001460000,81,ok
1785390194.001672000,81,ok
1785390194.001563000,81,ok
1785390194.001450000,81,ok
1785390194.001506000,81,ok
1785390194.011501000,76,ok
1785390223.980743000,30055,err:DataAccessResourceFailureException
1785390223.980710000,30049,err:DataAccessResourceFailureException
1785390223.984785000,30045,err:DataAccessResourceFailureException
1785390223.990486000,30057,ok
1785390224.000173000,30062,ok
1785390223.994417000,30058,ok
1785390224.004759000,30067,ok
1785390224.011314000,30059,ok
1785390224.014074000,30059,ok
1785390224.011781000,30072,ok
1785390224.024088000,29998,ok
1785390224.026463000,30000,ok
1785390224.022392000,29998,ok
1785390224.031155000,30005,ok
1785390224.033265000,30007,ok
1785390224.037525000,30006,ok
