ts,ms,status
1785347629.769760000,30057,err:SQLTransientConnectionException
1785347629.770895000,30051,err:SQLTransientConnectionException
1785347629.771953000,30051,err:SQLTransientConnectionException
1785347629.769174000,30055,err:SQLTransientConnectionException
1785347629.779245000,30058,err:SQLTransientConnectionException
1785347629.779231000,30042,err:SQLTransientConnectionException
1785347629.825498000,30118,err:SQLTransientConnectionException
1785347629.825898000,30116,err:SQLTransientConnectionException
1785347629.825388000,30108,ok
1785347629.822511000,30111,err:SQLTransientConnectionException
1785347629.828884000,30114,err:SQLTransientConnectionException
1785347629.824681000,30119,err:SQLTransientConnectionException
1785347629.827384000,30120,ok
1785347629.828185000,30120,ok
1785347629.830584000,30125,ok
1785347629.829749000,30120,err:SQLTransientConnectionException
1785347659.913179000,30104,err:SQLTransientConnectionException
1785347659.914902000,30092,err:SQLTransientConnectionException
1785347659.919165000,30046,err:SQLTransientConnectionException
1785347659.914047000,30042,err:SQLTransientConnectionException
1785347659.921180000,30049,err:SQLTransientConnectionException
1785347659.912961000,30104,err:SQLTransientConnectionException
1785347659.912954000,30041,err:SQLTransientConnectionException
1785347659.913962000,30041,err:SQLTransientConnectionException
1785347659.934553000,30068,ok
1785347659.919425000,30047,err:SQLTransientConnectionException
1785347659.933861000,30125,ok
1785347659.934097000,30111,ok
1785347659.932568000,30065,ok
1785347659.934068000,30064,ok
1785347659.936408000,30065,ok
1785347659.933232000,30124,ok
