# [buggy-r2] route=buggy TOMCAT_MAX_THREADS=200 RATE=400 VUS=5000 PREVUS=5000 RAMP=5s HOLD=20s DOWN=5s
# 설정  pool=10 connection-timeout=2000ms tomcat.threads.max=200 accept-count=1000 shed.permits=10

# 앱 안에서 잰 계층별 시간 (서블릿 필터 기준)
inapp_200                count=8730    min=50.56ms   p50=972.13ms  p90=1985.72ms p95=2014.53ms p99=2046.21ms max=2136.75ms mean=703.17ms
inapp_500                count=1268    min=2000.27ms p50=2000.85ms p90=2006.65ms p95=2010.96ms p99=2039.90ms max=2180.39ms mean=2003.30ms
pool_acquire_ok          count=8730    min=0.00ms    p50=906.54ms  p90=1933.36ms p95=1960.67ms p99=1988.05ms max=2056.35ms mean=646.78ms
pool_acquire_timeout     count=1268    min=2000.10ms p50=2000.35ms p90=2004.17ms p95=2006.98ms p99=2025.66ms max=2141.84ms mean=2002.06ms
query_after_acquire      count=8730    min=50.29ms   p50=50.83ms   p90=55.78ms   p95=60.57ms   p99=92.05ms   max=191.97ms  mean=52.97ms

# 큐 길이 표본 100ms 간격, 594개
최댓값  hikari_active=10 hikari_waiting=191 tomcat_busy=200 tomcat_queue=4232 tomcat_conn=4913
t(s)  hikari(active/idle/waiting)  tomcat(busy/pool/queue/conn)
  0.0   -1/ -1/   -1                -1/  -1/   -1/   -1
  1.0    0/  1/    0                -1/  -1/   -1/   -1
  2.3    0/  7/    0                -1/  -1/   -1/   -1
  3.4    0/ 10/    0                -1/  -1/   -1/    0
  4.4    0/ 10/    0                 0/  10/    0/    1
  5.4    0/ 10/    0                 0/  10/    0/    1
  6.4    0/ 10/    0                 0/  10/    0/    1
  7.4    0/ 10/    0                 0/  10/    0/    1
  8.4    0/ 10/    0                 0/  10/    0/    1
  9.4    0/ 10/    0                 0/  10/    0/    1
 10.4    0/ 10/    0                 0/  10/    0/    1
 11.4    0/ 10/    0                 0/  10/    0/    1
 12.5    3/  7/    0                 3/  10/    0/   61
 13.5    9/  1/    0                10/  15/    0/  201
 14.5    9/  1/   26                37/  46/    0/  424
 15.6   10/  0/   91               102/ 109/    0/  744
 16.6    9/  1/  129               142/ 171/   29/ 1141
 17.8    8/  2/  181               200/ 200/  486/ 1580
 18.8   10/  0/  168               200/ 200/  697/ 1979
 19.9   10/  0/  184               200/ 200/  959/ 2415
 20.9   10/  0/  181               200/ 200/ 1175/ 2801
 21.9   10/  0/  188               200/ 200/ 1376/ 3194
 23.0   10/  0/  189               200/ 200/ 1607/ 3599
 24.0   10/  0/  190               200/ 200/ 1790/ 3975
 25.0   10/  0/  189               200/ 200/ 1974/ 4352
 26.0    9/  1/  185               200/ 200/ 2169/ 4729
 27.1   10/  0/  189               200/ 200/ 2397/ 4806
 28.2   10/  0/  190               200/ 200/ 2599/ 4784
 29.2    8/  2/  189               200/ 200/ 2792/ 4792
 30.2   10/  0/  190               200/ 200/ 2987/ 4808
 31.2   10/  0/  189               200/ 200/ 3173/ 4822
 32.3   10/  0/  190               200/ 200/ 3375/ 4845
 33.3   10/  0/  190               200/ 200/ 3543/ 4843
 34.3   10/  0/  190               200/ 200/ 3716/ 4847
 35.3   10/  0/  190               200/ 200/ 3882/ 4850
 36.3   10/  0/  189               200/ 200/ 4047/ 4871
 37.3   10/  0/  190               200/ 200/ 4181/ 4891
 38.3   10/  0/  190               200/ 200/ 4228/ 4909
 39.3   10/  0/  190               200/ 200/ 4195/ 4904
 40.4   10/  0/  190               200/ 200/ 4106/ 4909
 41.4   10/  0/  190               200/ 200/ 3915/ 4889
 42.4   10/  0/  189               200/ 200/ 3697/ 4865
 43.4   10/  0/  190               200/ 200/ 3442/ 4808
 44.4   10/  0/  190               200/ 200/ 3214/ 4774
 45.4   10/  0/  190               200/ 200/ 2975/ 4731
 46.5   10/  0/  190               200/ 200/ 2733/ 4687
 47.5   10/  0/  190               200/ 200/ 2491/ 4641
 48.5   10/  0/  190               200/ 200/ 2278/ 4622
 49.5   10/  0/  190               200/ 200/ 2076/ 4616
 50.5   10/  0/  190               200/ 200/ 1844/ 4581
 51.5   10/  0/  187               200/ 200/ 1608/ 4543
 52.5   10/  0/  190               200/ 200/ 1393/ 4512
 53.5   10/  0/  190               200/ 200/ 1136/ 4454
 54.5   10/  0/  190               200/ 200/  909/ 4421
 55.6   10/  0/  190               200/ 200/  676/ 4367
 56.6   10/  0/  190               200/ 200/  447/ 4333
 57.6   10/  0/  190               200/ 200/  197/ 4281
 58.6   10/  0/  158               168/ 200/    0/ 4245
 59.6    0/ 10/    0                 0/ 200/    0/ 4245
 60.8    0/ 10/    0                 0/ 200/    0/    1
