# [buggy] route=buggy TOMCAT_MAX_THREADS=200 RATE=400 VUS=5000 RAMP=5s HOLD=20s DOWN=5s
# 설정  pool=10 connection-timeout=2000ms tomcat.threads.max=200 accept-count=1000 shed.permits=10

# 앱 안에서 잰 계층별 시간 (서블릿 필터 기준)
inapp_200                count=9238    min=50.46ms   p50=1014.66ms p90=1987.56ms p95=2017.37ms p99=2041.43ms max=2127.07ms mean=823.12ms
inapp_500                count=761     min=2000.20ms p50=2000.70ms p90=2005.53ms p95=2013.42ms p99=2072.44ms max=2271.47ms mean=2003.90ms
pool_acquire_ok          count=9238    min=0.00ms    p50=962.97ms  p90=1935.44ms p95=1964.18ms p99=1987.31ms max=2001.94ms mean=769.15ms
pool_acquire_timeout     count=761     min=2000.06ms p50=2000.29ms p90=2003.94ms p95=2009.25ms p99=2063.95ms max=2152.99ms mean=2002.81ms
query_after_acquire      count=9238    min=50.25ms   p50=50.61ms   p90=52.88ms   p95=55.68ms   p99=99.12ms   max=171.54ms  mean=52.22ms

# 큐 길이 표본 100ms 간격, 578개
최댓값  hikari_active=10 hikari_waiting=191 tomcat_busy=200 tomcat_queue=4335 tomcat_conn=4995
t(s)  hikari(active/idle/waiting)  tomcat(busy/pool/queue/conn)
  0.0   -1/ -1/   -1                -1/  -1/   -1/   -1
  1.1    0/  3/    0                -1/  -1/   -1/   -1
  2.1    0/ 10/    0                 0/  10/    0/    1
  3.1    0/ 10/    0                 0/  10/    0/    1
  4.1    0/ 10/    0                 0/  10/    0/    1
  5.1    0/ 10/    0                 0/  10/    0/    1
  6.1    0/ 10/    0                 0/  10/    0/    1
  7.1    0/ 10/    0                 0/  10/    0/    1
  8.1    2/  8/    0                 2/  10/    0/   13
  9.1    6/  4/    0                 6/  12/    0/   98
 10.2   10/  0/    8                18/  23/    0/  265
 11.2   10/  0/   56                66/  70/    0/  507
 12.2   10/  0/  190               200/ 200/   28/  861
 13.2   10/  0/  190               200/ 200/  231/ 1253
 14.3   10/  0/  190               200/ 200/  441/ 1645
 15.3   10/  0/  189               200/ 200/  645/ 2041
 16.3   10/  0/  187               200/ 200/  864/ 2445
 17.4   10/  0/  190               200/ 200/ 1076/ 2842
 18.4   10/  0/  190               200/ 200/ 1275/ 3237
 19.4   10/  0/  186               200/ 200/ 1477/ 3637
 20.4   10/  0/  190               200/ 200/ 1694/ 4038
 21.5   10/  0/  190               200/ 200/ 1918/ 4465
 22.5   10/  0/  188               200/ 200/ 2118/ 4856
 23.5   10/  0/  190               200/ 200/ 2310/ 4863
 24.5   10/  0/  190               200/ 200/ 2504/ 4849
 25.5   10/  0/  189               200/ 200/ 2700/ 4872
 26.6   10/  0/  190               200/ 200/ 2912/ 4880
 27.6   10/  0/  190               200/ 200/ 3107/ 4886
 28.6   10/  0/  190               200/ 200/ 3299/ 4901
 29.6   10/  0/  190               200/ 200/ 3499/ 4909
 30.6   10/  0/  190               200/ 200/ 3677/ 4924
 31.6   10/  0/  190               200/ 200/ 3898/ 4944
 32.6   10/  0/  190               200/ 200/ 4091/ 4953
 33.6   10/  0/  190               200/ 200/ 4247/ 4973
 34.7   10/  0/  190               200/ 200/ 4325/ 4988
 35.7    9/  1/  190               200/ 200/ 4324/ 4978
 36.7   10/  0/  190               200/ 200/ 4224/ 4966
 37.7   10/  0/  189               200/ 200/ 4046/ 4948
 38.7   10/  0/  190               200/ 200/ 3841/ 4940
 39.7   10/  0/  190               200/ 200/ 3631/ 4921
 40.7   10/  0/  190               200/ 200/ 3416/ 4882
 41.7   10/  0/  190               200/ 200/ 3200/ 4864
 42.7   10/  0/  190               200/ 200/ 2973/ 4834
 43.7   10/  0/  190               200/ 200/ 2747/ 4802
 44.7   10/  0/  190               200/ 200/ 2537/ 4790
 45.7   10/  0/  190               200/ 200/ 2333/ 4786
 46.8   10/  0/  190               200/ 200/ 2136/ 4779
 47.8   10/  0/  190               200/ 200/ 1926/ 4769
 48.8   10/  0/  190               200/ 200/ 1717/ 4760
 49.8   10/  0/  190               200/ 200/ 1510/ 4743
 50.8   10/  0/  190               200/ 200/ 1270/ 4702
 51.8   10/  0/  190               200/ 200/ 1041/ 4668
 52.8   10/  0/  190               200/ 200/  824/ 4634
 53.8   10/  0/  190               200/ 200/  598/ 4608
 54.8   10/  0/  190               200/ 200/  380/ 4580
 55.9   10/  0/  190               200/ 200/  131/ 4531
 56.9   10/  0/  109               119/ 200/    0/ 4512
 57.9    0/ 10/    0                 0/ 200/    0/ 4512
