# [buggy-t10] route=buggy TOMCAT_MAX_THREADS=10 RATE=400 VUS=5000 PREVUS=5000 RAMP=5s HOLD=20s DOWN=5s
# 설정  pool=10 connection-timeout=2000ms tomcat.threads.max=10 accept-count=1000 shed.permits=10

# 앱 안에서 잰 계층별 시간 (서블릿 필터 기준)
inapp_200                count=9999    min=50.51ms   p50=51.28ms   p90=56.05ms   p95=60.93ms   p99=99.40ms   max=258.80ms  mean=53.49ms
pool_acquire_ok          count=9999    min=0.00ms    p50=0.00ms    p90=0.01ms    p95=0.02ms    p99=0.03ms    max=34.28ms   mean=0.02ms
pool_acquire_timeout     count=0       (표본 없음)
query_after_acquire      count=9999    min=50.31ms   p50=50.77ms   p90=53.31ms   p95=55.96ms   p99=92.70ms   max=215.73ms  mean=52.31ms

# 큐 길이 표본 100ms 간격, 670개
최댓값  hikari_active=10 hikari_waiting=0 tomcat_busy=10 tomcat_queue=4947 tomcat_conn=5001
t(s)  hikari(active/idle/waiting)  tomcat(busy/pool/queue/conn)
  0.0   -1/ -1/   -1                -1/  -1/   -1/   -1
  1.1    0/  1/    0                -1/  -1/   -1/   -1
  2.1    0/ 10/    0                -1/  -1/   -1/   -1
  3.1    0/ 10/    0                 0/  10/    0/    1
  4.1    0/ 10/    0                 1/  10/    0/    2
  5.1    0/ 10/    0                 0/  10/    0/    1
  6.1    0/ 10/    0                 0/  10/    0/    1
  7.2    0/ 10/    0                 0/  10/    0/    1
  8.2    0/ 10/    0                 0/  10/    0/    1
  9.2    0/ 10/    0                 0/  10/    0/    1
 10.2    0/ 10/    0                 0/  10/    0/    1
 11.2    0/ 10/    0                 0/  10/    0/    1
 12.3    4/  6/    0                 4/  10/    0/   28
 13.3    7/  3/    0                10/  10/    1/  139
 14.3    8/  2/    0                10/  10/   24/  331
 15.4    9/  1/    0                10/  10/  149/  619
 16.4   10/  0/    0                10/  10/  337/  975
 17.4   10/  0/    0                10/  10/  571/ 1386
 18.4   10/  0/    0                10/  10/  804/ 1786
 19.4    7/  3/    0                10/  10/ 1044/ 2204
 20.4   10/  0/    0                10/  10/ 1274/ 2606
 21.5   10/  0/    0                10/  10/ 1487/ 3009
 22.5   10/  0/    0                10/  10/ 1703/ 3414
 23.5    9/  1/    0                10/  10/ 1934/ 3815
 24.5   10/  0/    0                10/  10/ 2144/ 4221
 25.5   10/  0/    0                10/  10/ 2355/ 4622
 26.5   10/  0/    0                10/  10/ 2585/ 5001
 27.6   10/  0/    0                10/  10/ 2821/ 5001
 28.6   10/  0/    0                10/  10/ 3031/ 5001
 29.6   10/  0/    0                10/  10/ 3234/ 5001
 30.6   10/  0/    0                10/  10/ 3445/ 5001
 31.6   10/  0/    0                10/  10/ 3650/ 5001
 32.7   10/  0/    0                10/  10/ 3897/ 5001
 33.7   10/  0/    0                10/  10/ 4099/ 5001
 34.7   10/  0/    0                10/  10/ 4309/ 5001
 35.7   10/  0/    0                10/  10/ 4516/ 5001
 36.7   10/  0/    0                10/  10/ 4721/ 5001
 37.8   10/  0/    0                10/  10/ 4882/ 5001
 38.8   10/  0/    0                10/  10/ 4946/ 5001
 39.8   10/  0/    0                10/  10/ 4919/ 5001
 40.8   10/  0/    0                10/  10/ 4821/ 5001
 41.8   10/  0/    0                10/  10/ 4644/ 5001
 42.8   10/  0/    0                10/  10/ 4463/ 5001
 43.8   10/  0/    0                10/  10/ 4270/ 5001
 44.8   10/  0/    0                10/  10/ 4083/ 5001
 45.8   10/  0/    0                10/  10/ 3890/ 5001
 46.8    9/  1/    0                10/  10/ 3691/ 5001
 47.8    9/  1/    0                10/  10/ 3524/ 5001
 48.8   10/  0/    0                10/  10/ 3332/ 5001
 49.8   10/  0/    0                10/  10/ 3136/ 5001
 50.8   10/  0/    0                10/  10/ 2946/ 5001
 51.8   10/  0/    0                10/  10/ 2754/ 5001
 52.9   10/  0/    0                10/  10/ 2561/ 5001
 53.9   10/  0/    0                10/  10/ 2371/ 5001
 54.9   10/  0/    0                10/  10/ 2177/ 5001
 55.9   10/  0/    0                10/  10/ 1981/ 5001
 56.9    6/  4/    0                10/  10/ 1801/ 5001
 57.9   10/  0/    0                10/  10/ 1610/ 5001
 58.9   10/  0/    0                10/  10/ 1418/ 5001
 59.9   10/  0/    0                10/  10/ 1223/ 5001
 60.9   10/  0/    0                10/  10/ 1028/ 5001
 61.9   10/  0/    0                10/  10/  838/ 5001
 62.9   10/  0/    0                10/  10/  644/ 5001
 63.9   10/  0/    0                10/  10/  451/ 5001
 64.9   10/  0/    0                10/  10/  254/ 5001
 65.9   10/  0/    0                10/  10/   61/ 5001
 67.0    0/ 10/    0                10/  10/ 1407/ 3989
