# [buggy-t1000] route=buggy TOMCAT_MAX_THREADS=1000 RATE=400 VUS=5000 PREVUS=5000 RAMP=5s HOLD=20s DOWN=5s
# 설정  pool=10 connection-timeout=2000ms tomcat.threads.max=1000 accept-count=1000 shed.permits=10

# 앱 안에서 잰 계층별 시간 (서블릿 필터 기준)
inapp_200                count=6054    min=50.82ms   p50=1701.09ms p90=2099.20ms p95=2191.68ms p99=2571.39ms max=7950.82ms mean=1379.37ms
inapp_500                count=3945    min=2000.33ms p50=2009.58ms p90=2102.12ms p95=2182.60ms p99=2463.99ms max=8797.55ms mean=2048.87ms
pool_acquire_ok          count=6054    min=0.00ms    p50=1589.14ms p90=1997.40ms p95=2003.70ms p99=2051.81ms max=2841.41ms mean=1260.87ms
pool_acquire_timeout     count=3945    min=2000.07ms p50=2004.14ms p90=2042.80ms p95=2092.39ms p99=2264.88ms max=2518.39ms mean=2019.20ms
query_after_acquire      count=6054    min=50.32ms   p50=52.45ms   p90=87.43ms   p95=131.56ms  p99=286.38ms  max=3072.98ms mean=69.22ms

# 큐 길이 표본 100ms 간격, 478개
최댓값  hikari_active=10 hikari_waiting=901 tomcat_busy=920 tomcat_queue=745 tomcat_conn=4871
t(s)  hikari(active/idle/waiting)  tomcat(busy/pool/queue/conn)
  0.0   -1/ -1/   -1                -1/  -1/   -1/   -1
  1.0    0/  1/    0                -1/  -1/   -1/   -1
  2.1    0/ 10/    0                -1/  -1/   -1/   -1
  3.1    0/ 10/    0                 0/  10/    0/    1
  4.1    0/ 10/    0                 0/  10/    0/    1
  5.1    0/ 10/    0                 0/  10/    0/    1
  6.1    0/ 10/    0                 0/  10/    0/    1
  7.1    0/ 10/    0                 0/  10/    0/    1
  8.1    0/ 10/    0                 0/  10/    0/    1
  9.2    0/ 10/    0                 0/  10/    0/    1
 10.2    0/ 10/    0                 0/  10/    0/    1
 11.2    0/ 10/    0                 0/  10/    0/    1
 12.2    3/  7/    0                 3/  10/    0/   43
 13.2    8/  2/    1                11/  15/    0/  171
 14.2   10/  0/    2                32/  35/    0/  358
 15.3   10/  0/   51                62/  69/    4/  676
 16.3   10/  0/  106               119/ 121/    2/ 1054
 17.3   10/  0/  153               166/ 167/    0/ 1467
 18.4    6/  4/  205               223/ 227/    0/ 1868
 19.4   10/  0/  230               256/ 261/    5/ 2301
 20.6   10/  0/  274               285/ 286/    0/ 2720
 21.7    9/  1/  331               358/ 360/    0/ 3033
 22.7   10/  0/  434               445/ 446/    0/ 3536
 23.8   10/  0/  484               526/ 529/    0/ 3943
 25.1   10/  0/  211               511/ 541/    0/ 4260
 26.3   10/  0/  184               365/ 543/    0/ 4513
 27.4   10/  0/  112               153/ 545/  363/ 4461
 28.6   10/  0/  565               576/ 576/    0/ 4452
 29.7   10/  0/  603               635/ 648/    0/ 4447
 30.8   10/  0/  358               566/ 651/    0/ 4391
 32.2   10/  0/  240               657/ 737/    0/ 4562
 33.6    4/  6/  488               712/ 743/    0/ 4612
 34.9   10/  0/  325               630/ 745/    0/ 4613
 37.1    9/  1/  512               757/ 757/    0/ 4679
 38.2    9/  1/  755               767/ 768/    0/ 4784
 39.3   10/  0/  609               765/ 820/    4/ 4825
 41.7   10/  0/  216               594/ 823/  146/ 4584
 43.5   10/  0/  354               493/ 823/    0/ 4254
 44.8   10/  0/  684               698/ 833/  109/ 4106
 45.9    9/  1/  861               883/ 890/    0/ 4032
 47.6   10/  0/  139               448/ 893/    0/ 3779
 49.0   10/  0/  614               804/ 901/    0/ 3477
 50.1   10/  0/  831               892/ 931/    0/ 3392
 52.3   10/  0/  196               664/ 941/  248/ 3111
 53.3   10/  0/  525               737/ 947/    0/ 2897
 54.4   10/  0/  415               425/ 947/    0/ 2687
 55.6    9/  1/    9                25/ 947/    0/ 2478
 56.7    0/ 10/    0               128/ 954/    0/   85
