# [buggy-t50] route=buggy TOMCAT_MAX_THREADS=50 RATE=400 VUS=5000 PREVUS=5000 RAMP=5s HOLD=20s DOWN=5s
# 설정  pool=10 connection-timeout=2000ms tomcat.threads.max=50 accept-count=1000 shed.permits=10

# 앱 안에서 잰 계층별 시간 (서블릿 필터 기준)
inapp_200                count=9973    min=50.52ms   p50=59.66ms   p90=667.20ms  p95=880.42ms  p99=1498.75ms max=2037.18ms mean=253.81ms
inapp_500                count=26      min=2000.45ms p50=2000.61ms p90=2007.18ms p95=2012.33ms p99=2219.89ms max=2219.89ms mean=2009.93ms
pool_acquire_ok          count=9973    min=0.00ms    p50=0.04ms    p90=615.40ms  p95=826.59ms  p99=1445.91ms max=1985.57ms mean=199.07ms
pool_acquire_timeout     count=26      min=2000.19ms p50=2000.28ms p90=2006.68ms p95=2011.96ms p99=2115.71ms max=2115.71ms mean=2005.51ms
query_after_acquire      count=9973    min=50.27ms   p50=50.84ms   p90=53.84ms   p95=57.61ms   p99=102.01ms  max=152.21ms  mean=52.64ms

# 큐 길이 표본 100ms 간격, 664개
최댓값  hikari_active=10 hikari_waiting=41 tomcat_busy=50 tomcat_queue=4864 tomcat_conn=5001
t(s)  hikari(active/idle/waiting)  tomcat(busy/pool/queue/conn)
  0.0   -1/ -1/   -1                -1/  -1/   -1/   -1
  1.1    0/  1/    0                -1/  -1/   -1/   -1
  2.2    0/ 10/    0                -1/  -1/   -1/   -1
  3.2    0/ 10/    0                 0/  10/    0/    1
  4.2    0/ 10/    0                 1/  10/    0/    2
  5.2    0/ 10/    0                 0/  10/    0/    1
  6.2    0/ 10/    0                 0/  10/    0/    1
  7.2    0/ 10/    0                 0/  10/    0/    1
  8.2    0/ 10/    0                 0/  10/    0/    1
  9.2    0/ 10/    0                 0/  10/    0/    1
 10.2    0/ 10/    0                 0/  10/    0/    1
 11.2    0/ 10/    0                 0/  10/    0/    1
 12.2    3/  7/    0                 3/  10/    0/   24
 13.2   10/  0/    1                11/  13/    0/  128
 14.2   10/  0/   17                28/  32/    0/  315
 15.3   10/  0/   40                50/  50/   73/  578
 16.4   10/  0/   36                50/  50/  263/  956
 17.4   10/  0/   40                50/  50/  514/ 1381
 18.4   10/  0/   40                50/  50/  728/ 1785
 19.5   10/  0/   40                50/  50/  977/ 2214
 20.5   10/  0/   40                50/  50/ 1188/ 2618
 21.5    8/  2/   40                50/  50/ 1388/ 3008
 22.5   10/  0/   40                50/  50/ 1623/ 3433
 23.6    9/  1/   40                50/  50/ 1872/ 3852
 24.6   10/  0/   40                50/  50/ 2075/ 4255
 25.6   10/  0/   40                50/  50/ 2304/ 4667
 26.6   10/  0/   40                50/  50/ 2515/ 5001
 27.7   10/  0/   40                50/  50/ 2771/ 5001
 28.7   10/  0/   40                50/  50/ 2978/ 5001
 29.8   10/  0/   40                50/  50/ 3193/ 5001
 30.8   10/  0/   40                50/  50/ 3395/ 5001
 31.8   10/  0/   39                50/  50/ 3629/ 5001
 32.8   10/  0/   40                50/  50/ 3832/ 5001
 33.8   10/  0/   40                50/  50/ 4041/ 5001
 34.8   10/  0/   40                50/  50/ 4243/ 5001
 35.9   10/  0/   40                50/  50/ 4485/ 5001
 36.9   10/  0/   40                50/  50/ 4686/ 5001
 37.9    9/  1/   39                50/  50/ 4817/ 5001
 38.9   10/  0/   40                50/  50/ 4863/ 5000
 40.0   10/  0/   40                50/  50/ 4840/ 5001
 41.0   10/  0/   40                50/  50/ 4727/ 5001
 42.0   10/  0/   40                50/  50/ 4537/ 5001
 43.0   10/  0/   40                50/  50/ 4347/ 5001
 44.0   10/  0/   40                50/  50/ 4165/ 5001
 45.0   10/  0/   40                50/  50/ 3969/ 5001
 46.0   10/  0/   40                50/  50/ 3776/ 5001
 47.0   10/  0/   40                50/  50/ 3578/ 5001
 48.0   10/  0/   40                50/  50/ 3383/ 5000
 49.0   10/  0/   40                50/  50/ 3187/ 4995
 50.0   10/  0/   40                50/  50/ 3001/ 4994
 51.1   10/  0/   40                50/  50/ 2810/ 4994
 52.1   10/  0/   40                50/  50/ 2614/ 4994
 53.1   10/  0/   40                50/  50/ 2416/ 4994
 54.1   10/  0/   40                50/  50/ 2239/ 4994
 55.1   10/  0/   40                50/  50/ 2041/ 4994
 56.1   10/  0/   40                50/  50/ 1849/ 4992
 57.1   10/  0/   40                50/  50/ 1649/ 4992
 58.1   10/  0/   40                50/  50/ 1453/ 4992
 59.2   10/  0/   40                50/  50/ 1259/ 4990
 60.2   10/  0/   40                50/  50/ 1058/ 4989
 61.2   10/  0/   40                50/  50/  866/ 4988
 62.2   10/  0/   40                50/  50/  664/ 4985
 63.2   10/  0/   40                50/  50/  481/ 4983
 64.2   10/  0/   40                50/  50/  277/ 4979
 65.2   10/  0/   40                50/  50/   82/ 4977
 66.2    0/ 10/    0                 0/  50/    0/ 4977
 67.2    0/ 10/    0                 0/  50/    0/  607
