# [diag-fixed-prealloc200] route=fixed TOMCAT_MAX_THREADS=200 RATE=400 VUS=900 PREVUS=200 RAMP=5s HOLD=20s DOWN=5s
# 설정  pool=10 connection-timeout=2000ms tomcat.threads.max=200 accept-count=1000 shed.permits=10

# 앱 안에서 잰 계층별 시간 (서블릿 필터 기준)
inapp_200                count=4294    min=50.64ms   p50=53.62ms   p90=86.45ms   p95=118.94ms  p99=220.37ms  max=510.17ms  mean=64.91ms
inapp_503                count=5705    min=0.22ms    p50=1.24ms    p90=31.68ms   p95=52.58ms   p99=95.53ms   max=365.57ms  mean=10.97ms
pool_acquire_ok          count=4294    min=0.00ms    p50=0.01ms    p90=0.02ms    p95=0.02ms    p99=1.75ms    max=450.30ms  mean=0.25ms
pool_acquire_timeout     count=0       (표본 없음)
query_after_acquire      count=4294    min=50.35ms   p50=51.20ms   p90=69.48ms   p95=91.17ms   p99=156.30ms  max=480.37ms  mean=58.36ms

# 큐 길이 표본 100ms 간격, 357개
최댓값  hikari_active=10 hikari_waiting=1 tomcat_busy=49 tomcat_queue=44 tomcat_conn=200
t(s)  hikari(active/idle/waiting)  tomcat(busy/pool/queue/conn)
  0.0   -1/ -1/   -1                -1/  -1/   -1/   -1
  1.0    0/  1/    0                -1/  -1/   -1/   -1
  2.1    0/ 10/    0                -1/  -1/   -1/   -1
  3.1    0/ 10/    0                -1/  -1/   -1/    0
  4.2    0/ 10/    0                 0/  10/    0/    1
  5.2    0/ 10/    0                 0/  10/    0/    1
  6.2    7/  3/    0                 7/  10/    0/    8
  7.2    6/  4/    0                 7/  13/    0/   88
  8.2    8/  2/    0                10/  13/    0/  188
  9.3    7/  3/    0                16/  26/    5/  135
 10.3   10/  0/    0                10/  29/    0/  101
 11.4    8/  2/    0                12/  39/   19/   95
 12.4    6/  4/    0                11/  45/   21/   90
 13.6    6/  4/    0                 6/  50/    2/   81
 14.6   10/  0/    0                14/  50/   12/   97
 15.6    6/  4/    0                 9/  50/    0/   82
 16.7    7/  3/    0                10/  50/    0/   70
 18.0    1/  9/    1                17/  55/    9/  138
 19.0   10/  0/    0                22/  68/    0/  110
 20.0   10/  0/    0                13/  75/   30/   95
 21.0    5/  5/    0                 7/  75/   19/   79
 22.1    0/ 10/    0                 0/  75/    0/  151
 23.1   10/  0/    0                14/  85/    0/   86
 24.1   10/  0/    0                11/  85/    0/   99
 25.1   10/  0/    0                10/  85/    0/   93
 26.1   10/  0/    0                10/  85/    0/   98
 27.2   10/  0/    0                11/  85/    2/   76
 28.2   10/  0/    0                10/  85/    0/  102
 29.2    9/  1/    0                13/  85/    2/  104
 30.2   10/  0/    0                10/  85/    0/  101
 31.2   10/  0/    0                11/  85/    0/  102
 32.3    9/  1/    0                 9/  85/    0/  125
 33.3    8/  2/    0                 8/  85/    0/  158
 34.3    6/  4/    0                 6/  85/    0/  191
 35.3    2/  8/    0                 2/  85/    0/  199
 36.3    0/ 10/    0                 0/  86/    0/    1
