# [fixed-r2] route=fixed TOMCAT_MAX_THREADS=200 RATE=400 VUS=5000 PREVUS=5000 RAMP=5s HOLD=20s DOWN=5s
# 설정  pool=10 connection-timeout=2000ms tomcat.threads.max=200 accept-count=1000 shed.permits=10

# 앱 안에서 잰 계층별 시간 (서블릿 필터 기준)
inapp_200                count=4675    min=50.63ms   p50=51.93ms   p90=66.43ms   p95=86.58ms   p99=160.56ms  max=996.49ms  mean=58.20ms
inapp_503                count=5323    min=0.21ms    p50=0.59ms    p90=18.61ms   p95=33.32ms   p99=82.56ms   max=360.73ms  mean=6.34ms
pool_acquire_ok          count=4675    min=0.00ms    p50=0.01ms    p90=0.01ms    p95=0.02ms    p99=0.64ms    max=117.66ms  mean=0.16ms
pool_acquire_timeout     count=0       (표본 없음)
query_after_acquire      count=4675    min=50.34ms   p50=50.80ms   p90=56.35ms   p95=65.13ms   p99=118.78ms  max=296.02ms  mean=54.08ms

# 큐 길이 표본 100ms 간격, 416개
최댓값  hikari_active=10 hikari_waiting=3 tomcat_busy=49 tomcat_queue=43 tomcat_conn=2521
t(s)  hikari(active/idle/waiting)  tomcat(busy/pool/queue/conn)
  0.0   -1/ -1/   -1                -1/  -1/   -1/   -1
  1.0    1/  0/    0                -1/  -1/   -1/   -1
  2.1    0/  6/    0                -1/  -1/   -1/   -1
  3.2    0/ 10/    0                -1/  -1/   -1/    0
  4.2    0/ 10/    0                 0/  10/    0/    1
  5.2    0/ 10/    0                 0/  10/    0/    1
  6.2    0/ 10/    0                 0/  10/    0/    1
  7.2    0/ 10/    0                 0/  10/    0/    1
  8.2    0/ 10/    0                 0/  10/    0/    1
  9.2    0/ 10/    0                 0/  10/    0/    1
 10.2    0/ 10/    0                 0/  10/    0/    1
 11.2    0/ 10/    0                 0/  10/    0/    1
 12.2    5/  5/    0                 5/  10/    0/   57
 13.2    9/  1/    0                10/  11/    0/  190
 14.2   10/  0/    0                11/  12/    0/  356
 15.2    8/  2/    0                 9/  34/    0/  521
 16.3   10/  0/    0                19/  34/    2/  699
 17.3    9/  1/    0                11/  46/    0/  928
 18.3    9/  1/    0                25/  56/    7/ 1047
 19.4   10/  0/    0                16/  67/    8/ 1144
 20.4   10/  0/    0                11/  67/    0/ 1257
 21.4   10/  0/    0                18/  67/    2/ 1431
 22.6    9/  1/    0                11/  72/    0/ 1565
 23.7   10/  0/    0                10/  72/    0/ 1738
 24.7   10/  0/    0                11/  72/    0/ 1927
 25.7    8/  2/    0                10/  72/    0/ 2105
 26.7   10/  0/    0                11/  72/    0/ 2039
 27.7    9/  1/    0                11/  72/    2/ 1951
 28.7   10/  0/    0                11/  72/    2/ 1946
 29.7    8/  2/    0                 9/  72/    0/ 1982
 30.7   10/  0/    0                10/  72/    0/ 2037
 31.8   10/  0/    0                10/  72/    0/ 2104
 32.8    9/  1/    0                 9/  72/    0/ 2149
 33.8   10/  0/    0                11/  72/    0/ 2155
 34.8   10/  0/    0                10/  72/    1/ 2234
 35.8   10/  0/    0                10/  72/    0/ 2241
 36.8   10/  0/    0                10/  72/    0/ 2269
 37.8    9/  1/    0                 9/  72/    0/ 2321
 38.8    9/  1/    0                 9/  72/    0/ 2402
 39.8    5/  5/    0                 5/  72/    0/ 2491
 40.8    1/  9/    0                 1/  72/    0/ 2521
 41.9    0/ 10/    0                 3/  90/    0/ 1038
