# [fixed] route=fixed TOMCAT_MAX_THREADS=200 RATE=400 VUS=5000 RAMP=5s HOLD=20s DOWN=5s
# 설정  pool=10 connection-timeout=2000ms tomcat.threads.max=200 accept-count=1000 shed.permits=10

# 앱 안에서 잰 계층별 시간 (서블릿 필터 기준)
inapp_200                count=4754    min=50.53ms   p50=51.42ms   p90=59.77ms   p95=75.13ms   p99=159.04ms  max=442.85ms  mean=56.47ms
inapp_503                count=5245    min=0.15ms    p50=0.57ms    p90=15.56ms   p95=29.92ms   p99=78.19ms   max=266.48ms  mean=5.55ms
pool_acquire_ok          count=4754    min=0.00ms    p50=0.01ms    p90=0.02ms    p95=0.02ms    p99=0.26ms    max=389.48ms  mean=0.13ms
pool_acquire_timeout     count=0       (표본 없음)
query_after_acquire      count=4754    min=50.31ms   p50=50.58ms   p90=53.35ms   p95=59.82ms   p99=113.12ms  max=432.12ms  mean=53.41ms

# 큐 길이 표본 100ms 간격, 367개
최댓값  hikari_active=10 hikari_waiting=1 tomcat_busy=44 tomcat_queue=76 tomcat_conn=2535
t(s)  hikari(active/idle/waiting)  tomcat(busy/pool/queue/conn)
  0.0   -1/ -1/   -1                -1/  -1/   -1/   -1
  1.0    0/  7/    0                -1/  -1/   -1/   -1
  2.0    0/ 10/    0                 0/  10/    0/    1
  3.0    0/ 10/    0                 0/  10/    0/    1
  4.0    0/ 10/    0                 0/  10/    0/    1
  5.0    0/ 10/    0                 0/  10/    0/    1
  6.0    0/ 10/    0                 0/  10/    0/    1
  7.0    3/  7/    0                 3/  10/    0/   16
  8.1    7/  3/    0                 9/  10/    0/  106
  9.1   10/  0/    0                12/  12/    0/  262
 10.1   10/  0/    0                10/  13/    0/  441
 11.1   10/  0/    0                12/  23/    0/  613
 12.1    0/ 10/    0                18/  25/    5/  789
 13.2    9/  1/    0                26/  44/    0/ 1020
 14.2    1/  9/    0                 9/  55/    0/ 1075
 15.3   10/  0/    0                13/  59/    4/ 1181
 16.3    7/  3/    0                 9/  59/    0/ 1318
 17.3   10/  0/    0                11/  59/    0/ 1489
 18.3    8/  2/    0                 8/  59/    0/ 1675
 19.4    9/  1/    0                10/  59/    0/ 1858
 20.4    9/  1/    0                10/  59/    0/ 2036
 21.4   10/  0/    0                10/  59/    0/ 2219
 22.4   10/  0/    0                11/  59/    0/ 2069
 23.5    7/  3/    0                 8/  59/    0/ 2006
 24.5   10/  0/    0                10/  59/    0/ 2003
 25.5   10/  0/    0                10/  59/    0/ 2048
 26.5   10/  0/    0                10/  59/    0/ 2141
 27.5    9/  1/    0                 9/  59/    0/ 2217
 28.6    5/  5/    0                 7/  59/    8/ 2245
 29.6   10/  0/    0                11/  59/    0/ 2271
 30.6   10/  0/    0                10/  59/    0/ 2284
 31.6    9/  1/    0                10/  59/    0/ 2294
 32.6   10/  0/    0                10/  59/    0/ 2323
 33.6   10/  0/    0                10/  59/    0/ 2382
 34.6    7/  3/    0                 7/  59/    0/ 2467
 35.6    3/  7/    0                 3/  59/    0/ 2522
 36.6    0/ 10/    0                 0/  59/    0/ 2535
