# [pool10-r1] route=fixed TOMCAT_MAX_THREADS=200 RATE=400 VUS=2600 PREVUS=2600 RAMP=5s HOLD=20s DOWN=5s
# 설정  pool=10 connection-timeout=2000ms tomcat.threads.max=200 accept-count=1000 shed.permits=10

# 앱 안에서 잰 계층별 시간 (서블릿 필터 기준)
inapp_200                count=5197    min=50.31ms   p50=51.50ms   p90=53.11ms   p95=54.03ms   p99=56.88ms   max=78.69ms   mean=51.81ms
inapp_503                count=4802    min=0.03ms    p50=0.11ms    p90=0.34ms    p95=0.52ms    p99=0.99ms    max=4.73ms    mean=0.18ms
pool_acquire_ok          count=5197    min=0.00ms    p50=0.00ms    p90=0.01ms    p95=0.01ms    p99=0.04ms    max=1.48ms    mean=0.01ms
pool_acquire_timeout     count=0       (표본 없음)
query_after_acquire      count=5197    min=50.24ms   p50=51.29ms   p90=52.71ms   p95=53.48ms   p99=55.87ms   max=67.87ms   mean=51.55ms

# 큐 길이 표본 100ms 간격, 383개
최댓값  hikari_active=10 hikari_waiting=0 tomcat_busy=11 tomcat_queue=1 tomcat_conn=1465
t(s)  hikari(active/idle/waiting)  tomcat(busy/pool/queue/conn)
  0.0   -1/ -1/   -1                -1/  -1/   -1/   -1
  1.0    0/ 10/    0                 1/  10/    0/    2
  2.1    0/ 10/    0                 0/  10/    0/    1
  3.2    0/ 10/    0                 0/  10/    0/    1
  4.2    0/ 10/    0                 0/  10/    0/    1
  5.3    0/ 10/    0                 0/  10/    0/    1
  6.4    0/ 10/    0                 0/  10/    0/    1
  7.4    0/ 10/    0                 0/  10/    0/    1
  8.4    0/ 10/    0                 0/  10/    0/    1
  9.4    3/  7/    0                 3/  10/    0/   23
 10.5    7/  3/    0                 7/  10/    0/  126
 11.5    9/  1/    0                10/  11/    0/  298
 12.5   10/  0/    0                10/  12/    0/  486
 13.5   10/  0/    0                10/  12/    0/  677
 14.5   10/  0/    0                10/  12/    0/  870
 15.5   10/  0/    0                10/  14/    0/ 1059
 16.5    9/  1/    0                10/  14/    0/ 1252
 17.5   10/  0/    0                10/  14/    0/ 1444
 18.5   10/  0/    0                10/  14/    0/ 1312
 19.6    9/  1/    0                 9/  14/    0/ 1246
 20.6   10/  0/    0                10/  14/    0/ 1239
 21.6   10/  0/    0                10/  14/    0/ 1236
 22.6    9/  1/    0                 9/  14/    0/ 1237
 23.6    9/  1/    0                 9/  14/    0/ 1235
 24.6    9/  1/    0                 9/  14/    0/ 1237
 25.7   10/  0/    0                10/  14/    0/ 1238
 26.7   10/  0/    0                10/  14/    0/ 1236
 27.7   10/  0/    0                10/  14/    0/ 1234
 28.7   10/  0/    0                10/  14/    0/ 1235
 29.7   10/  0/    0                10/  14/    0/ 1234
 30.7   10/  0/    0                10/  14/    0/ 1234
 31.7   10/  0/    0                10/  14/    0/ 1234
 32.7    8/  2/    0                 8/  14/    0/ 1230
 33.7   10/  0/    0                10/  14/    0/ 1231
 34.8    8/  2/    0                 9/  14/    0/ 1248
 35.8    9/  1/    0                 9/  14/    0/ 1303
 36.8    8/  2/    0                 8/  14/    0/ 1390
 37.8    4/  6/    0                 4/  14/    0/ 1449
 38.8    0/ 10/    0                 0/  14/    0/ 1465
