# [pool20-r3] route=fixed TOMCAT_MAX_THREADS=200 RATE=400 VUS=2600 PREVUS=2600 RAMP=5s HOLD=20s DOWN=5s
# 설정  pool=20 connection-timeout=2000ms tomcat.threads.max=200 accept-count=1000 shed.permits=20

# 앱 안에서 잰 계층별 시간 (서블릿 필터 기준)
inapp_200                count=9384    min=50.25ms   p50=51.40ms   p90=52.81ms   p95=53.47ms   p99=55.82ms   max=75.33ms   mean=51.65ms
inapp_503                count=615     min=0.04ms    p50=0.14ms    p90=0.38ms    p95=0.61ms    p99=0.91ms    max=2.81ms    mean=0.20ms
pool_acquire_ok          count=9384    min=0.00ms    p50=0.00ms    p90=0.01ms    p95=0.01ms    p99=0.03ms    max=1.59ms    mean=0.00ms
pool_acquire_timeout     count=0       (표본 없음)
query_after_acquire      count=9384    min=50.19ms   p50=51.19ms   p90=52.44ms   p95=53.05ms   p99=55.09ms   max=64.45ms   mean=51.41ms

# 큐 길이 표본 100ms 간격, 320개
최댓값  hikari_active=20 hikari_waiting=0 tomcat_busy=21 tomcat_queue=2 tomcat_conn=2472
t(s)  hikari(active/idle/waiting)  tomcat(busy/pool/queue/conn)
  0.0   -1/ -1/   -1                -1/  -1/   -1/   -1
  1.0    0/ 20/    0                 1/  10/    0/    2
  2.1    0/ 20/    0                 0/  10/    0/    1
  3.1    4/ 16/    0                 4/  10/    0/   43
  4.1    9/ 11/    0                 9/  10/    0/  171
  5.1   13/  7/    0                13/  14/    0/  380
  6.1   17/  3/    0                17/  20/    0/  670
  7.2    6/ 14/    0                 6/  21/    0/ 1019
  8.2   19/  1/    0                19/  22/    0/ 1397
  9.2   18/  2/    0                18/  22/    0/ 1773
 10.2   19/  1/    0                19/  22/    0/ 2147
 11.2   20/  0/    0                20/  22/    0/ 2465
 12.2   19/  1/    0                19/  22/    0/ 2436
 13.2   20/  0/    0                20/  22/    0/ 2408
 14.2   19/  1/    0                19/  22/    0/ 2415
 15.2   19/  1/    0                19/  22/    0/ 2414
 16.3   20/  0/    0                20/  22/    0/ 2407
 17.3   18/  2/    0                19/  22/    0/ 2406
 18.3   19/  1/    0                19/  22/    0/ 2407
 19.3   20/  0/    0                20/  22/    0/ 2409
 20.3   19/  1/    0                19/  22/    0/ 2409
 21.3   18/  2/    0                18/  22/    0/ 2408
 22.3   20/  0/    0                20/  22/    2/ 2413
 23.3   18/  2/    0                18/  22/    0/ 2413
 24.3   20/  0/    0                20/  22/    0/ 2414
 25.4   19/  1/    0                19/  22/    0/ 2410
 26.4   19/  1/    0                19/  22/    0/ 2405
 27.4   19/  1/    0                19/  22/    0/ 2411
 28.4   15/  5/    0                15/  22/    1/ 2432
 29.4   11/  9/    0                11/  22/    0/ 2451
 30.4    7/ 13/    0                 7/  22/    0/ 2463
 31.4    2/ 18/    0                 2/  22/    0/ 2470
