# [pool50-r3] route=fixed TOMCAT_MAX_THREADS=200 RATE=400 VUS=2600 PREVUS=2600 RAMP=5s HOLD=20s DOWN=5s
# 설정  pool=50 connection-timeout=2000ms tomcat.threads.max=200 accept-count=1000 shed.permits=50

# 앱 안에서 잰 계층별 시간 (서블릿 필터 기준)
inapp_200                count=9999    min=50.28ms   p50=51.42ms   p90=52.85ms   p95=53.52ms   p99=55.67ms   max=75.01ms   mean=51.67ms
pool_acquire_ok          count=9999    min=0.00ms    p50=0.00ms    p90=0.01ms    p95=0.01ms    p99=0.02ms    max=1.47ms    mean=0.00ms
pool_acquire_timeout     count=0       (표본 없음)
query_after_acquire      count=9999    min=50.19ms   p50=51.20ms   p90=52.46ms   p95=53.05ms   p99=55.22ms   max=65.36ms   mean=51.43ms

# 큐 길이 표본 100ms 간격, 321개
최댓값  hikari_active=22 hikari_waiting=0 tomcat_busy=22 tomcat_queue=3 tomcat_conn=2601
t(s)  hikari(active/idle/waiting)  tomcat(busy/pool/queue/conn)
  0.0   -1/ -1/   -1                -1/  -1/   -1/   -1
  1.0    0/ 21/    0                 0/  10/    0/    1
  2.0    0/ 48/    0                 0/  10/    0/    1
  3.1    4/ 46/    0                 5/  10/    0/   42
  4.1    8/ 42/    0                 8/  10/    0/  165
  5.1   13/ 37/    0                13/  14/    0/  371
  6.1   16/ 34/    0                17/  20/    0/  658
  7.1   14/ 36/    0                14/  23/    0/ 1019
  8.1   21/ 29/    0                22/  29/    0/ 1432
  9.1   21/ 29/    0                21/  29/    0/ 1836
 10.2   20/ 30/    0                20/  29/    0/ 2240
 11.2   21/ 29/    0                21/  29/    0/ 2601
 12.2   20/ 30/    0                20/  29/    0/ 2601
 13.2   21/ 29/    0                21/  29/    0/ 2601
 14.2   21/ 29/    0                21/  29/    0/ 2601
 15.2   21/ 29/    0                21/  29/    0/ 2601
 16.2   20/ 30/    0                21/  29/    0/ 2601
 17.2   22/ 28/    0                22/  29/    0/ 2601
 18.2   21/ 29/    0                21/  29/    0/ 2601
 19.3   21/ 29/    0                21/  29/    0/ 2601
 20.3   21/ 29/    0                21/  29/    0/ 2601
 21.3   20/ 30/    0                20/  29/    0/ 2601
 22.3   20/ 30/    0                20/  29/    0/ 2601
 23.3   21/ 29/    0                21/  29/    0/ 2601
 24.3   20/ 30/    0                21/  29/    0/ 2601
 25.3   21/ 29/    0                21/  29/    0/ 2601
 26.3   21/ 29/    0                21/  29/    0/ 2601
 27.3   20/ 30/    0                20/  29/    0/ 2601
 28.3   15/ 35/    0                16/  29/    0/ 2601
 29.4   11/ 39/    0                11/  29/    0/ 2601
 30.4    7/ 43/    0                 7/  29/    0/ 2601
 31.4    3/ 47/    0                 3/  29/    0/ 2601
 32.4    0/ 50/    0                 0/  93/    0/    1
