# [th10-r1] route=buggy TOMCAT_MAX_THREADS=10 RATE=400 VUS=2600 PREVUS=2600 RAMP=5s HOLD=20s DOWN=5s
# 설정  pool=10 connection-timeout=2000ms tomcat.threads.max=10 accept-count=1000 shed.permits=10

# 앱 안에서 잰 계층별 시간 (서블릿 필터 기준)
inapp_200                count=7774    min=50.41ms   p50=52.42ms   p90=56.26ms   p95=57.63ms   p99=61.09ms   max=74.49ms   mean=53.18ms
pool_acquire_ok          count=7774    min=0.00ms    p50=0.00ms    p90=0.01ms    p95=0.01ms    p99=0.04ms    max=1.48ms    mean=0.01ms
pool_acquire_timeout     count=0       (표본 없음)
query_after_acquire      count=7774    min=50.24ms   p50=51.95ms   p90=55.67ms   p95=56.98ms   p99=60.05ms   max=69.48ms   mean=52.71ms

# 큐 길이 표본 100ms 간격, 439개
최댓값  hikari_active=10 hikari_waiting=0 tomcat_busy=10 tomcat_queue=2590 tomcat_conn=2601
t(s)  hikari(active/idle/waiting)  tomcat(busy/pool/queue/conn)
  0.0   -1/ -1/   -1                -1/  -1/   -1/   -1
  1.0    0/ 10/    0                 0/  10/    0/    1
  2.1    0/ 10/    0                 0/  10/    0/    1
  3.1    4/  6/    0                 4/  10/    0/   45
  4.1    8/  2/    0                 9/  10/    0/  172
  5.1   10/  0/    0                10/  10/   21/  380
  6.2   10/  0/    0                10/  10/  119/  672
  7.2   10/  0/    0                10/  10/  296/ 1047
  8.2   10/  0/    0                10/  10/  511/ 1451
  9.2   10/  0/    0                10/  10/  721/ 1861
 10.2   10/  0/    0                10/  10/  937/ 2267
 11.3   10/  0/    0                10/  10/ 1157/ 2601
 12.3   10/  0/    0                10/  10/ 1377/ 2601
 13.3   10/  0/    0                10/  10/ 1586/ 2601
 14.3   10/  0/    0                10/  10/ 1803/ 2601
 15.3   10/  0/    0                10/  10/ 2022/ 2601
 16.4   10/  0/    0                10/  10/ 2237/ 2601
 17.4   10/  0/    0                10/  10/ 2456/ 2601
 18.4   10/  0/    0                10/  10/ 2590/ 2601
 19.5   10/  0/    0                10/  10/ 2584/ 2601
 20.5   10/  0/    0                10/  10/ 2582/ 2601
 21.5   10/  0/    0                10/  10/ 2589/ 2601
 22.5   10/  0/    0                10/  10/ 2586/ 2601
 23.6    9/  1/    0                10/  10/ 2585/ 2601
 24.6   10/  0/    0                10/  10/ 2590/ 2601
 25.6   10/  0/    0                10/  10/ 2590/ 2601
 26.6   10/  0/    0                10/  10/ 2590/ 2601
 27.7   10/  0/    0                10/  10/ 2590/ 2601
 28.7   10/  0/    0                10/  10/ 2586/ 2601
 29.7   10/  0/    0                10/  10/ 2584/ 2601
 30.7   10/  0/    0                10/  10/ 2554/ 2601
 31.8   10/  0/    0                10/  10/ 2432/ 2601
 32.8    7/  3/    0                10/  10/ 2235/ 2601
 33.9   10/  0/    0                10/  10/ 2035/ 2601
 34.9   10/  0/    0                10/  10/ 1835/ 2601
 35.9   10/  0/    0                10/  10/ 1645/ 2601
 37.0   10/  0/    0                10/  10/ 1445/ 2601
 38.0   10/  0/    0                10/  10/ 1255/ 2601
 39.0   10/  0/    0                10/  10/ 1065/ 2601
 40.1    6/  4/    0                10/  10/  865/ 2601
 41.1   10/  0/    0                10/  10/  665/ 2601
 42.2   10/  0/    0                10/  10/  475/ 2601
 43.2   10/  0/    0                10/  10/  275/ 2601
 44.3   10/  0/    0                10/  10/   85/ 2601
