# [th200-r2] route=buggy TOMCAT_MAX_THREADS=200 RATE=400 VUS=2600 PREVUS=2600 RAMP=5s HOLD=20s DOWN=5s
# 설정  pool=10 connection-timeout=2000ms tomcat.threads.max=200 accept-count=1000 shed.permits=10

# 앱 안에서 잰 계층별 시간 (서블릿 필터 기준)
inapp_200                count=7592    min=50.47ms   p50=1024.22ms p90=1996.99ms p95=2014.04ms p99=2027.48ms max=2047.13ms mean=812.51ms
inapp_500                count=532     min=2000.27ms p50=2001.62ms p90=2003.92ms p95=2004.98ms p99=2006.52ms max=2009.77ms mean=2002.01ms
pool_acquire_ok          count=7592    min=0.00ms    p50=972.76ms  p90=1945.49ms p95=1962.13ms p99=1975.68ms max=1994.95ms mean=760.71ms
pool_acquire_timeout     count=532     min=2000.17ms p50=2001.38ms p90=2003.73ms p95=2004.73ms p99=2006.17ms max=2007.81ms mean=2001.80ms
query_after_acquire      count=7592    min=50.24ms   p50=51.19ms   p90=52.56ms   p95=53.27ms   p99=55.09ms   max=63.19ms   mean=51.50ms

# 큐 길이 표본 100ms 간격, 424개
최댓값  hikari_active=10 hikari_waiting=190 tomcat_busy=200 tomcat_queue=2400 tomcat_conn=2601
t(s)  hikari(active/idle/waiting)  tomcat(busy/pool/queue/conn)
  0.0   -1/ -1/   -1                -1/  -1/   -1/   -1
  1.0    0/ 10/    0                 1/  10/    0/    2
  2.0    0/ 10/    0                 0/  10/    0/    1
  3.1    4/  6/    0                 4/  10/    0/   28
  4.1    7/  3/    0                 7/  10/    0/  135
  5.1   10/  0/    9                20/  20/    0/  325
  6.1   10/  0/   81                91/  92/    0/  596
  7.1   10/  0/  190               200/ 200/   48/  951
  8.1   10/  0/  190               200/ 200/  254/ 1355
  9.1   10/  0/  190               200/ 200/  464/ 1759
 10.2   10/  0/  190               200/ 200/  670/ 2165
 11.2   10/  0/  190               200/ 200/  875/ 2570
 12.2   10/  0/  190               200/ 200/ 1089/ 2595
 13.2   10/  0/  190               200/ 200/ 1291/ 2591
 14.2   10/  0/  190               200/ 200/ 1496/ 2592
 15.2   10/  0/  190               200/ 200/ 1693/ 2577
 16.3   10/  0/  190               200/ 200/ 1890/ 2574
 17.3   10/  0/  190               200/ 200/ 2089/ 2589
 18.3   10/  0/  190               200/ 200/ 2293/ 2601
 19.3   10/  0/  190               200/ 200/ 2400/ 2601
 20.3   10/  0/  190               200/ 200/ 2400/ 2601
 21.3   10/  0/  190               200/ 200/ 2395/ 2601
 22.3   10/  0/  190               200/ 200/ 2398/ 2599
 23.4   10/  0/  190               200/ 200/ 2395/ 2601
 24.4   10/  0/  189               200/ 200/ 2400/ 2601
 25.4   10/  0/  190               200/ 200/ 2394/ 2601
 26.4    9/  1/  188               200/ 200/ 2400/ 2601
 27.4   10/  0/  190               200/ 200/ 2400/ 2601
 28.4   10/  0/  190               200/ 200/ 2393/ 2601
 29.4   10/  0/  190               200/ 200/ 2400/ 2601
 30.5   10/  0/  190               200/ 200/ 2370/ 2600
 31.5   10/  0/  190               200/ 200/ 2271/ 2599
 32.5   10/  0/  190               200/ 200/ 2067/ 2573
 33.5   10/  0/  190               200/ 200/ 1846/ 2552
 34.6   10/  0/  190               200/ 200/ 1615/ 2521
 35.6   10/  0/  190               200/ 200/ 1398/ 2494
 36.6   10/  0/  190               200/ 200/ 1172/ 2468
 37.6   10/  0/  190               200/ 200/  948/ 2444
 38.6   10/  0/  190               200/ 200/  712/ 2408
 39.7   10/  0/  188               200/ 200/  473/ 2369
 40.7   10/  0/  190               200/ 200/  240/ 2326
 41.7   10/  0/  178               188/ 200/    0/ 2274
 42.7    0/ 10/    0                 0/ 200/    0/ 2274
