# [th50-r2] route=buggy TOMCAT_MAX_THREADS=50 RATE=400 VUS=2600 PREVUS=2600 RAMP=5s HOLD=20s DOWN=5s
# 설정  pool=10 connection-timeout=2000ms tomcat.threads.max=50 accept-count=1000 shed.permits=10

# 앱 안에서 잰 계층별 시간 (서블릿 필터 기준)
inapp_200                count=7931    min=50.27ms   p50=255.89ms  p90=465.00ms  p95=667.46ms  p99=1085.89ms max=1943.37ms mean=246.92ms
inapp_500                count=5       min=2001.35ms p50=2002.12ms p90=2009.66ms p95=2009.66ms p99=2009.66ms max=2009.66ms mean=2003.65ms
pool_acquire_ok          count=7931    min=0.00ms    p50=204.35ms  p90=413.32ms  p95=615.69ms  p99=1034.83ms max=1892.00ms mean=195.05ms
pool_acquire_timeout     count=5       min=2001.19ms p50=2001.96ms p90=2005.61ms p95=2005.61ms p99=2005.61ms max=2005.61ms mean=2002.61ms
query_after_acquire      count=7931    min=50.18ms   p50=51.23ms   p90=52.61ms   p95=53.28ms   p99=55.28ms   max=64.78ms   mean=51.54ms

# 큐 길이 표본 100ms 간격, 442개
최댓값  hikari_active=10 hikari_waiting=40 tomcat_busy=50 tomcat_queue=2550 tomcat_conn=2601
t(s)  hikari(active/idle/waiting)  tomcat(busy/pool/queue/conn)
  0.0   -1/ -1/   -1                -1/  -1/   -1/   -1
  1.0    0/ 10/    0                 1/  10/    0/    2
  2.1    0/ 10/    0                 0/  10/    0/    1
  3.1    3/  7/    0                 3/  10/    0/   25
  4.1    8/  2/    0                 8/  10/    0/  131
  5.1   10/  0/    6                16/  17/    0/  317
  6.1   10/  0/   40                50/  50/   37/  587
  7.1   10/  0/   40                50/  50/  190/  937
  8.1   10/  0/   40                50/  50/  397/ 1340
  9.1   10/  0/   40                50/  50/  604/ 1744
 10.1   10/  0/   40                50/  50/  809/ 2148
 11.2   10/  0/   40                50/  50/ 1019/ 2552
 12.2   10/  0/   40                50/  50/ 1227/ 2601
 13.2   10/  0/   40                50/  50/ 1432/ 2601
 14.2   10/  0/   40                50/  50/ 1644/ 2601
 15.2   10/  0/   40                50/  50/ 1849/ 2601
 16.2   10/  0/   40                50/  50/ 2063/ 2601
 17.2   10/  0/   40                50/  50/ 2268/ 2601
 18.2   10/  0/   40                50/  50/ 2473/ 2601
 19.2   10/  0/   40                50/  50/ 2550/ 2601
 20.3   10/  0/   40                50/  50/ 2550/ 2601
 21.3   10/  0/   40                50/  50/ 2548/ 2601
 22.3   10/  0/   40                50/  50/ 2550/ 2601
 23.3   10/  0/   40                50/  50/ 2550/ 2601
 24.3   10/  0/   40                50/  50/ 2550/ 2601
 25.3   10/  0/   40                50/  50/ 2549/ 2601
 26.3   10/  0/   40                50/  50/ 2550/ 2601
 27.4   10/  0/   40                50/  50/ 2550/ 2601
 28.4   10/  0/   40                50/  50/ 2550/ 2601
 29.4   10/  0/   40                50/  50/ 2541/ 2601
 30.4   10/  0/   40                50/  50/ 2533/ 2601
 31.4   10/  0/   40                50/  50/ 2444/ 2601
 32.4   10/  0/   40                50/  50/ 2284/ 2601
 33.5   10/  0/   40                50/  50/ 2084/ 2601
 34.5   10/  0/   40                50/  50/ 1884/ 2601
 35.5   10/  0/   40                50/  50/ 1692/ 2601
 36.5   10/  0/   40                50/  50/ 1494/ 2601
 37.5   10/  0/   40                50/  50/ 1294/ 2601
 38.6   10/  0/   40                50/  50/ 1094/ 2601
 39.6   10/  0/   40                50/  50/  904/ 2601
 40.6   10/  0/   40                50/  50/  704/ 2601
 41.6   10/  0/   40                50/  50/  510/ 2599
 42.6   10/  0/   40                50/  50/  310/ 2597
 43.7   10/  0/   40                50/  50/  110/ 2597
 44.7    0/ 10/    0                 0/  50/    0/ 2597
