# [th800-r2] route=buggy TOMCAT_MAX_THREADS=800 RATE=400 VUS=2600 PREVUS=2600 RAMP=5s HOLD=20s DOWN=5s
# 설정  pool=10 connection-timeout=2000ms tomcat.threads.max=800 accept-count=1000 shed.permits=10

# 앱 안에서 잰 계층별 시간 (서블릿 필터 기준)
inapp_200                count=5753    min=50.39ms   p50=2045.68ms p90=2051.00ms p95=2051.66ms p99=2053.21ms max=2061.90ms mean=1692.05ms
inapp_500                count=4246    min=2000.13ms p50=2000.96ms p90=2001.88ms p95=2002.38ms p99=2003.83ms max=2009.72ms mean=2001.10ms
pool_acquire_ok          count=5753    min=0.00ms    p50=1994.36ms p90=1999.63ms p95=2000.19ms p99=2001.30ms max=2008.52ms mean=1640.57ms
pool_acquire_timeout     count=4246    min=2000.07ms p50=2000.86ms p90=2001.77ms p95=2002.25ms p99=2003.67ms max=2009.60ms mean=2001.00ms
query_after_acquire      count=5753    min=50.21ms   p50=51.07ms   p90=51.93ms   p95=52.43ms   p99=54.33ms   max=62.03ms   mean=51.26ms

# 큐 길이 표본 100ms 간격, 330개
최댓값  hikari_active=10 hikari_waiting=790 tomcat_busy=800 tomcat_queue=8 tomcat_conn=2308
t(s)  hikari(active/idle/waiting)  tomcat(busy/pool/queue/conn)
  0.0   -1/ -1/   -1                -1/  -1/   -1/   -1
  1.0    0/ 10/    0                 0/  10/    0/    1
  2.1    0/ 10/    0                 0/  10/    0/    1
  3.1    4/  6/    0                 4/  10/    0/   34
  4.1    8/  2/    0                 8/  10/    0/  148
  5.1   10/  0/   10                20/  22/    0/  344
  6.1   10/  0/   93               103/ 103/    0/  623
  7.1   10/  0/  254               265/ 265/    0/  983
  8.1   10/  0/  459               469/ 471/    0/ 1387
  9.1   10/  0/  664               674/ 674/    0/ 1786
 10.2   10/  0/  790               800/ 800/    5/ 2115
 11.2   10/  0/  789               800/ 800/    0/ 2308
 12.2   10/  0/  787               797/ 800/    0/ 2102
 13.2   10/  0/  786               796/ 800/    0/ 1892
 14.2   10/  0/  788               800/ 800/    1/ 1694
 15.2   10/  0/  788               798/ 800/    0/ 1677
 16.2   10/  0/  789               800/ 800/    0/ 1681
 17.2   10/  0/  787               797/ 800/    0/ 1684
 18.3   10/  0/  789               799/ 800/    0/ 1685
 19.3   10/  0/  786               798/ 800/    0/ 1680
 20.3   10/  0/  786               796/ 800/    0/ 1677
 21.3   10/  0/  788               798/ 800/    0/ 1680
 22.3   10/  0/  786               796/ 800/    0/ 1678
 23.3   10/  0/  789               799/ 800/    0/ 1680
 24.3   10/  0/  787               797/ 800/    0/ 1678
 25.3   10/  0/  778               788/ 800/    0/ 1674
 26.3   10/  0/  779               789/ 800/    0/ 1670
 27.3   10/  0/  775               785/ 800/    0/ 1666
 28.4   10/  0/  714               724/ 800/    0/ 1633
 29.4   10/  0/  593               603/ 800/    0/ 1576
 30.4   10/  0/  441               452/ 800/    0/ 1531
 31.4   10/  0/  273               283/ 800/    0/ 1511
 32.4   10/  0/   92               102/ 800/    0/ 1513
