# mode=direct label=baseline-r1 tickRate=3000 symbols=20 payloadBytes=480 queueCapacity=1000 bufferLimitBytes=1048576 sendTimeLimitMs=5000 blockingSendTimeoutMs=0 heapMaxMB=123
t_s,heap_used_mb,heap_max_mb,published,published_per_s,delivered_per_s,slow_queue_msgs,slow_queue_mb,normal_queue_msgs_max,normal_queue_mb_max,dropped_total,closed_sessions,gc_count,gc_ms,broadcast_blocked_ms,oom
0,35.0,123.8,264,264,1320,0,0.00,0,0.00,0,0,5,54,3,0
1,44.7,123.8,3270,3006,15030,0,0.00,0,0.00,0,0,5,54,4,0
2,21.8,123.8,6246,2976,14880,0,0.00,0,0.00,0,0,6,62,15,0
3,30.7,123.8,9247,3001,15008,0,0.00,0,0.00,0,0,6,62,16,0
4,39.2,123.8,12114,2867,14332,0,0.00,0,0.00,0,0,6,62,18,0
5,13.8,123.8,15096,2982,14910,0,0.00,0,0.00,0,0,7,66,26,0
6,22.8,123.8,18045,2949,14750,0,0.00,0,0.00,0,0,7,66,39,0
7,31.2,123.8,20850,2805,14020,0,0.00,0,0.00,0,0,7,66,64,0
8,39.9,123.8,23856,3006,15030,0,0.00,0,0.00,0,0,7,66,65,0
9,15.0,123.8,26838,2982,14910,0,0.00,0,0.00,0,0,8,74,72,0
10,23.6,123.8,29694,2856,14280,0,0.00,0,0.00,0,0,8,74,86,0
11,32.1,123.8,32677,2983,14922,0,0.00,0,0.00,0,0,8,74,88,0
12,39.3,123.8,34993,2316,11578,0,0.00,0,0.00,0,0,8,74,90,0
13,46.9,123.8,37628,2635,13172,0,0.00,0,0.00,0,0,8,74,109,0
14,21.7,123.8,40596,2968,14838,0,0.00,0,0.00,0,0,9,77,115,0
15,30.6,123.8,43530,2934,14670,0,0.00,0,0.00,0,0,9,77,118,0
16,39.1,123.8,46500,2970,14850,0,0.00,0,0.00,0,0,9,77,125,0
17,13.7,123.8,49416,2916,14582,0,0.00,0,0.00,0,0,10,83,145,0
18,22.5,123.8,52296,2880,14398,0,0.00,0,0.00,0,0,10,83,148,0
19,31.2,123.8,55242,2946,14730,0,0.00,0,0.00,0,0,10,83,155,0
20,40.0,123.8,58224,2982,14910,0,0.00,0,0.00,0,0,10,83,158,0
21,14.4,123.8,61110,2886,14430,0,0.00,0,0.00,0,0,11,87,180,0
22,23.0,123.8,64074,2964,14820,0,0.00,0,0.00,0,0,11,87,180,0
23,32.3,123.8,67068,2994,14970,0,0.00,0,0.00,0,0,11,87,180,0
24,40.9,123.8,70076,3008,15045,0,0.00,0,0.00,0,0,11,87,182,0
25,15.7,123.8,73050,2974,14865,0,0.00,0,0.00,0,0,12,95,191,0
26,24.0,123.8,75840,2790,13950,0,0.00,0,0.00,0,0,12,95,212,0
27,32.4,123.8,78780,2940,14700,0,0.00,0,0.00,0,0,12,95,220,0
28,41.3,123.8,81768,2988,14940,0,0.00,0,0.00,0,0,12,95,223,0
29,16.4,123.8,84744,2976,14880,0,0.00,0,0.00,0,0,13,104,232,0
30,24.9,123.8,87714,2970,14850,0,0.00,0,0.00,0,0,13,104,243,0
31,34.1,123.8,90720,3006,15030,0,0.00,0,0.00,0,0,13,104,245,0
32,42.6,123.8,93708,2988,14940,0,0.00,0,0.00,0,0,13,104,246,0
33,17.1,123.8,96678,2970,14850,0,0.00,0,0.00,0,0,14,113,246,0
34,26.4,123.8,99618,2940,14700,0,0.00,0,0.00,0,0,14,113,248,0
35,35.1,123.8,102618,3000,15000,0,0.00,0,0.00,0,0,14,113,249,0
36,43.7,123.8,105618,3000,15000,0,0.00,0,0.00,0,0,14,113,249,0
37,18.5,123.8,108564,2946,14730,0,0.00,0,0.00,0,0,15,122,258,0
38,27.3,123.8,111534,2970,14850,0,0.00,0,0.00,0,0,15,122,258,0
39,36.0,123.8,114534,3000,15000,0,0.00,0,0.00,0,0,15,122,259,0
40,45.4,123.8,117534,3000,15000,0,0.00,0,0.00,0,0,15,122,260,0
41,19.9,123.8,120506,2972,14867,0,0.00,0,0.00,0,0,16,129,270,0
42,28.6,123.8,123421,2915,14573,0,0.00,0,0.00,0,0,16,129,294,0
43,37.4,123.8,126348,2927,14630,0,0.00,0,0.00,0,0,16,129,294,0
44,46.2,123.8,129300,2952,14760,0,0.00,0,0.00,0,0,16,129,294,0
45,20.0,123.8,132234,2934,11105,0,0.00,0,0.00,0,5,17,136,309,0
