# mode=bounded label=bounded-r1 tickRate=3000 symbols=20 payloadBytes=480 queueCapacity=1000 bufferLimitBytes=1048576 sendTimeLimitMs=5000 blockingSendTimeoutMs=0 heapMaxMB=123
t_s,heap_used_mb,heap_max_mb,published,published_per_s,delivered_per_s,slow_queue_msgs,slow_queue_mb,normal_queue_msgs_max,normal_queue_mb_max,dropped_total,closed_sessions,gc_count,gc_ms,broadcast_blocked_ms,oom
0,21.1,123.8,2952,2952,15002,1000,0.46,0,0.00,1709,0,6,49,2,0
1,38.7,123.8,5964,3012,15120,1000,0.46,1,0.00,4661,0,6,49,2,0
3,22.3,123.8,8952,2988,14971,1000,0.46,6,0.00,7589,0,7,58,2,0
4,40.5,123.8,11952,3000,15089,1000,0.46,0,0.00,10529,0,7,58,2,0
5,24.0,123.8,14922,2970,14887,1000,0.46,6,0.00,13439,0,8,61,2,0
6,42.1,123.8,17934,3012,15143,1000,0.46,0,0.00,16391,0,8,61,2,0
7,25.4,123.8,20922,2988,15000,1000,0.46,0,0.00,19319,0,9,64,3,0
8,42.3,123.8,23772,2850,14310,1000,0.46,0,0.00,22109,0,9,64,3,0
9,26.6,123.8,26778,3006,15150,1000,0.46,0,0.00,24995,0,10,67,3,0
10,44.0,123.8,29784,3006,15074,1000,0.46,6,0.00,27941,0,10,67,3,0
11,28.1,123.8,32796,3012,15109,1000,0.46,6,0.00,30893,0,11,68,3,0
12,45.6,123.8,35772,2976,14949,1000,0.46,6,0.00,33809,0,11,68,3,0
13,28.8,123.8,38652,2880,14451,1000,0.46,6,0.00,36629,0,12,70,8,0
14,46.2,123.8,41652,3000,15087,1000,0.46,0,0.00,39569,0,12,70,8,0
15,30.2,123.8,44646,2994,15030,1000,0.46,0,0.00,42503,0,13,74,8,0
16,47.7,123.8,47658,3012,15120,1000,0.46,0,0.00,45455,0,13,74,8,0
17,31.7,123.8,50670,3012,15091,1000,0.46,6,0.00,48407,0,14,76,8,0
18,15.1,123.8,53670,3000,15149,994,0.45,0,0.00,51293,0,15,78,8,0
19,32.5,123.8,56574,2904,14580,1000,0.46,0,0.00,54131,0,15,78,8,0
20,16.4,123.8,59580,3006,15075,1000,0.46,6,0.00,57078,0,16,79,8,0
21,33.8,123.8,62580,3000,15074,1000,0.46,0,0.00,60018,0,16,79,9,0
22,17.7,123.8,65586,3006,15076,1000,0.46,6,0.00,62964,0,17,83,9,0
23,35.4,123.8,68580,2994,15044,1000,0.46,0,0.00,65898,0,17,83,9,0
24,19.7,123.8,71580,3000,15060,1000,0.46,0,0.00,68838,0,18,85,9,0
25,37.2,123.8,74556,2976,14940,1000,0.46,0,0.00,71754,0,18,85,9,0
26,21.0,123.8,77538,2982,14970,1000,0.46,0,0.00,74676,0,19,87,9,0
27,38.6,123.8,80532,2994,15078,1000,0.46,5,0.00,77550,0,19,87,9,0
28,22.4,123.8,83502,2970,14922,1000,0.46,2,0.00,80461,0,20,90,10,0
29,39.9,123.8,86490,2988,14980,1000,0.46,6,0.00,83388,0,20,90,11,0
30,23.8,123.8,89484,2994,15032,1000,0.46,6,0.00,86322,0,21,93,11,0
31,41.3,123.8,92478,2994,15048,1000,0.46,0,0.00,89256,0,21,93,11,0
32,24.4,123.8,95370,2892,14520,1000,0.46,0,0.00,92088,0,22,95,11,0
33,41.8,123.8,98370,3000,15060,1000,0.46,0,0.00,95028,0,22,95,12,0
34,25.7,123.8,101376,3006,15078,1000,0.46,6,0.00,97974,0,23,99,12,0
35,43.3,123.8,104370,2994,15072,982,0.45,6,0.00,100866,0,23,99,12,0
36,27.3,123.8,107370,3000,15090,1000,0.46,0,0.00,103788,0,24,102,12,0
37,45.3,123.8,110382,3012,15103,1000,0.46,6,0.00,106740,0,24,102,12,0
38,29.1,123.8,113376,2994,15033,1000,0.46,4,0.00,109674,0,25,104,13,0
39,46.6,123.8,116382,3006,15092,1000,0.46,5,0.00,112620,0,25,104,13,0
40,29.8,123.8,119238,2856,14352,1000,0.46,0,0.00,115416,0,26,107,13,0
41,47.3,123.8,122214,2976,14940,1000,0.46,0,0.00,118332,0,26,107,13,0
42,31.1,123.8,125202,2988,14999,1000,0.46,0,0.00,121261,0,27,109,13,0
43,14.9,123.8,128190,2988,15049,994,0.45,5,0.00,124135,0,28,112,15,0
44,32.4,123.8,131172,2982,14979,1000,0.46,1,0.00,127051,0,28,112,15,0
45,14.1,123.8,134160,2988,12806,1000,0.46,5,0.00,129559,6,29,112,16,0
