# mode=combo label=combo-r2 tickRate=3000 symbols=20 payloadBytes=480 queueCapacity=1000 bufferLimitBytes=1048576 sendTimeLimitMs=5000 blockingSendTimeoutMs=0 heapMaxMB=123
t_s,heap_used_mb,heap_max_mb,published,published_per_s,delivered_per_s,slow_queue_msgs,slow_queue_mb,normal_queue_msgs_max,normal_queue_mb_max,dropped_total,closed_sessions,gc_count,gc_ms,broadcast_blocked_ms,oom
0,17.9,123.8,1980,1980,10083,20,0.01,0,0.00,1776,0,6,152,136,0
1,37.9,123.8,4962,2982,14991,20,0.01,0,0.00,4677,0,6,152,141,0
2,22.4,123.8,7836,2874,14457,20,0.01,0,0.00,7464,0,7,158,178,0
3,41.2,123.8,10812,2976,14780,20,0.01,0,0.00,10540,0,7,158,179,0
4,26.2,123.8,13788,2976,14876,20,0.01,0,0.00,13520,0,8,159,179,0
5,44.8,123.8,16734,2946,14726,20,0.01,0,0.00,16470,0,8,159,179,0
6,29.6,123.8,19686,2952,14760,20,0.01,0,0.00,19422,0,9,160,179,0
7,14.2,123.8,22638,2952,14850,20,0.01,0,0.00,22284,0,10,161,179,0
8,32.8,123.8,25584,2946,14672,20,0.01,0,0.00,25288,0,10,161,179,0
9,18.0,123.8,28560,2976,14964,20,0.01,0,0.00,28180,0,11,162,179,0
10,36.8,123.8,31554,2994,15048,20,0.01,0,0.00,31096,0,11,162,179,0
11,20.9,123.8,34428,2874,14354,20,0.01,0,0.00,33986,0,12,163,179,0
12,39.9,123.8,37410,2982,14980,20,0.01,0,0.00,36898,0,12,163,179,0
13,24.9,123.8,40428,3018,15085,20,0.01,6,0.00,39909,0,13,164,179,0
14,43.8,123.8,43422,2994,15048,20,0.01,0,0.00,42837,0,13,164,180,0
16,28.8,123.8,46410,2988,14813,20,0.01,0,0.00,45952,0,14,165,183,0
17,47.1,123.8,49338,2928,14666,20,0.01,18,0.01,48808,0,14,165,183,0
18,31.7,123.8,52296,2958,14833,20,0.01,6,0.00,51739,0,15,167,183,0
19,16.3,123.8,55236,2940,14753,20,0.01,6,0.00,54630,0,16,168,183,0
20,35.1,123.8,58224,2988,14966,20,0.01,0,0.00,57618,0,16,168,183,0
21,20.2,123.8,61200,2976,14962,20,0.01,0,0.00,60512,0,17,169,183,0
22,38.9,123.8,64164,2964,14910,20,0.01,0,0.00,63386,0,17,169,183,0
23,23.0,123.8,67038,2874,14460,20,0.01,0,0.00,66170,0,18,170,184,0
24,41.9,123.8,70050,3012,15045,20,0.01,6,0.00,69189,0,18,170,184,0
25,26.9,123.8,72996,2946,14828,20,0.01,0,0.00,72045,0,19,170,184,0
26,45.8,123.8,75984,2988,15022,20,0.01,0,0.00,74951,0,19,170,184,0
27,31.1,123.8,78972,2988,14945,20,0.01,0,0.00,77934,0,20,171,184,0
28,15.5,123.8,81924,2952,14744,20,0.01,0,0.00,80902,0,21,172,184,0
29,34.4,123.8,84900,2976,14958,20,0.01,0,0.00,83800,0,21,172,184,0
30,19.1,123.8,87864,2964,14797,20,0.01,0,0.00,86787,0,22,173,184,0
31,38.0,123.8,90870,3006,15074,20,0.01,11,0.01,89722,0,22,173,184,0
32,22.9,123.8,93834,2964,14786,20,0.01,0,0.00,92747,0,23,174,189,0
33,41.8,123.8,96822,2988,15030,20,0.01,0,0.00,95645,0,23,174,189,0
34,27.1,123.8,99810,2988,15000,20,0.01,0,0.00,98573,0,24,175,189,0
35,45.8,123.8,102798,2988,15030,20,0.01,0,0.00,101471,0,24,175,189,0
36,30.2,123.8,105708,2910,14550,20,0.01,0,0.00,104381,0,25,176,189,0
37,14.8,123.8,108630,2922,14700,20,0.01,0,0.00,107213,0,26,177,196,0
38,33.8,123.8,111588,2958,14872,20,0.01,0,0.00,110089,0,26,177,196,0
39,18.6,123.8,114570,2982,14973,20,0.01,6,0.00,112993,0,27,177,196,0
40,37.2,123.8,117558,2988,14941,20,0.01,6,0.00,115985,0,27,177,196,0
41,21.5,123.8,120414,2856,14329,20,0.01,0,0.00,118802,0,28,178,196,0
42,39.9,123.8,123342,2928,14629,20,0.01,0,0.00,121741,0,28,178,196,0
43,25.0,123.8,126312,2970,14870,20,0.01,0,0.00,124691,0,29,179,196,0
44,43.1,123.8,129216,2904,14510,20,0.01,0,0.00,127605,0,29,179,196,0
45,26.4,123.8,132126,2910,13178,20,0.01,19,0.01,130409,6,30,180,196,0
46,29.9,123.8,135036,2910,0,20,0.01,19,0.01,130409,6,30,180,201,0
