# mode=combo label=combo-stalled-r2 tickRate=3000 symbols=20 payloadBytes=480 queueCapacity=1000 bufferLimitBytes=1048576 sendTimeLimitMs=5000 blockingSendTimeoutMs=0 heapMaxMB=123
t_s,heap_used_mb,heap_max_mb,published,published_per_s,delivered_per_s,slow_queue_msgs,slow_queue_mb,normal_queue_msgs_max,normal_queue_mb_max,dropped_total,closed_sessions,gc_count,gc_ms,broadcast_blocked_ms,oom
0,22.0,123.8,2880,2880,15452,20,0.01,0,0.00,1807,0,6,49,8,0
1,41.2,123.8,5898,3018,15074,20,0.01,6,0.00,4825,0,6,49,8,0
2,26.4,123.8,8892,2994,14986,20,0.01,0,0.00,7819,0,7,53,13,0
3,44.2,123.8,11719,2827,14130,20,0.01,6,0.00,10651,0,7,53,16,0
4,29.0,123.8,14700,2981,14910,20,0.01,0,0.00,13627,0,8,61,16,0
6,15.4,123.8,17862,3162,15786,20,0.01,5,0.00,16615,1,9,67,22,0
7,33.6,123.8,20850,2988,14964,20,0.01,0,0.00,16615,1,9,67,22,0
8,16.7,123.8,23634,2784,13920,20,0.01,0,0.00,16615,1,10,76,25,0
9,34.2,123.8,26640,3006,15030,20,0.01,0,0.00,16615,1,10,76,25,0
10,17.7,123.8,29634,2994,14970,20,0.01,0,0.00,16615,1,11,83,25,0
11,35.2,123.8,32646,3012,15030,20,0.01,6,0.00,16615,1,11,83,25,0
12,17.7,123.8,35502,2856,14310,20,0.01,0,0.00,16615,1,12,89,27,0
13,35.0,123.8,38442,2940,14700,20,0.01,0,0.00,16615,1,12,89,27,0
14,18.4,123.8,41424,2982,14881,20,0.01,6,0.00,16615,1,13,98,27,0
15,35.6,123.8,44412,2988,14969,20,0.01,0,0.00,16615,1,13,98,27,0
16,19.2,123.8,47388,2976,14880,20,0.01,0,0.00,16615,1,14,101,27,0
17,36.3,123.8,50382,2994,14941,20,0.01,6,0.00,16615,1,14,101,27,0
18,19.2,123.8,53208,2826,14159,20,0.01,0,0.00,16615,1,15,109,27,0
19,36.0,123.8,56184,2976,14846,20,0.01,6,0.00,16622,1,15,109,27,0
20,19.9,123.8,59172,2988,14937,20,0.01,6,0.00,16622,1,16,117,27,0
21,37.1,123.8,62172,3000,15030,20,0.01,0,0.00,16622,1,16,117,27,0
22,20.6,123.8,65154,2982,14910,20,0.01,0,0.00,16622,1,17,123,27,0
23,37.9,123.8,68154,3000,15000,20,0.01,6,0.00,16622,1,17,123,27,0
24,20.6,123.8,71028,2874,14370,20,0.01,1,0.00,16622,1,18,130,29,0
25,38.1,123.8,74028,3000,15000,20,0.01,0,0.00,16622,1,18,130,29,0
26,21.9,123.8,76992,2964,14820,20,0.01,0,0.00,16622,1,19,137,29,0
27,38.8,123.8,79980,2988,14940,20,0.01,0,0.00,16622,1,19,137,29,0
28,22.6,123.8,82920,2940,14700,20,0.01,0,0.00,16622,1,20,145,29,0
29,39.4,123.8,85884,2964,14794,20,0.01,6,0.00,16622,1,20,145,29,0
30,23.3,123.8,88860,2976,14876,20,0.01,6,0.00,16622,1,21,150,29,0
31,40.8,123.8,91866,3006,15060,20,0.01,1,0.00,16622,1,21,150,29,0
32,23.9,123.8,94854,2988,14940,20,0.01,1,0.00,16622,1,22,152,29,0
33,41.5,123.8,97860,3006,15030,20,0.01,0,0.00,16622,1,22,152,29,0
34,25.3,123.8,100860,3000,15000,20,0.01,0,0.00,16622,1,23,154,31,0
35,42.6,123.8,103837,2977,14880,20,0.01,5,0.00,16622,1,23,154,31,0
36,26.0,123.8,106812,2975,14878,20,0.01,1,0.00,16622,1,24,157,40,0
37,43.5,123.8,109782,2970,14852,20,0.01,0,0.00,16622,1,24,157,40,0
38,27.3,123.8,112794,3012,15033,20,0.01,5,0.00,16622,1,25,159,41,0
39,44.2,123.8,115776,2982,14937,20,0.01,0,0.00,16622,1,25,159,41,0
40,28.0,123.8,118764,2988,14940,20,0.01,0,0.00,16622,1,26,161,41,0
41,45.5,123.8,121776,3012,15030,20,0.01,6,0.00,16622,1,26,161,41,0
42,29.3,123.8,124770,2994,14981,20,0.01,6,0.00,16622,1,27,162,41,0
43,46.8,123.8,127770,3000,15019,20,0.01,0,0.00,16622,1,27,162,41,0
44,30.6,123.8,130764,2994,14970,20,0.01,0,0.00,16622,1,28,164,41,0
45,45.0,123.8,133770,3006,11873,20,0.01,11,0.01,16622,6,28,164,43,0
