# mode=conflate label=conflate-r2 tickRate=3000 symbols=20 payloadBytes=480 queueCapacity=1000 bufferLimitBytes=1048576 sendTimeLimitMs=5000 blockingSendTimeoutMs=0 heapMaxMB=123
t_s,heap_used_mb,heap_max_mb,published,published_per_s,delivered_per_s,slow_queue_msgs,slow_queue_mb,normal_queue_msgs_max,normal_queue_mb_max,dropped_total,closed_sessions,gc_count,gc_ms,broadcast_blocked_ms,oom
0,39.1,123.8,558,558,1529,20,0.01,20,0.01,1705,0,5,108,16,0
1,21.6,123.8,2916,2358,8233,20,0.01,14,0.01,7675,0,6,125,234,0
2,41.9,123.8,5865,2949,14460,20,0.01,4,0.00,10933,0,6,125,247,0
3,26.8,123.8,8784,2919,14652,20,0.01,0,0.00,13809,0,7,131,248,0
4,45.1,123.8,11694,2910,14523,20,0.01,0,0.00,16746,0,7,131,262,0
5,29.8,123.8,14640,2946,14726,20,0.01,0,0.00,19696,0,8,132,271,0
6,46.7,123.8,17280,2640,13290,20,0.01,0,0.00,22246,0,8,132,377,0
7,32.2,123.8,20376,3096,15552,20,0.01,6,0.00,25252,0,9,135,386,0
8,16.8,123.8,23334,2958,14869,20,0.01,12,0.01,28125,0,10,136,389,0
9,36.1,123.8,26370,3036,15111,20,0.01,0,0.00,31254,0,10,136,389,0
10,20.8,123.8,29334,2964,14910,20,0.01,0,0.00,34128,0,11,137,389,0
11,39.8,123.8,32298,2964,14910,20,0.01,0,0.00,37002,0,11,137,389,0
12,24.8,123.8,35274,2976,14887,0,0.00,0,0.00,39992,0,12,138,389,0
13,42.1,123.8,38070,2796,13970,20,0.01,0,0.00,42777,0,12,138,389,0
14,27.3,123.8,41082,3012,15138,20,0.01,6,0.00,45699,0,13,139,389,0
15,46.1,123.8,44046,2964,14922,20,0.01,0,0.00,48573,0,13,139,389,0
16,30.8,123.8,47030,2984,14978,20,0.01,6,0.00,51493,0,14,140,389,0
17,15.4,123.8,49992,2962,14819,20,0.01,0,0.00,54452,0,15,141,389,0
18,34.3,123.8,52974,2982,14949,20,0.01,6,0.00,57383,0,15,141,391,0
19,19.5,123.8,55920,2946,14831,20,0.01,0,0.00,60240,0,16,142,391,0
20,36.8,123.8,58698,2778,13909,20,0.01,0,0.00,62999,0,16,142,391,0
21,21.6,123.8,61692,2994,14970,20,0.01,0,0.00,65993,0,17,143,392,0
22,40.4,123.8,64656,2964,14850,20,0.01,12,0.01,68867,0,17,143,392,0
23,25.6,123.8,67638,2982,15050,20,0.01,0,0.00,71769,0,18,144,392,0
24,44.3,123.8,70614,2976,14968,20,0.01,0,0.00,74657,0,18,144,392,0
25,29.5,123.8,73602,2988,14940,20,0.01,0,0.00,77645,0,19,145,392,0
26,14.1,123.8,76530,2928,14730,20,0.01,0,0.00,80483,0,20,146,392,0
27,33.0,123.8,79494,2964,14910,20,0.01,0,0.00,83357,0,20,146,392,0
28,17.6,123.8,82452,2958,14762,20,0.01,0,0.00,86343,0,21,147,392,0
29,36.3,123.8,85416,2964,14808,20,0.01,6,0.00,89307,0,21,147,392,0
30,20.8,123.8,88368,2952,14862,20,0.01,0,0.00,92169,0,22,148,392,0
31,39.8,123.8,91362,2994,15024,20,0.01,6,0.00,95100,0,22,148,392,0
32,25.0,123.8,94344,2982,15009,20,0.01,0,0.00,97992,0,23,149,403,0
33,43.8,123.8,97350,3006,15030,20,0.01,0,0.00,100998,0,23,149,403,0
34,28.8,123.8,100326,2976,14970,20,0.01,0,0.00,103884,0,24,150,403,0
35,14.1,123.8,103344,3018,15162,20,0.01,0,0.00,106830,0,25,150,403,0
36,32.3,123.8,106278,2934,14760,20,0.01,0,0.00,109674,0,25,150,403,0
37,17.4,123.8,109272,2994,14904,20,0.01,0,0.00,112734,0,26,151,403,0
38,36.4,123.8,112242,2970,14928,20,0.01,0,0.00,115626,0,26,151,403,0
39,21.5,123.8,115230,2988,15010,20,0.01,0,0.00,118544,0,27,152,403,0
40,39.7,123.8,118122,2892,14549,20,0.01,0,0.00,121347,0,27,152,403,0
41,24.2,123.8,121080,2958,14790,20,0.01,0,0.00,124305,0,28,152,403,0
42,43.1,123.8,124074,2994,15052,20,0.01,0,0.00,127217,0,28,152,403,0
43,28.3,123.8,127020,2946,14775,20,0.01,6,0.00,130089,0,29,153,403,0
44,45.9,123.8,129864,2844,14157,20,0.01,0,0.00,133025,0,29,153,412,0
45,22.6,123.8,132648,2784,6597,20,0.01,0,0.00,134582,6,30,154,420,0
