# mode=decorator label=decorator-r1 tickRate=3000 symbols=20 payloadBytes=480 queueCapacity=1000 bufferLimitBytes=524288 sendTimeLimitMs=5000 blockingSendTimeoutMs=0 heapMaxMB=123
t_s,heap_used_mb,heap_max_mb,published,published_per_s,delivered_per_s,slow_queue_msgs,slow_queue_mb,normal_queue_msgs_max,normal_queue_mb_max,dropped_total,closed_sessions,gc_count,gc_ms,broadcast_blocked_ms,oom
0,17.7,123.8,2316,2316,6994,0,0.40,0,0.02,0,0,6,125,22,0
2,44.0,123.8,5058,2742,15207,0,0.51,0,0.01,0,1,6,125,22,0
3,35.6,123.8,7326,2268,15153,0,0.51,0,0.03,0,1,7,138,56,0
4,24.4,123.8,9954,2628,13838,0,0.51,0,0.00,0,1,8,139,57,0
5,48.1,123.8,12858,2904,14520,0,0.51,0,0.00,0,1,8,139,57,0
6,38.7,123.8,15870,3012,15060,0,0.51,0,0.00,0,1,9,140,57,0
7,29.0,123.8,18870,3000,15000,0,0.51,0,0.00,0,1,10,142,57,0
8,18.7,123.8,21816,2946,14719,0,0.51,0,0.00,0,1,11,143,57,0
9,42.3,123.8,24714,2898,14501,0,0.51,0,0.00,0,1,11,143,72,0
10,31.2,123.8,27546,2832,14160,0,0.51,0,0.00,0,1,12,145,72,0
11,21.5,123.8,30546,3000,15000,0,0.51,0,0.00,0,1,13,146,72,0
12,45.8,123.8,33552,3006,15000,0,0.51,0,0.00,0,1,13,146,72,0
13,35.8,123.8,36510,2958,14820,0,0.51,0,0.00,0,1,14,147,72,0
14,25.9,123.8,39480,2970,14850,0,0.51,0,0.00,0,1,15,149,72,0
15,16.1,123.8,42438,2958,14790,0,0.51,0,0.00,0,1,16,150,72,0
16,39.4,123.8,45342,2904,14520,0,0.51,0,0.00,0,1,16,150,72,0
17,27.5,123.8,48096,2754,13749,0,0.51,0,0.00,0,1,17,152,138,0
18,17.7,123.8,51090,2994,14991,0,0.51,0,0.00,0,1,18,153,138,0
19,41.8,123.8,54036,2946,14730,0,0.51,0,0.00,0,1,18,153,138,0
20,32.1,123.8,57036,3000,15000,0,0.51,0,0.00,0,1,19,154,138,0
21,22.6,123.8,60036,3000,15000,0,0.51,0,0.00,0,1,20,156,138,0
22,47.1,123.8,63048,3012,15060,0,0.51,0,0.00,0,1,20,156,138,0
23,37.5,123.8,66030,2982,14909,0,0.51,0,0.01,0,1,21,157,138,0
24,26.6,123.8,68868,2838,14189,0,0.51,0,0.00,0,1,22,158,138,0
25,16.9,123.8,71838,2970,14852,0,0.51,0,0.00,0,1,23,159,138,0
26,40.8,123.8,74790,2952,14751,0,0.51,0,0.00,0,1,23,159,138,0
27,31.0,123.8,77790,3000,14949,0,0.51,0,0.00,0,1,24,160,138,0
28,21.7,123.8,80814,3024,15179,0,0.51,0,0.00,0,1,25,161,138,0
29,45.8,123.8,83766,2952,14761,0,0.51,0,0.00,0,1,25,161,138,0
30,35.8,123.8,86706,2940,14700,0,0.51,0,0.00,0,1,26,162,140,0
31,24.5,123.8,89514,2808,14040,0,0.51,0,0.00,0,1,27,164,140,0
32,15.3,123.8,92526,3012,15060,0,0.51,0,0.00,0,1,28,165,140,0
33,38.6,123.8,95424,2898,14490,0,0.51,0,0.00,0,1,28,165,140,0
34,28.6,123.8,98376,2952,14760,0,0.51,0,0.00,0,1,29,166,140,0
35,18.1,123.8,101244,2868,14340,0,0.51,0,0.00,0,1,30,166,140,0
36,42.1,123.8,104196,2952,14744,0,0.51,0,0.00,0,1,30,166,140,0
37,32.4,123.8,107184,2988,14956,0,0.51,0,0.00,0,1,31,167,140,0
38,21.5,123.8,109992,2808,14040,0,0.51,0,0.00,0,1,32,169,140,0
39,46.1,123.8,113040,3048,15240,0,0.51,0,0.00,0,1,32,169,140,0
40,36.3,123.8,116034,2994,14970,0,0.51,0,0.00,0,1,33,170,140,0
41,26.3,123.8,118998,2964,14760,0,0.51,0,0.00,0,1,34,171,140,0
42,16.2,123.8,121908,2910,14610,0,0.51,0,0.00,0,1,35,172,144,0
43,39.4,123.8,124781,2873,14352,0,0.51,0,0.00,0,1,35,172,144,0
44,29.6,123.8,127746,2965,14838,0,0.51,0,0.00,0,1,36,174,144,0
45,14.3,123.8,130710,2964,10854,0,0.51,0,0.00,0,6,37,175,144,0
46,17.4,123.8,133488,2778,0,0,0.51,0,0.00,0,6,37,175,144,0
