# mode=direct label=direct-r1 tickRate=3000 symbols=20 payloadBytes=480 queueCapacity=1000 bufferLimitBytes=1048576 sendTimeLimitMs=5000 blockingSendTimeoutMs=0 heapMaxMB=123
t_s,heap_used_mb,heap_max_mb,published,published_per_s,delivered_per_s,slow_queue_msgs,slow_queue_mb,normal_queue_msgs_max,normal_queue_mb_max,dropped_total,closed_sessions,gc_count,gc_ms,broadcast_blocked_ms,oom
0,35.7,123.8,10,10,65,0,0.00,0,0.00,0,0,5,159,38,0
1,37.0,123.8,285,275,1648,0,0.00,0,0.00,0,0,5,159,318,0
2,37.3,123.8,381,96,576,0,0.00,0,0.00,0,0,5,159,1598,0
3,37.3,123.8,381,0,0,0,0.00,0,0.00,0,0,5,159,1598,0
4,37.7,123.8,471,90,540,0,0.00,0,0.00,0,0,5,159,2892,0
5,38.1,123.8,567,96,576,0,0.00,0,0.00,0,0,5,159,4289,0
6,38.5,123.8,657,90,540,0,0.00,0,0.00,0,0,5,159,5604,0
7,38.5,123.8,657,0,0,0,0.00,0,0.00,0,0,5,159,5604,0
8,38.8,123.8,747,90,540,0,0.00,0,0.00,0,0,5,159,6857,0
9,39.1,123.8,837,90,540,0,0.00,0,0.00,0,0,5,159,8127,0
10,39.6,123.8,927,90,540,0,0.00,0,0.00,0,0,5,159,9502,0
11,39.6,123.8,927,0,0,0,0.00,0,0.00,0,0,5,159,9502,0
12,39.9,123.8,1017,90,540,0,0.00,0,0.00,0,0,5,159,10785,0
13,40.5,123.8,1107,90,540,0,0.00,0,0.00,0,0,5,159,12059,0
14,40.7,123.8,1197,90,540,0,0.00,0,0.00,0,0,5,159,13348,0
15,40.7,123.8,1197,0,0,0,0.00,0,0.00,0,0,5,159,13348,0
16,41.1,123.8,1287,90,540,0,0.00,0,0.00,0,0,5,159,14737,0
17,41.4,123.8,1377,90,540,0,0.00,0,0.00,0,0,5,159,15979,0
18,41.7,123.8,1467,90,540,0,0.00,0,0.00,0,0,5,159,17268,0
19,41.7,123.8,1467,0,0,0,0.00,0,0.00,0,0,5,159,17268,0
20,42.0,123.8,1556,89,534,0,0.00,0,0.00,0,0,5,159,18585,0
21,42.3,123.8,1646,90,540,0,0.00,0,0.00,0,0,5,159,19960,0
22,42.6,123.8,1736,90,540,0,0.00,0,0.00,0,0,5,159,21229,0
23,42.7,123.8,1758,22,129,0,0.00,0,0.00,0,0,5,159,22500,0
24,42.9,123.8,1826,68,411,0,0.00,0,0.00,0,0,5,159,22500,0
25,43.2,123.8,1916,90,540,0,0.00,0,0.00,0,0,5,159,23831,0
26,43.5,123.8,2006,90,540,0,0.00,0,0.00,0,0,5,159,25153,0
27,43.8,123.8,2040,34,201,0,0.00,0,0.00,0,0,5,159,26421,0
28,44.0,123.8,2096,56,339,0,0.00,0,0.00,0,0,5,159,26421,0
29,44.4,123.8,2186,90,540,0,0.00,0,0.00,0,0,5,159,27703,0
30,44.6,123.8,2276,90,540,0,0.00,0,0.00,0,0,5,159,29022,0
31,44.7,123.8,2310,34,201,0,0.00,0,0.00,0,0,5,159,30343,0
32,45.0,123.8,2366,56,339,0,0.00,0,0.00,0,0,5,159,30343,0
33,45.3,123.8,2456,90,540,0,0.00,0,0.00,0,0,5,159,31614,0
34,45.5,123.8,2546,90,540,0,0.00,0,0.00,0,0,5,159,32895,0
35,45.6,123.8,2583,37,224,0,0.00,0,0.00,0,0,5,159,34266,0
36,14.4,123.8,2636,53,316,0,0.00,0,0.00,0,0,6,178,34280,0
37,14.9,123.8,2726,90,540,0,0.00,0,0.00,0,0,6,178,35515,0
38,15.3,123.8,2816,90,540,0,0.00,0,0.00,0,0,6,178,36786,0
39,15.7,123.8,2906,90,540,0,0.00,0,0.00,0,0,6,178,38067,0
40,15.7,123.8,2906,0,0,0,0.00,0,0.00,0,0,6,178,38067,0
41,16.0,123.8,2995,89,534,0,0.00,0,0.00,0,0,6,178,39445,0
42,16.4,123.8,3085,90,540,0,0.00,0,0.00,0,0,6,178,40761,0
43,16.9,123.8,3175,90,540,0,0.00,0,0.00,0,0,6,178,42041,0
44,17.0,123.8,3175,0,0,0,0.00,0,0.00,0,0,6,178,42041,0
45,18.4,123.8,3600,425,540,0,0.00,0,0.00,0,6,6,178,43953,0
46,21.8,123.8,6564,2964,0,0,0.00,0,0.00,0,6,6,178,43953,0
