# mode=direct label=direct-s1-r1 tickRate=3000 symbols=20 payloadBytes=480 queueCapacity=1000 bufferLimitBytes=1048576 sendTimeLimitMs=5000 blockingSendTimeoutMs=0 heapMaxMB=123
t_s,heap_used_mb,heap_max_mb,published,published_per_s,delivered_per_s,slow_queue_msgs,slow_queue_mb,normal_queue_msgs_max,normal_queue_mb_max,dropped_total,closed_sessions,gc_count,gc_ms,broadcast_blocked_ms,oom
0,35.8,123.8,183,183,1101,0,0.00,0,0.00,0,0,5,47,22,0
1,36.1,123.8,243,60,360,0,0.00,0,0.00,0,0,5,47,870,0
2,36.4,123.8,309,66,396,0,0.00,0,0.00,0,0,5,47,1812,0
3,36.6,123.8,375,66,396,0,0.00,0,0.00,0,0,5,47,2812,0
4,36.9,123.8,441,66,396,0,0.00,0,0.00,0,0,5,47,3822,0
5,37.2,123.8,507,66,396,0,0.00,0,0.00,0,0,5,47,4865,0
6,37.5,123.8,573,66,396,0,0.00,0,0.00,0,0,5,47,5779,0
7,37.7,123.8,639,66,396,0,0.00,0,0.00,0,0,5,47,6795,0
8,38.0,123.8,705,66,396,0,0.00,0,0.00,0,0,5,47,7842,0
9,38.4,123.8,771,66,396,0,0.00,0,0.00,0,0,5,47,8732,0
10,38.7,123.8,837,66,396,0,0.00,0,0.00,0,0,5,47,9800,0
11,39.0,123.8,903,66,396,0,0.00,0,0.00,0,0,5,47,10823,0
12,39.6,123.8,969,66,396,0,0.00,0,0.00,0,0,5,47,11865,0
13,39.9,123.8,1035,66,396,0,0.00,0,0.00,0,0,5,47,12796,0
14,40.0,123.8,1101,66,396,0,0.00,0,0.00,0,0,5,47,13844,0
15,40.3,123.8,1167,66,396,0,0.00,0,0.00,0,0,5,47,14877,0
16,40.5,123.8,1233,66,396,0,0.00,0,0.00,0,0,5,47,15832,0
17,40.8,123.8,1299,66,396,0,0.00,0,0.00,0,0,5,47,16861,0
18,41.0,123.8,1365,66,396,0,0.00,0,0.00,0,0,5,47,17903,0
19,41.2,123.8,1431,66,396,0,0.00,0,0.00,0,0,5,47,18943,0
20,41.6,123.8,1496,65,390,0,0.00,0,0.00,0,0,5,47,19888,0
21,41.8,123.8,1562,66,396,0,0.00,0,0.00,0,0,5,47,20929,0
22,42.1,123.8,1628,66,396,0,0.00,0,0.00,0,0,5,47,21959,0
23,42.3,123.8,1688,60,360,0,0.00,0,0.00,0,0,5,47,22902,0
24,42.4,123.8,1748,60,360,0,0.00,0,0.00,0,0,5,47,23844,0
25,42.7,123.8,1814,66,396,0,0.00,0,0.00,0,0,5,47,24875,0
26,42.9,123.8,1880,66,396,0,0.00,0,0.00,0,0,5,47,25792,0
28,43.1,123.8,1946,66,396,0,0.00,0,0.00,0,0,5,47,26831,0
29,43.4,123.8,2012,66,396,0,0.00,0,0.00,0,0,5,47,27759,0
30,43.6,123.8,2078,66,396,0,0.00,0,0.00,0,0,5,47,28782,0
31,44.0,123.8,2144,66,396,0,0.00,0,0.00,0,0,5,47,29836,0
32,44.2,123.8,2210,66,396,0,0.00,0,0.00,0,0,5,47,30872,0
33,44.4,123.8,2276,66,396,0,0.00,0,0.00,0,0,5,47,31804,0
34,44.6,123.8,2342,66,396,0,0.00,0,0.00,0,0,5,47,32854,0
35,44.9,123.8,2408,66,396,0,0.00,0,0.00,0,0,5,47,33875,0
36,45.1,123.8,2474,66,396,0,0.00,0,0.00,0,0,5,47,34809,0
37,45.3,123.8,2540,66,396,0,0.00,0,0.00,0,0,5,47,35812,0
38,45.6,123.8,2606,66,396,0,0.00,0,0.00,0,0,5,47,36865,0
39,13.9,123.8,2672,66,396,0,0.00,0,0.00,0,0,6,62,37919,0
40,14.3,123.8,2738,66,396,0,0.00,0,0.00,0,0,6,62,38830,0
41,14.7,123.8,2804,66,396,0,0.00,0,0.00,0,0,6,62,39875,0
42,15.0,123.8,2870,66,396,0,0.00,0,0.00,0,0,6,62,40888,0
43,15.3,123.8,2936,66,396,0,0.00,0,0.00,0,0,6,62,41911,0
44,15.5,123.8,3001,65,390,0,0.00,0,0.00,0,0,6,62,42831,0
45,16.7,123.8,3102,101,396,0,0.00,0,0.00,0,6,6,62,44015,0
