# mode=direct label=direct-stalled-r2 tickRate=3000 symbols=20 payloadBytes=480 queueCapacity=1000 bufferLimitBytes=1048576 sendTimeLimitMs=5000 blockingSendTimeoutMs=0 heapMaxMB=123
t_s,heap_used_mb,heap_max_mb,published,published_per_s,delivered_per_s,slow_queue_msgs,slow_queue_mb,normal_queue_msgs_max,normal_queue_mb_max,dropped_total,closed_sessions,gc_count,gc_ms,broadcast_blocked_ms,oom
0,36.6,123.8,285,285,1713,0,0.00,0,0.00,0,0,5,108,273,0
1,36.7,123.8,285,0,0,0,0.00,0,0.00,0,0,5,108,273,0
2,36.7,123.8,285,0,0,0,0.00,0,0.00,0,0,5,108,273,0
3,36.7,123.8,285,0,0,0,0.00,0,0.00,0,0,5,108,273,0
4,36.7,123.8,285,0,0,0,0.00,0,0.00,0,0,5,108,273,0
5,36.7,123.8,285,0,0,0,0.00,0,0.00,0,0,5,108,273,0
6,36.7,123.8,285,0,0,0,0.00,0,0.00,0,0,5,108,273,0
7,36.7,123.8,285,0,0,0,0.00,0,0.00,0,0,5,108,273,0
8,36.7,123.8,285,0,0,0,0.00,0,0.00,0,0,5,108,273,0
9,36.7,123.8,285,0,0,0,0.00,0,0.00,0,0,5,108,273,0
10,36.7,123.8,285,0,0,0,0.00,0,0.00,0,0,5,108,273,0
11,36.7,123.8,285,0,0,0,0.00,0,0.00,0,0,5,108,273,0
12,37.0,123.8,285,0,0,0,0.00,0,0.00,0,0,5,108,273,0
13,37.0,123.8,285,0,0,0,0.00,0,0.00,0,0,5,108,273,0
14,37.0,123.8,285,0,0,0,0.00,0,0.00,0,0,5,108,273,0
15,37.0,123.8,285,0,0,0,0.00,0,0.00,0,0,5,108,273,0
16,37.0,123.8,285,0,0,0,0.00,0,0.00,0,0,5,108,273,0
17,37.0,123.8,285,0,0,0,0.00,0,0.00,0,0,5,108,273,0
18,37.0,123.8,285,0,0,0,0.00,0,0.00,0,0,5,108,273,0
19,37.0,123.8,285,0,0,0,0.00,0,0.00,0,0,5,108,273,0
20,37.6,123.8,450,165,822,0,0.00,0,0.00,0,1,5,108,20332,0
21,15.3,123.8,3030,2580,12900,0,0.00,0,0.00,0,1,6,128,20427,0
22,24.6,123.8,6000,2970,14850,0,0.00,0,0.00,0,1,6,128,20429,0
23,33.5,123.8,8989,2989,14945,0,0.00,0,0.00,0,1,6,128,20430,0
24,42.3,123.8,11994,3005,15025,0,0.00,0,0.00,0,1,6,128,20431,0
25,16.5,123.8,14760,2766,13830,0,0.00,0,0.00,0,1,7,135,20445,0
26,25.3,123.8,17652,2892,14460,0,0.00,0,0.00,0,1,7,135,20458,0
27,33.8,123.8,20586,2934,14670,0,0.00,0,0.00,0,1,7,135,20460,0
28,42.7,123.8,23580,2994,14970,0,0.00,0,0.00,0,1,7,135,20460,0
29,17.2,123.8,26476,2896,14484,0,0.00,0,0.00,0,1,8,136,20461,0
30,26.3,123.8,29400,2924,14616,0,0.00,0,0.00,0,1,8,136,20468,0
31,34.9,123.8,32395,2995,14977,0,0.00,0,0.00,0,1,8,136,20470,0
32,43.0,123.8,35136,2741,13704,0,0.00,0,0.00,0,1,8,136,20485,0
33,17.8,123.8,38094,2958,14789,0,0.00,0,0.00,0,1,9,137,20485,0
34,26.9,123.8,41094,3000,15000,0,0.00,0,0.00,0,1,9,137,20485,0
35,35.4,123.8,44028,2934,14670,0,0.00,0,0.00,0,1,9,137,20486,0
36,43.9,123.8,46896,2868,14340,0,0.00,0,0.00,0,1,9,137,20503,0
37,18.8,123.8,49830,2934,14670,0,0.00,0,0.00,0,1,10,138,20512,0
38,27.1,123.8,52752,2922,14610,0,0.00,0,0.00,0,1,10,138,20520,0
39,35.3,123.8,55518,2766,13830,0,0.00,0,0.00,0,1,10,138,20585,0
40,44.6,123.8,58536,3018,15090,0,0.00,0,0.00,0,1,10,138,20585,0
41,19.1,123.8,61548,3012,15060,0,0.00,0,0.00,0,1,11,139,20586,0
42,28.4,123.8,64542,2994,14970,0,0.00,0,0.00,0,1,11,139,20586,0
43,36.4,123.8,67398,2856,14280,0,0.00,0,0.00,0,1,11,139,20599,0
44,45.6,123.8,70374,2976,14880,0,0.00,0,0.00,0,1,11,139,20604,0
45,17.1,123.8,73362,2988,5862,0,0.00,0,0.00,0,6,12,139,20610,0
