# mode=terminate label=terminate-r3 tickRate=3000 symbols=20 payloadBytes=480 queueCapacity=1000 bufferLimitBytes=1048576 sendTimeLimitMs=5000 blockingSendTimeoutMs=0 heapMaxMB=123
t_s,heap_used_mb,heap_max_mb,published,published_per_s,delivered_per_s,slow_queue_msgs,slow_queue_mb,normal_queue_msgs_max,normal_queue_mb_max,dropped_total,closed_sessions,gc_count,gc_ms,broadcast_blocked_ms,oom
0,41.2,123.8,1218,1218,3928,938,0.43,572,0.26,0,0,5,123,6,0
1,25.4,123.8,3252,2034,12611,2972,1.36,0,0.00,0,0,6,176,6,0
2,40.8,123.8,5700,2448,12330,5330,2.43,0,0.00,0,0,6,176,6,0
3,27.1,123.8,8778,3078,15480,8102,3.70,0,0.00,0,1,7,185,6,0
4,43.6,123.8,11586,2808,14010,8102,3.70,6,0.00,0,1,7,185,6,0
5,27.1,123.8,14562,2976,14910,8102,3.70,0,0.00,0,1,8,189,7,0
6,43.2,123.8,17508,2946,14730,8102,3.70,0,0.00,0,1,8,189,7,0
7,25.6,123.8,20526,3018,15090,8102,3.70,0,0.00,0,1,9,190,7,0
8,42.2,123.8,23526,3000,15000,8102,3.70,0,0.00,0,1,9,190,7,0
9,24.9,123.8,26502,2976,14880,8102,3.70,0,0.00,0,1,10,191,7,0
10,41.2,123.8,29508,3006,15017,8102,3.70,6,0.00,0,1,10,191,7,0
11,23.7,123.8,32460,2952,14773,8102,3.70,0,0.00,0,1,11,193,7,0
12,38.9,123.8,35262,2802,14010,8102,3.70,0,0.00,0,1,11,193,7,0
13,21.3,123.8,38244,2982,14909,8102,3.70,0,0.00,0,1,12,194,7,0
14,37.6,123.8,41196,2952,14761,8102,3.70,0,0.00,0,1,12,194,8,0
15,20.0,123.8,44184,2988,14910,8102,3.70,6,0.00,0,1,13,195,8,0
16,36.5,123.8,47148,2964,14850,8102,3.70,0,0.00,0,1,13,195,8,0
17,18.8,123.8,50136,2988,14940,8102,3.70,0,0.00,0,1,14,196,8,0
18,34.6,123.8,52968,2832,14160,8102,3.70,0,0.00,0,1,14,196,8,0
19,50.7,123.8,55956,2988,14940,8102,3.70,0,0.00,0,1,14,196,8,0
20,33.3,123.8,58950,2994,14970,8102,3.70,0,0.00,0,1,15,198,8,0
21,49.6,123.8,61908,2958,14790,8102,3.70,0,0.00,0,1,15,198,8,0
22,32.7,123.8,64902,2994,14970,8102,3.70,0,0.00,0,1,16,200,8,0
23,48.9,123.8,67836,2934,14670,8102,3.70,0,0.00,0,1,16,200,8,0
24,30.4,123.8,70662,2826,14130,8102,3.70,0,0.00,0,1,17,201,8,0
25,46.8,123.8,73692,3030,15150,8102,3.70,0,0.00,0,1,17,201,8,0
26,30.0,123.8,76692,3000,15000,8102,3.70,0,0.00,0,1,18,203,8,0
27,46.1,123.8,79704,3012,15035,8102,3.70,6,0.00,0,1,18,203,8,0
28,28.6,123.8,82650,2946,14755,8102,3.70,0,0.00,0,1,19,204,8,0
29,44.9,123.8,85626,2976,14880,8102,3.70,0,0.00,0,1,19,204,8,0
30,26.7,123.8,88470,2844,14112,8102,3.70,36,0.02,0,1,20,206,8,0
31,44.0,123.8,91548,3078,15498,8102,3.70,0,0.00,0,1,20,206,8,0
32,26.6,123.8,94536,2988,14940,8102,3.70,0,0.00,0,1,21,208,8,0
33,42.9,123.8,97530,2994,14970,8102,3.70,0,0.00,0,1,21,208,8,0
34,25.8,123.8,100494,2964,14820,8102,3.70,0,0.00,0,1,22,209,8,0
35,41.4,123.8,103410,2916,14563,8102,3.70,6,0.00,0,1,22,209,8,0
36,24.6,123.8,106398,2988,14946,8102,3.70,6,0.00,0,1,23,210,8,0
37,40.8,123.8,109368,2970,14861,8102,3.70,0,0.00,0,1,23,210,97,0
38,22.7,123.8,112260,2892,14460,8102,3.70,0,0.00,0,1,24,212,102,0
39,39.4,123.8,115260,3000,15000,8102,3.70,0,0.00,0,1,24,212,102,0
40,21.9,123.8,118224,2964,14820,8102,3.70,0,0.00,0,1,25,212,102,0
41,38.0,123.8,121158,2934,14664,8102,3.70,6,0.00,0,1,25,212,102,0
42,20.5,123.8,124062,2904,14526,8102,3.70,0,0.00,0,1,26,213,106,0
43,35.6,123.8,126840,2778,13878,8102,3.70,6,0.00,0,1,26,213,107,0
44,18.0,123.8,129792,2952,14726,8102,3.70,12,0.01,0,1,27,214,107,0
45,22.9,123.8,132720,2928,1344,8102,3.70,17,0.01,0,6,27,214,107,0
