# mode=terminate label=terminate-s1-r1 tickRate=3000 symbols=20 payloadBytes=480 queueCapacity=1000 bufferLimitBytes=1048576 sendTimeLimitMs=5000 blockingSendTimeoutMs=0 heapMaxMB=123
t_s,heap_used_mb,heap_max_mb,published,published_per_s,delivered_per_s,slow_queue_msgs,slow_queue_mb,normal_queue_msgs_max,normal_queue_mb_max,dropped_total,closed_sessions,gc_count,gc_ms,broadcast_blocked_ms,oom
0,19.9,123.8,2724,2724,13802,2541,1.16,0,0.00,0,0,6,53,0,0
1,37.0,123.8,5736,3012,15153,5433,2.48,5,0.00,0,0,6,53,0,0
2,24.2,123.8,8892,3156,15867,8367,3.82,0,0.00,0,1,7,62,0,0
3,42.0,123.8,11892,3000,15000,8367,3.82,0,0.00,0,1,7,62,0,0
4,25.1,123.8,14862,2970,14850,8367,3.82,0,0.00,0,1,8,66,0,0
5,41.8,123.8,17874,3012,15060,8367,3.82,0,0.00,0,1,8,66,0,0
6,24.7,123.8,20880,3006,15030,8367,3.82,0,0.00,0,1,9,67,0,0
7,41.2,123.8,23868,2988,14940,8367,3.82,0,0.00,0,1,9,67,0,0
9,23.7,123.8,26838,2970,14850,8367,3.82,0,0.00,0,1,10,69,0,0
10,40.3,123.8,29838,3000,14997,8367,3.82,1,0.00,0,1,10,69,0,0
11,22.7,123.8,32814,2976,14883,8367,3.82,0,0.00,0,1,11,72,1,0
12,39.4,123.8,35790,2976,14880,8367,3.82,0,0.00,0,1,11,72,1,0
13,21.9,123.8,38784,2994,14970,8367,3.82,0,0.00,0,1,12,74,2,0
14,37.8,123.8,41748,2964,14820,8367,3.82,0,0.00,0,1,12,74,3,0
15,20.7,123.8,44760,3012,15060,8367,3.82,0,0.00,0,1,13,76,3,0
16,36.6,123.8,47730,2970,14850,8367,3.82,1,0.00,0,1,13,76,3,0
17,19.4,123.8,50724,2994,14970,8367,3.82,0,0.00,0,1,14,77,4,0
18,35.7,123.8,53718,2994,14970,8367,3.82,0,0.00,0,1,14,77,4,0
19,52.1,123.8,56706,2988,14910,8367,3.82,6,0.00,0,1,15,78,4,0
20,34.8,123.8,59682,2976,14910,8367,3.82,0,0.00,0,1,15,78,4,0
21,50.8,123.8,62646,2964,14820,8367,3.82,0,0.00,0,1,15,78,4,0
22,33.5,123.8,65646,3000,15000,8367,3.82,0,0.00,0,1,16,80,4,0
23,50.2,123.8,68640,2994,14970,8367,3.82,0,0.00,0,1,16,80,4,0
24,32.8,123.8,71616,2976,14880,8367,3.82,0,0.00,0,1,17,81,4,0
25,49.0,123.8,74598,2982,14910,8367,3.82,0,0.00,0,1,17,81,4,0
26,31.5,123.8,77574,2976,14880,8367,3.82,0,0.00,0,1,18,83,4,0
27,48.3,123.8,80556,2982,14910,8367,3.82,0,0.00,0,1,18,83,4,0
28,30.8,123.8,83544,2988,14940,8367,3.82,0,0.00,0,1,19,84,6,0
29,47.6,123.8,86556,3012,15041,8367,3.82,6,0.00,0,1,19,84,6,0
30,30.1,123.8,89556,3000,15019,8367,3.82,0,0.00,0,1,20,86,6,0
31,46.6,123.8,92550,2994,14938,8367,3.82,12,0.01,0,1,20,86,6,0
32,29.4,123.8,95562,3012,15092,8367,3.82,0,0.00,0,1,21,88,8,0
33,46.2,123.8,98562,3000,14981,8367,3.82,6,0.00,0,1,21,88,8,0
34,28.8,123.8,101526,2964,14839,8367,3.82,0,0.00,0,1,22,89,8,0
35,44.9,123.8,104526,3000,15000,8367,3.82,0,0.00,0,1,22,89,8,0
36,27.4,123.8,107520,2994,14971,8367,3.82,6,0.00,0,1,23,91,8,0
37,44.2,123.8,110502,2982,14879,8367,3.82,6,0.00,0,1,23,91,9,0
38,26.8,123.8,113502,3000,15030,8367,3.82,0,0.00,0,1,24,93,9,0
39,43.6,123.8,116484,2982,14910,8367,3.82,0,0.00,0,1,24,93,10,0
40,26.1,123.8,119466,2982,14910,8367,3.82,0,0.00,0,1,25,94,10,0
41,42.9,123.8,122478,3012,15040,8367,3.82,6,0.00,0,1,25,94,10,0
42,25.4,123.8,125484,3006,15050,8367,3.82,0,0.00,0,1,26,95,10,0
43,42.2,123.8,128478,2994,14970,8367,3.82,6,0.00,0,1,26,95,10,0
44,24.2,123.8,131430,2952,14760,8367,3.82,0,0.00,0,1,27,95,11,0
45,39.5,123.8,134424,2994,13126,8367,3.82,11,0.01,0,6,27,95,11,0
