# mode=terminate label=terminate-tight-r1 tickRate=3000 symbols=20 payloadBytes=480 queueCapacity=1000 bufferLimitBytes=524288 sendTimeLimitMs=5000 blockingSendTimeoutMs=0 heapMaxMB=123
t_s,heap_used_mb,heap_max_mb,published,published_per_s,delivered_per_s,slow_queue_msgs,slow_queue_mb,normal_queue_msgs_max,normal_queue_mb_max,dropped_total,closed_sessions,gc_count,gc_ms,broadcast_blocked_ms,oom
0,37.7,123.8,228,228,612,80,0.04,183,0.08,0,0,5,111,8,0
1,24.3,123.8,2898,2670,14157,2432,1.11,0,0.00,0,1,6,138,10,0
2,38.9,123.8,5244,2346,11697,2432,1.11,11,0.01,0,1,6,138,10,0
3,20.9,123.8,7974,2730,13683,2432,1.11,0,0.00,0,1,7,146,19,0
4,37.4,123.8,10920,2946,14730,2432,1.11,0,0.00,0,1,7,146,19,0
5,19.7,123.8,13872,2952,14760,2432,1.11,0,0.00,0,1,8,147,19,0
6,35.6,123.8,16758,2886,14430,2432,1.11,0,0.00,0,1,8,147,19,0
7,18.1,123.8,19740,2982,14910,2432,1.11,0,0.00,0,1,9,149,19,0
8,34.5,123.8,22722,2982,14910,2432,1.11,0,0.00,0,1,9,149,19,0
9,16.9,123.8,25698,2976,14825,2432,1.11,12,0.01,0,1,10,150,19,0
10,33.0,123.8,28620,2922,14665,2432,1.11,0,0.00,0,1,10,150,24,0
11,15.6,123.8,31608,2988,14940,2432,1.11,0,0.00,0,1,11,151,24,0
12,32.0,123.8,34596,2988,14940,2432,1.11,0,0.00,0,1,11,151,24,0
13,48.2,123.8,37554,2958,14760,2432,1.11,6,0.00,0,1,11,151,24,0
14,30.8,123.8,40542,2988,14970,2432,1.11,0,0.00,0,1,12,153,24,0
15,46.7,123.8,43446,2904,14496,2432,1.11,6,0.00,0,1,12,153,24,0
16,28.9,123.8,46386,2940,14724,2432,1.11,0,0.00,0,1,13,155,24,0
17,44.9,123.8,49296,2910,14550,2432,1.11,0,0.00,0,1,13,155,26,0
18,27.0,123.8,52176,2880,14400,2432,1.11,0,0.00,0,1,14,156,30,0
19,43.0,123.8,55122,2946,14706,2432,1.11,6,0.00,0,1,14,156,30,0
20,25.0,123.8,58044,2922,14634,2432,1.11,0,0.00,0,1,15,157,30,0
21,41.1,123.8,60984,2940,14676,2432,1.11,12,0.01,0,1,15,157,30,0
22,23.7,123.8,63978,2994,14981,2432,1.11,6,0.00,0,1,16,158,30,0
23,40.5,123.8,66984,3006,15013,2432,1.11,6,0.00,0,1,16,158,30,0
24,23.0,123.8,69990,3006,15044,2432,1.11,6,0.00,0,1,17,160,30,0
25,39.2,123.8,72888,2898,14506,2432,1.11,0,0.00,0,1,17,160,32,0
26,21.7,123.8,75882,2994,14970,2432,1.11,0,0.00,0,1,18,161,32,0
27,37.9,123.8,78858,2976,14880,2432,1.11,0,0.00,0,1,18,161,32,0
28,21.0,123.8,81858,3000,15000,2432,1.11,0,0.00,0,1,19,163,32,0
29,37.2,123.8,84834,2976,14861,2432,1.11,6,0.00,0,1,19,163,32,0
30,19.6,123.8,87762,2928,14659,2432,1.11,0,0.00,0,1,20,165,32,0
31,35.4,123.8,90678,2916,14580,2432,1.11,0,0.00,0,1,20,165,32,0
32,17.7,123.8,93642,2964,14820,2432,1.11,0,0.00,0,1,21,166,32,0
33,34.5,123.8,96618,2976,14880,2432,1.11,0,0.00,0,1,21,166,32,0
34,16.9,123.8,99570,2952,14760,2432,1.11,0,0.00,0,1,22,168,32,0
35,32.8,123.8,102510,2940,14700,2432,1.11,0,0.00,0,1,22,168,32,0
36,49.0,123.8,105456,2946,14721,2432,1.11,6,0.00,0,1,22,168,32,0
37,31.4,123.8,108414,2958,14799,2432,1.11,0,0.00,0,1,23,169,32,0
38,47.7,123.8,111342,2928,14640,2432,1.11,0,0.00,0,1,23,169,32,0
39,30.1,123.8,114336,2994,14940,2432,1.11,6,0.00,0,1,24,170,32,0
40,45.9,123.8,117228,2892,14471,2432,1.11,6,0.00,0,1,24,170,32,0
41,28.4,123.8,120186,2958,14809,2432,1.11,0,0.00,0,1,25,170,32,0
42,44.8,123.8,123186,3000,14988,2432,1.11,6,0.00,0,1,25,170,32,0
43,27.7,123.8,126204,3018,15072,2432,1.11,6,0.00,0,1,26,171,32,0
44,43.2,123.8,129026,2822,14140,2432,1.11,1,0.00,0,1,26,171,71,0
45,20.6,123.8,131934,2908,8180,2432,1.11,0,0.00,0,6,27,172,87,0
