# mode=unbounded label=unbounded-r1 tickRate=3000 symbols=20 payloadBytes=480 queueCapacity=1000 bufferLimitBytes=1048576 sendTimeLimitMs=5000 blockingSendTimeoutMs=0 heapMaxMB=123
t_s,heap_used_mb,heap_max_mb,published,published_per_s,delivered_per_s,slow_queue_msgs,slow_queue_mb,normal_queue_msgs_max,normal_queue_mb_max,dropped_total,closed_sessions,gc_count,gc_ms,broadcast_blocked_ms,oom
0,36.5,123.8,240,240,565,156,0.07,174,0.08,0,0,5,119,0,0
1,18.0,123.8,2106,1866,10244,1826,0.83,0,0.00,0,0,6,165,7,0
2,34.9,123.8,4824,2718,13680,4454,2.03,0,0.00,0,0,6,165,9,0
3,21.0,123.8,7722,2898,14575,7262,3.32,4,0.00,0,0,7,174,12,0
4,37.5,123.8,10710,2988,14933,10250,4.68,6,0.00,0,0,7,174,12,0
5,23.6,123.8,13662,2952,14862,13112,5.99,0,0.00,0,0,8,179,13,0
6,39.9,123.8,16602,2940,14790,15962,7.29,0,0.00,0,0,8,179,13,0
7,25.8,123.8,19584,2982,15000,18854,8.61,0,0.00,0,0,9,184,13,0
8,42.2,123.8,22488,2904,14520,21758,9.94,0,0.00,0,0,9,184,13,0
9,28.2,123.8,25464,2976,14970,24644,11.26,0,0.00,0,0,10,189,13,0
10,44.5,123.8,28440,2976,14970,27530,12.58,0,0.00,0,0,10,189,13,0
11,61.0,123.8,31416,2976,14970,30416,13.89,0,0.00,0,0,10,189,13,0
12,47.1,123.8,34404,2988,14940,33404,15.26,0,0.00,0,0,11,194,13,0
13,63.2,123.8,37302,2898,14580,36212,16.54,0,0.00,0,0,11,194,13,0
14,48.8,123.8,40176,2874,14460,38996,17.81,0,0.00,0,0,12,198,13,0
15,64.8,123.8,43068,2892,14550,41798,19.09,0,0.00,0,0,12,198,13,0
16,50.1,123.8,45972,2904,14520,44702,20.42,0,0.00,0,0,13,204,13,0
17,66.9,123.8,48978,3006,15120,47618,21.75,0,0.00,0,0,13,204,15,0
