# mode=unbounded label=unbounded-s2-r1 tickRate=3000 symbols=20 payloadBytes=480 queueCapacity=1000 bufferLimitBytes=1048576 sendTimeLimitMs=5000 blockingSendTimeoutMs=0 heapMaxMB=123
t_s,heap_used_mb,heap_max_mb,published,published_per_s,delivered_per_s,slow_queue_msgs,slow_queue_mb,normal_queue_msgs_max,normal_queue_mb_max,dropped_total,closed_sessions,gc_count,gc_ms,broadcast_blocked_ms,oom
0,20.6,123.8,2628,2628,13510,2445,1.12,0,0.00,0,0,6,52,0,0
1,37.9,123.8,5634,3006,15210,5385,2.46,0,0.00,0,0,6,52,0,0
2,24.3,123.8,8616,2982,15090,8253,3.77,0,0.00,0,0,7,60,0,0
3,41.2,123.8,11580,2964,14940,11157,5.10,0,0.00,0,0,7,60,1,0
4,27.6,123.8,14580,3000,15120,14097,6.44,0,0.00,0,0,8,66,1,0
5,44.3,123.8,17566,2986,15030,17023,7.78,4,0.00,0,0,8,66,1,0
6,30.5,123.8,20562,2996,15120,19959,9.12,0,0.00,0,0,9,73,1,0
7,47.7,123.8,23548,2986,15030,22887,10.46,6,0.00,0,0,9,73,1,0
8,33.9,123.8,26532,2984,15060,25809,11.79,1,0.00,0,0,10,77,1,0
9,51.0,123.8,29538,3006,15270,28695,13.11,0,0.00,0,0,10,77,2,0
10,37.0,123.8,32496,2958,14910,31593,14.43,0,0.00,0,0,11,83,2,0
11,53.7,123.8,35472,2976,14982,34509,15.76,6,0.00,0,0,11,83,2,0
12,39.8,123.8,38436,2964,14958,37413,17.09,0,0.00,0,0,12,88,3,0
13,56.8,123.8,41424,2988,15060,40341,18.43,0,0.00,0,0,12,88,3,0
14,43.0,123.8,44418,2994,15060,43275,19.77,6,0.00,0,0,13,92,3,0
15,59.7,123.8,47388,2970,15000,46185,21.10,0,0.00,0,0,13,92,3,0
16,45.8,123.8,50370,2982,15030,49107,22.43,1,0.00,0,0,14,100,3,0
17,62.5,123.8,53376,3006,15150,52053,23.78,0,0.00,0,0,14,100,3,0
18,48.0,123.8,56196,2820,14268,54807,25.04,5,0.00,0,0,15,107,7,0
19,64.9,123.8,59214,3018,15268,57712,26.36,6,0.00,0,0,15,107,7,0
