# mode=combo label=combo-r3 tickRate=3000 symbols=20 payloadBytes=480 queueCapacity=1000 bufferLimitBytes=1048576 sendTimeLimitMs=5000 blockingSendTimeoutMs=0 heapMaxMB=123
t_s,heap_used_mb,heap_max_mb,published,published_per_s,delivered_per_s,slow_queue_msgs,slow_queue_mb,normal_queue_msgs_max,normal_queue_mb_max,dropped_total,closed_sessions,gc_count,gc_ms,broadcast_blocked_ms,oom
0,23.1,123.8,2946,2946,14855,20,0.01,0,0.00,2800,0,6,47,0,0
1,42.3,123.8,5952,3006,15090,20,0.01,0,0.00,5746,0,6,47,1,0
3,27.6,123.8,8952,3000,15060,20,0.01,0,0.00,8686,0,7,51,1,0
4,46.5,123.8,11934,2982,14970,20,0.01,0,0.00,11608,0,7,51,1,0
5,31.5,123.8,14928,2994,15002,20,0.01,6,0.00,14542,0,8,59,1,0
6,16.2,123.8,17898,2970,14938,20,0.01,6,0.00,17453,0,9,67,1,0
7,34.5,123.8,20784,2886,14490,20,0.01,0,0.00,20278,0,9,67,4,0
8,19.5,123.8,23766,2982,14970,20,0.01,1,0.00,23201,0,10,74,4,0
9,38.5,123.8,26748,2982,15030,20,0.01,0,0.00,26062,0,10,74,4,0
10,23.2,123.8,29724,2976,14940,20,0.01,0,0.00,28978,0,11,80,5,0
11,41.4,123.8,32622,2898,14522,20,0.01,6,0.00,31816,0,11,80,5,0
12,26.5,123.8,35604,2982,14998,20,0.01,1,0.00,34738,0,12,85,5,0
13,45.5,123.8,38616,3012,15120,20,0.01,0,0.00,37690,0,12,85,5,0
14,30.4,123.8,41562,2946,14790,20,0.01,0,0.00,40576,0,13,94,5,0
15,13.8,123.8,44358,2796,14040,20,0.01,0,0.00,43312,0,14,103,19,0
16,32.7,123.8,47352,2994,15030,20,0.01,0,0.00,46246,0,14,103,19,0
17,17.4,123.8,50334,2982,14970,20,0.01,0,0.00,49168,0,15,111,19,0
18,36.7,123.8,53328,2994,15090,20,0.01,0,0.00,52042,0,15,111,19,0
19,21.3,123.8,56316,2988,15000,20,0.01,0,0.00,54970,0,16,118,20,0
20,40.1,123.8,59262,2946,14789,20,0.01,0,0.00,57857,0,16,118,20,0
21,24.6,123.8,62166,2904,14580,20,0.01,0,0.00,60701,0,17,123,20,0
22,43.5,123.8,65154,2988,15000,20,0.01,0,0.00,63629,0,17,123,20,0
23,28.2,123.8,68142,2988,14981,20,0.01,6,0.00,66557,0,18,129,21,0
24,47.1,123.8,71136,2994,15020,20,0.01,6,0.00,69491,0,18,129,21,0
25,32.3,123.8,74136,3000,15089,20,0.01,1,0.00,72432,0,19,136,21,0
26,17.3,123.8,77094,2958,14910,20,0.01,0,0.00,75269,0,20,143,21,0
27,35.5,123.8,79938,2844,14280,20,0.01,0,0.00,78053,0,20,143,27,0
28,20.4,123.8,82920,2982,14970,20,0.01,0,0.00,80975,0,21,152,27,0
29,39.5,123.8,85920,3000,15060,20,0.01,0,0.00,83915,0,21,152,27,0
30,24.7,123.8,88914,2994,15030,20,0.01,0,0.00,86849,0,22,153,27,0
31,43.5,123.8,91922,3008,15091,20,0.01,5,0.00,89800,0,22,153,27,0
32,27.4,123.8,94794,2872,14381,20,0.01,12,0.01,92609,0,23,153,28,0
33,46.8,123.8,97800,3006,15138,20,0.01,0,0.00,95555,0,23,153,29,0
34,32.0,123.8,100808,3008,15090,20,0.01,6,0.00,98507,0,24,155,30,0
35,16.7,123.8,103782,2974,15000,20,0.01,0,0.00,101357,0,25,158,30,0
36,36.1,123.8,106794,3012,15120,20,0.01,0,0.00,104309,0,25,158,31,0
37,21.3,123.8,109800,3006,15090,20,0.01,0,0.00,107255,0,26,159,31,0
38,39.4,123.8,112752,2952,14820,20,0.01,0,0.00,110147,0,26,159,35,0
39,24.6,123.8,115740,2988,15000,20,0.01,0,0.00,113075,0,27,161,35,0
40,43.5,123.8,118728,2988,15000,20,0.01,0,0.00,116003,0,27,161,36,0
41,28.6,123.8,121704,2976,14940,20,0.01,0,0.00,118919,0,28,161,36,0
42,13.8,123.8,124692,2988,14999,20,0.01,0,0.00,121848,0,29,163,36,0
43,31.8,123.8,127548,2856,14400,20,0.01,0,0.00,124584,0,29,163,41,0
44,17.3,123.8,130560,3012,15119,20,0.01,0,0.00,127536,0,30,164,41,0
45,34.4,123.8,133560,3000,12758,20,0.01,11,0.01,130260,6,30,164,41,0
