# mode=direct label=direct-stalled-r2 tickRate=3000 symbols=20 payloadBytes=480 queueCapacity=1000 bufferLimitBytes=1048576 sendTimeLimitMs=5000 blockingSendTimeoutMs=0 heapMaxMB=123
t_s,heap_used_mb,heap_max_mb,published,published_per_s,delivered_per_s,slow_queue_msgs,slow_queue_mb,normal_queue_msgs_max,normal_queue_mb_max,dropped_total,closed_sessions,gc_count,gc_ms,broadcast_blocked_ms,oom
0,35.1,123.8,182,182,1095,0,0.00,0,0.00,0,0,5,41,31,0
2,35.1,123.8,182,0,0,0,0.00,0,0.00,0,0,5,41,31,0
3,35.1,123.8,182,0,0,0,0.00,0,0.00,0,0,5,41,31,0
4,35.1,123.8,182,0,0,0,0.00,0,0.00,0,0,5,41,31,0
5,35.1,123.8,182,0,0,0,0.00,0,0.00,0,0,5,41,31,0
6,35.1,123.8,182,0,0,0,0.00,0,0.00,0,0,5,41,31,0
7,35.1,123.8,182,0,0,0,0.00,0,0.00,0,0,5,41,31,0
8,35.1,123.8,182,0,0,0,0.00,0,0.00,0,0,5,41,31,0
9,35.1,123.8,182,0,0,0,0.00,0,0.00,0,0,5,41,31,0
10,35.2,123.8,182,0,0,0,0.00,0,0.00,0,0,5,41,31,0
11,35.2,123.8,182,0,0,0,0.00,0,0.00,0,0,5,41,31,0
12,35.2,123.8,182,0,0,0,0.00,0,0.00,0,0,5,41,31,0
13,35.2,123.8,182,0,0,0,0.00,0,0.00,0,0,5,41,31,0
14,35.2,123.8,182,0,0,0,0.00,0,0.00,0,0,5,41,31,0
15,35.2,123.8,182,0,0,0,0.00,0,0.00,0,0,5,41,31,0
16,35.2,123.8,182,0,0,0,0.00,0,0.00,0,0,5,41,31,0
17,35.2,123.8,182,0,0,0,0.00,0,0.00,0,0,5,41,31,0
18,35.2,123.8,182,0,0,0,0.00,0,0.00,0,0,5,41,31,0
19,35.2,123.8,182,0,0,0,0.00,0,0.00,0,0,5,41,31,0
20,35.4,123.8,182,0,0,0,0.00,0,0.00,0,0,5,41,31,0
21,45.0,123.8,3001,2819,14094,0,0.00,0,0.00,0,1,5,41,20092,0
22,21.9,123.8,5982,2981,14903,0,0.00,0,0.00,0,1,6,49,20092,0
23,31.0,123.8,8994,3012,15060,0,0.00,0,0.00,0,1,6,49,20092,0
24,39.6,123.8,11880,2886,14434,0,0.00,0,0.00,0,1,6,49,20096,0
25,14.5,123.8,14874,2994,14966,0,0.00,0,0.00,0,1,7,54,20101,0
26,23.4,123.8,17868,2994,14972,0,0.00,0,0.00,0,1,7,54,20101,0
27,32.4,123.8,20874,3006,15028,0,0.00,0,0.00,0,1,7,54,20103,0
28,41.4,123.8,23874,3000,15005,0,0.00,0,0.00,0,1,7,54,20104,0
29,16.0,123.8,26736,2862,14305,0,0.00,0,0.00,0,1,8,63,20123,0
30,24.5,123.8,29736,3000,15000,0,0.00,0,0.00,0,1,8,63,20123,0
31,33.4,123.8,32712,2976,14885,0,0.00,0,0.00,0,1,8,63,20123,0
32,42.3,123.8,35719,3007,15031,0,0.00,0,0.00,0,1,8,63,20123,0
33,16.9,123.8,38706,2987,14938,0,0.00,0,0.00,0,1,9,69,20123,0
34,26.0,123.8,41718,3012,15061,0,0.00,0,0.00,0,1,9,69,20123,0
35,34.9,123.8,44718,3000,14995,0,0.00,0,0.00,0,1,9,69,20123,0
36,43.9,123.8,47724,3006,15030,0,0.00,0,0.00,0,1,9,69,20123,0
37,18.4,123.8,50700,2976,14880,0,0.00,0,0.00,0,1,10,77,20125,0
38,27.8,123.8,53694,2994,14975,0,0.00,0,0.00,0,1,10,77,20126,0
39,36.6,123.8,56700,3006,15025,0,0.00,0,0.00,0,1,10,77,20127,0
40,45.3,123.8,59700,3000,15000,0,0.00,0,0.00,0,1,10,77,20132,0
41,20.0,123.8,62670,2970,14850,0,0.00,0,0.00,0,1,11,87,20142,0
42,29.3,123.8,65652,2982,14910,0,0.00,0,0.00,0,1,11,87,20142,0
43,37.9,123.8,68654,3002,15013,0,0.00,0,0.00,0,1,11,87,20143,0
44,46.5,123.8,71640,2986,14927,0,0.00,0,0.00,0,1,11,87,20145,0
45,20.6,123.8,74604,2964,12302,0,0.00,0,0.00,0,6,12,95,20154,0
