# mode=terminate label=terminate-r3 tickRate=3000 symbols=20 payloadBytes=480 queueCapacity=1000 bufferLimitBytes=1048576 sendTimeLimitMs=5000 blockingSendTimeoutMs=0 heapMaxMB=123
t_s,heap_used_mb,heap_max_mb,published,published_per_s,delivered_per_s,slow_queue_msgs,slow_queue_mb,normal_queue_msgs_max,normal_queue_mb_max,dropped_total,closed_sessions,gc_count,gc_ms,broadcast_blocked_ms,oom
0,22.0,123.8,2946,2946,14972,2704,1.24,1,0.00,0,0,6,50,0,0
2,39.2,123.8,5970,3024,15180,5667,2.59,0,0.00,0,0,6,50,0,0
3,26.2,123.8,9030,3060,15360,8493,3.88,0,0.00,0,1,7,77,0,0
4,43.5,123.8,12036,3006,15030,8493,3.88,0,0.00,0,1,7,77,0,0
5,26.8,123.8,15036,3000,15000,8493,3.88,1,0.00,0,1,8,81,1,0
6,43.1,123.8,18012,2976,14880,8493,3.88,0,0.00,0,1,8,81,7,0
7,25.7,123.8,20976,2964,14820,8493,3.88,0,0.00,0,1,9,84,7,0
8,42.2,123.8,23988,3012,15030,8493,3.88,6,0.00,0,1,9,84,7,0
9,24.7,123.8,26982,2994,15000,8493,3.88,0,0.00,0,1,10,87,7,0
10,41.4,123.8,29976,2994,14970,8493,3.88,3,0.00,0,1,10,87,7,0
11,24.0,123.8,32952,2976,14850,8493,3.88,6,0.00,0,1,11,89,7,0
12,40.4,123.8,35940,2988,14925,8493,3.88,17,0.01,0,1,11,89,7,0
13,22.1,123.8,38820,2880,14422,8493,3.88,6,0.00,0,1,12,93,23,0
14,38.6,123.8,41802,2982,14933,8493,3.88,0,0.00,0,1,12,93,23,0
15,21.4,123.8,44790,2988,14940,8493,3.88,0,0.00,0,1,13,95,23,0
16,37.4,123.8,47682,2892,14460,8493,3.88,0,0.00,0,1,13,95,41,0
17,19.5,123.8,50658,2976,14850,8493,3.88,6,0.00,0,1,14,99,42,0
18,36.2,123.8,53664,3006,15038,8493,3.88,6,0.00,0,1,14,99,42,0
19,52.2,123.8,56646,2982,14932,8493,3.88,0,0.00,0,1,14,99,43,0
20,34.9,123.8,59622,2976,14880,8493,3.88,1,0.00,0,1,15,101,43,0
21,49.7,123.8,62388,2766,13800,8493,3.88,6,0.00,0,1,15,101,43,0
22,32.9,123.8,65394,3006,15060,8493,3.88,0,0.00,0,1,16,104,43,0
23,49.2,123.8,68388,2994,14958,8493,3.88,6,0.00,0,1,16,104,43,0
24,32.2,123.8,71389,3001,15012,8493,3.88,4,0.00,0,1,17,107,43,0
25,48.3,123.8,74364,2975,14880,8493,3.88,0,0.00,0,1,17,107,43,0
26,30.9,123.8,77292,2928,14640,8493,3.88,0,0.00,0,1,18,108,43,0
27,47.0,123.8,80280,2988,14940,8493,3.88,0,0.00,0,1,18,108,43,0
28,29.6,123.8,83292,3012,15060,8493,3.88,0,0.00,0,1,19,110,44,0
29,46.4,123.8,86280,2988,14910,8493,3.88,6,0.00,0,1,19,110,44,0
30,28.9,123.8,89280,3000,15030,8493,3.88,0,0.00,0,1,20,112,44,0
31,45.6,123.8,92280,3000,14971,8493,3.88,6,0.00,0,1,20,112,44,0
32,28.2,123.8,95280,3000,15029,8493,3.88,0,0.00,0,1,21,114,44,0
33,44.9,123.8,98286,3006,15000,8493,3.88,6,0.00,0,1,21,114,44,0
34,27.5,123.8,101274,2988,14970,8493,3.88,0,0.00,0,1,22,117,44,0
35,43.7,123.8,104280,3006,15030,8493,3.88,0,0.00,0,1,22,117,45,0
36,26.2,123.8,107256,2976,14880,8493,3.88,0,0.00,0,1,23,121,45,0
37,43.0,123.8,110244,2988,14940,8493,3.88,0,0.00,0,1,23,121,45,0
38,25.5,123.8,113220,2976,14880,8493,3.88,0,0.00,0,1,24,123,45,0
39,41.8,123.8,116232,3012,15060,8493,3.88,0,0.00,0,1,24,123,45,0
40,24.8,123.8,119256,3024,15099,8493,3.88,6,0.00,0,1,25,123,45,0
41,41.1,123.8,122250,2994,14976,8493,3.88,6,0.00,0,1,25,123,45,0
42,24.2,123.8,125214,2964,14811,8493,3.88,5,0.00,0,1,26,126,50,0
43,40.3,123.8,128220,3006,15025,8493,3.88,6,0.00,0,1,26,126,50,0
44,22.2,123.8,131046,2826,14159,8493,3.88,0,0.00,0,1,27,126,50,0
45,36.0,123.8,134034,2988,11527,8493,3.88,5,0.00,0,6,27,126,50,0
