# mode=unbounded label=unbounded-s4-r1 tickRate=3000 symbols=20 payloadBytes=480 queueCapacity=1000 bufferLimitBytes=1048576 sendTimeLimitMs=5000 blockingSendTimeoutMs=0 heapMaxMB=123
t_s,heap_used_mb,heap_max_mb,published,published_per_s,delivered_per_s,slow_queue_msgs,slow_queue_mb,normal_queue_msgs_max,normal_queue_mb_max,dropped_total,closed_sessions,gc_count,gc_ms,broadcast_blocked_ms,oom
0,22.6,123.8,2652,2652,15977,2466,1.13,0,0.00,0,0,6,53,0,0
1,39.7,123.8,5658,3006,15144,5413,2.47,1,0.00,0,0,6,53,0,0
2,26.2,123.8,8663,3005,15168,8335,3.81,6,0.00,0,0,7,58,0,0
3,43.3,123.8,11646,2983,15060,11257,5.14,0,0.00,0,0,7,58,0,0
4,30.0,123.8,14592,2946,14850,14143,6.46,0,0.00,0,0,8,65,0,0
5,46.9,123.8,17598,3006,15150,17089,7.81,0,0.00,0,0,8,65,0,0
6,33.7,123.8,20580,2982,15017,20011,9.14,5,0.00,0,0,9,71,1,0
7,50.2,123.8,23556,2976,15013,22927,10.47,0,0.00,0,0,9,71,1,0
8,36.6,123.8,26418,2862,14486,25692,11.74,3,0.00,0,0,10,79,8,0
9,53.8,123.8,29430,3012,15244,28621,13.07,0,0.00,0,0,10,79,8,0
10,40.9,123.8,32412,2982,15030,31543,14.41,0,0.00,0,0,11,87,8,0
11,57.7,123.8,35382,2970,14970,34459,15.74,6,0.00,0,0,11,87,9,0
12,43.9,123.8,38370,2988,15060,37381,17.08,0,0.00,0,0,12,93,9,0
13,60.9,123.8,41346,2976,15000,40297,18.41,0,0.00,0,0,12,93,11,0
14,47.5,123.8,44322,2976,15000,43213,19.74,0,0.00,0,0,13,96,13,0
15,65.2,123.8,47328,3006,16100,46180,21.10,6,0.00,0,0,13,96,13,0
16,52.4,123.8,50316,2988,16138,49050,22.41,0,0.00,0,0,14,103,20,0
17,69.4,123.8,53316,3000,15102,51990,23.75,6,0.00,0,0,14,103,20,0
18,55.6,123.8,56274,2958,14988,54865,25.06,0,0.00,0,0,15,110,20,0
19,72.8,123.8,59244,2970,14969,57775,26.39,0,0.00,0,0,15,110,22,0
20,59.3,123.8,62208,2964,14939,60680,27.72,0,0.00,0,0,16,117,23,0
21,76.0,123.8,65154,2946,14850,63566,29.04,0,0.00,0,0,16,117,27,0
22,62.2,123.8,68112,2958,14880,66464,30.36,6,0.00,0,0,17,124,27,0
23,78.9,123.8,71082,2970,15000,69375,31.69,3,0.00,0,0,17,124,28,0
24,65.3,123.8,74058,2976,14972,72290,33.02,6,0.00,0,0,18,132,28,0
25,82.2,123.8,77028,2970,15058,75163,34.34,0,0.00,0,0,18,132,30,0
26,69.1,123.8,80010,2982,15090,78062,35.66,0,0.00,0,0,19,139,30,0
