# mode=direct label=baseline-r1 tickRate=3000 symbols=20 payloadBytes=480 queueCapacity=1000 bufferLimitBytes=1048576 sendTimeLimitMs=5000 blockingSendTimeoutMs=0 heapMaxMB=123
t_s,heap_used_mb,heap_max_mb,published,published_per_s,delivered_per_s,slow_queue_msgs,slow_queue_mb,normal_queue_msgs_max,normal_queue_mb_max,dropped_total,closed_sessions,gc_count,gc_ms,broadcast_blocked_ms,oom
0,34.3,123.8,0,0,3,0,0.00,0,0.00,0,0,5,43,2,0
1,44.2,123.8,3006,3006,15027,0,0.00,0,0.00,0,0,5,43,2,0
2,20.6,123.8,5814,2808,14040,0,0.00,0,0.00,0,0,6,52,2,0
3,29.1,123.8,8622,2808,14040,0,0.00,0,0.00,0,0,6,52,26,0
4,37.7,123.8,11538,2916,14580,0,0.00,0,0.00,0,0,6,52,31,0
5,44.7,123.8,13891,2353,11769,0,0.00,0,0.00,0,0,6,52,76,0
6,18.0,123.8,16392,2501,12501,0,0.00,0,0.00,0,0,7,55,134,0
7,26.2,123.8,19104,2712,13560,0,0.00,0,0.00,0,0,7,55,145,0
8,33.3,123.8,21546,2442,12210,0,0.00,0,0.00,0,0,7,55,191,0
9,42.1,123.8,24450,2904,14520,0,0.00,0,0.00,0,0,7,55,203,0
10,16.6,123.8,27372,2922,14613,0,0.00,0,0.00,0,0,8,61,214,0
11,25.6,123.8,30384,3012,15059,0,0.00,0,0.00,0,0,8,61,214,0
12,34.6,123.8,33396,3012,15058,0,0.00,0,0.00,0,0,8,61,214,0
13,43.5,123.8,36402,3006,15030,0,0.00,0,0.00,0,0,8,61,214,0
14,18.2,123.8,39390,2988,14942,0,0.00,0,0.00,0,0,9,67,222,0
15,27.2,123.8,42396,3006,15028,0,0.00,0,0.00,0,0,9,67,224,0
16,36.2,123.8,45402,3006,15033,0,0.00,0,0.00,0,0,9,67,225,0
17,45.2,123.8,48372,2970,14847,0,0.00,0,0.00,0,0,9,67,225,0
18,19.8,123.8,51360,2988,14942,0,0.00,0,0.00,0,0,10,74,225,0
19,28.5,123.8,54372,3012,15058,0,0.00,0,0.00,0,0,10,74,225,0
20,37.9,123.8,57378,3006,15030,0,0.00,0,0.00,0,0,10,74,226,0
21,46.6,123.8,60379,3001,15008,0,0.00,0,0.00,0,0,10,74,228,0
22,21.4,123.8,63366,2987,14932,0,0.00,0,0.00,0,0,11,83,228,0
23,30.0,123.8,66360,2994,14970,0,0.00,0,0.00,0,0,11,83,229,0
24,39.3,123.8,69361,3001,15010,0,0.00,0,0.00,0,0,11,83,229,0
25,14.0,123.8,72348,2987,14930,0,0.00,0,0.00,0,0,12,91,230,0
26,22.4,123.8,75342,2994,14970,0,0.00,0,0.00,0,0,12,91,234,0
27,31.3,123.8,78336,2994,14970,0,0.00,0,0.00,0,0,12,91,236,0
28,40.3,123.8,81348,3012,15060,0,0.00,0,0.00,0,0,12,91,236,0
29,15.3,123.8,84313,2965,14828,0,0.00,0,0.00,0,0,13,100,247,0
30,23.9,123.8,87318,3005,15022,0,0.00,0,0.00,0,0,13,100,247,0
31,33.0,123.8,90324,3006,15030,0,0.00,0,0.00,0,0,13,100,247,0
32,41.5,123.8,93336,3012,15060,0,0.00,0,0.00,0,0,13,100,247,0
33,16.7,123.8,96318,2982,14910,0,0.00,0,0.00,0,0,14,106,247,0
34,25.3,123.8,99318,3000,15000,0,0.00,0,0.00,0,0,14,106,247,0
35,34.6,123.8,102325,3007,15035,0,0.00,0,0.00,0,0,14,106,247,0
36,42.6,123.8,105229,2904,14522,0,0.00,0,0.00,0,0,14,106,254,0
37,17.4,123.8,108186,2957,14788,0,0.00,0,0.00,0,0,15,112,256,0
38,26.8,123.8,111192,3006,15025,0,0.00,0,0.00,0,0,15,112,256,0
39,35.6,123.8,114181,2989,14948,0,0.00,0,0.00,0,0,15,112,256,0
40,44.3,123.8,117187,3006,15032,0,0.00,0,0.00,0,0,15,112,256,0
41,18.8,123.8,120171,2984,14921,0,0.00,0,0.00,0,0,16,118,263,0
42,28.2,123.8,123174,3003,15009,0,0.00,0,0.00,0,0,16,118,263,0
43,37.0,123.8,126156,2982,14910,0,0.00,0,0.00,0,0,16,118,265,0
44,45.7,123.8,129156,3000,15000,0,0.00,0,0.00,0,0,16,118,266,0
45,19.4,123.8,132102,2946,10590,0,0.00,0,0.00,0,5,17,126,283,0
